job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec_calc,run_hours,cost_usd,status
job-4c8e876426bd,clusterA,EfficientNetV2-S,MNIST,2,1768835987.9080822,1768835988.692377,1768838505.3988495,0.784294843673706,2517.4907672405243,0.6990851312213474,13.981702624426948,completed
job-ac0d3b85ba6e,clusterA,DistilBERT,SST-2,2,1768835988.4182136,1768835988.7304554,1768843770.7611036,0.312241792678833,7782.342890024185,2.1616751800643073,43.233503601286145,completed
job-28c49feb78fe,clusterB,ResNet-18,CIFAR-100,4,1768836331.5593958,1768836332.1683605,1768836745.137422,0.6089646816253662,413.57802629470825,0.11471362822585636,6.882817693551382,completed
job-684a1cef4dd0,clusterB,DistilBERT,SST-2,1,1768836548.4294078,1768836745.6515028,1768839292.5599172,197.2220950126648,2744.130509376526,0.707474559545517,10.612118393182755,completed
job-9cc145cf2787,clusterB,DistilBERT,SST-2,1,1768836634.2898214,1768836745.6675377,1768840388.4150703,111.37771606445312,3754.1252489089966,1.0118743146128124,15.178114719192186,completed
job-7bbeb8f2c8b2,clusterB,ResNet-18,CIFAR-100,4,1768836727.111504,1768840388.979158,1768841109.3315256,3661.8676538467407,4382.220021486282,0.20009787989987268,12.005872793992362,completed
job-60f93aefb7f5,clusterA,ResNet-18,CIFAR-100,1,1768837296.7861347,1768840389.0060675,1768841818.7284844,3092.219932794571,4521.9423496723175,0.39714511579937406,3.971451157993741,completed
job-1e383a2546df,clusterB,DenseNet-121,TinyImageNet,4,1768837389.650596,1768841109.9085658,1768843431.4188907,3720.257969617844,6041.768294811249,0.6448639791541629,38.691838749249776,completed
job-7d24072321ea,clusterA,ResNet-50,CIFAR-10,2,1768837444.353235,1768841819.7492762,1768843029.940387,4375.396041154861,5585.587152004242,0.33616419745816123,6.723283949163225,completed
job-e3d7b263b024,clusterA,DeepSpeech2,ARCTIC,1,1768838089.4689782,1768843030.148966,1768843205.125385,4940.67998790741,5115.656406879425,0.04860456082555983,0.4860456082555983,completed
job-b0590e35f763,clusterA,DistilBERT,SST-2,1,1768838483.5871284,1768843030.1737754,1768844676.660348,4546.586647033691,6193.073219537735,0.45735738125112324,4.573573812511232,completed
job-e227ecb1df70,clusterB,DistilBERT,SST-2,2,1768838660.628556,1768843431.679073,1768847705.3281193,4771.050517082214,9044.699563264847,1.1871247350507312,35.61374205152194,completed
job-a5f7eaac72c4,clusterB,EfficientNetV2-S,MNIST,2,1768838703.2555313,1768843431.7164848,1768846019.2706337,4728.460953474045,7316.015102386475,0.7187650413645639,21.562951240936915,completed
job-9a8844363c56,clusterA,DeepSpeech2,ARCTIC,4,1768839440.2092617,1768844677.2489486,1768844861.7921565,5237.039686918259,5421.5828948020935,0.05126200218995412,2.050480087598165,completed
job-de95d16eb212,clusterA,DenseNet-121,TinyImageNet,4,1768839538.546675,1768844862.535779,1768846943.863214,5323.9891040325165,7405.316539049149,0.5781465097268422,23.12586038907369,completed
job-017333c7d361,clusterB,DistilBERT,SST-2,1,1768840030.9461238,1768846019.8516316,1768850157.798833,5988.905507802963,10126.852709054947,1.149429778125551,17.241446671883264,completed
job-2db49c25f370,clusterB,DistilBERT,SST-2,1,1768840403.9985278,1768846019.8763566,1768848972.6231294,5615.877828836441,8568.624601602554,0.820207436879476,12.303111553192139,completed
job-17f3406779e1,clusterA,DistilBERT,SST-2,2,1768841701.3946428,1768846943.9434764,1768850527.474972,5242.548833608627,8826.080329179764,0.9954254154364268,19.908508308728535,completed
job-f08ae5d567d4,clusterA,EfficientNetV2-S,MNIST,1,1768841750.356081,1768846943.9698966,1768850982.9683335,5193.613815546036,9232.612252473831,1.121944010257721,11.21944010257721,completed
job-085f54f30a24,clusterB,DeepSpeech2,ARCTIC,4,1768842507.215859,1768850158.751739,1768850388.0064511,7651.535880088806,7880.7905921936035,0.06368186447355483,3.8209118684132894,completed
job-222899da58d5,clusterB,DeepSpeech2,ARCTIC,4,1768842579.6873057,1768850389.3513808,1768850513.1400957,7809.664075136185,7933.452790021896,0.034385754134919906,2.063145248095194,completed
job-2c23297e6a3c,clusterB,DenseNet-121,TinyImageNet,4,1768842753.131604,1768850513.554217,1768852359.8015912,7760.422613143921,9606.66998720169,0.512846492793825,30.7707895676295,completed
job-4a1b7b55fdfb,clusterA,DenseNet-121,TinyImageNet,4,1768843045.339181,1768850983.2008846,1768854711.6008754,7937.861703634262,11666.261694431305,1.0356666641102896,41.42666656441158,completed
job-480eadba49d4,clusterB,DeepSpeech2,ARCTIC,1,1768843137.32847,1768852360.7812526,1768852625.0617251,9223.45278263092,9487.733255147934,0.0734112423658371,1.1011686354875565,completed
job-aaf78681d642,clusterB,ResNet-18,CIFAR-100,1,1768843734.479684,1768852360.7973647,1768853570.638446,8626.317680835724,9836.15876197815,0.3360669670502345,5.041004505753517,completed
job-285ca709b882,clusterB,DistilBERT,SST-2,1,1768843796.547019,1768852360.8280854,1768855927.558485,8564.281066417694,12131.011466026306,0.9907584443357256,14.861376665035884,completed
job-22211568b45c,clusterB,ResNet-50,CIFAR-10,1,1768844094.2003446,1768852360.846084,1768855212.8834033,8266.64573931694,11118.683058738708,0.7922325886620416,11.883488829930624,completed
job-612fb2c9dcb7,clusterB,EfficientNetV2-S,MNIST,1,1768845483.8568969,1768852625.1665423,1768857174.3052878,7141.309645652771,11690.448390960693,1.2636496515406503,18.954744773109756,completed
job-d404a5f30621,clusterA,ResNet-50,CIFAR-10,4,1768845492.2102597,1768854712.6026042,1768856613.4854894,9220.392344474792,11121.27522969246,0.528023023671574,21.120920946862963,completed
job-d0e39c1990b0,clusterB,ResNet-50,CIFAR-10,2,1768845981.787775,1768855213.27138,1768856643.6038718,9231.48360490799,10661.816096782684,0.39731458107630413,11.919437432289124,completed
job-9879e4ee1b8c,clusterA,DeepSpeech2,ARCTIC,2,1768847040.3853,1768856613.884365,1768856853.7482376,9573.499065160751,9813.362937688828,0.06662885348002116,1.3325770696004233,completed
job-40edb8dbf32f,clusterA,DistilBERT,SST-2,1,1768847584.377078,1768856613.906741,1768860392.3686347,9029.5296626091,12807.99155664444,1.0495727482769224,10.495727482769224,completed
job-9d97ed9b6771,clusterB,DistilBERT,SST-2,2,1768847995.37829,1768856643.990541,1768862148.7487688,8648.61225104332,14153.370478868484,1.5290995077292124,45.87298523187637,completed
job-b16d8c5010bf,clusterA,DenseNet-121,TinyImageNet,4,1768848297.865805,1768860392.4657922,1768864085.9438722,12094.599987268448,15788.078067302704,1.025966133342849,41.03864533371396,completed
job-bb7de4adf060,clusterB,DistilBERT,SST-2,2,1768848342.5898058,1768860392.5084815,1768863495.3524268,12049.918675661089,15152.762620925903,0.8619010959068935,25.857032877206805,completed
job-fc7c990fb444,clusterB,EfficientNetV2-S,MNIST,1,1768848396.37573,1768862150.1224174,1768866768.1113338,13753.746687412262,18371.735603809357,1.282774698999193,19.241620484987894,completed
job-5e8ceabb4537,clusterB,ResNet-18,CIFAR-100,1,1768848428.71464,1768862150.1462088,1768863243.7059166,13721.431568861008,14814.991276741028,0.3037665855222278,4.556498782833417,completed
job-06664f728e6c,clusterB,DistilBERT,SST-2,1,1768848920.6966078,1768863244.3715515,1768867782.5024047,14323.674943685532,18861.80579686165,1.2605919036600324,18.908878554900486,completed
job-66c9f8637305,clusterB,DeepSpeech2,ARCTIC,1,1768848929.9083445,1768863495.9904554,1768863880.7350855,14566.082110881804,14950.826740980148,0.1068735083606508,1.603102625409762,completed
job-6324da136d80,clusterA,DenseNet-121,TinyImageNet,4,1768849206.3775718,1768864086.7531133,1768871187.9711452,14880.375541448591,21981.593573331833,1.972560564412011,78.90242257648043,completed
job-fdda4f91642b,clusterB,DistilBERT,SST-2,1,1768849211.3312206,1768864086.7719345,1768868585.110497,14875.440713882446,19373.779276371002,1.2495384895801545,18.743077343702318,completed
job-c6af22f4a075,clusterB,DeepSpeech2,ARCTIC,2,1768849218.2480564,1768866768.8779144,1768866928.2900162,17550.629858016968,17710.041959762573,0.044281139373779296,1.3284341812133789,completed
job-3d9efd5f6965,clusterB,EfficientNetV2-S,MNIST,2,1768849662.8256426,1768866929.0946248,1768869465.6159227,17266.268982172012,19802.790280103683,0.7045892494254642,21.137677482763927,completed
