ts,event,job_id,cluster,world_size,note,metadata_json
2026-01-20 00:19:47,submitted,job-4c8e876426bd,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else.""}"
2026-01-20 00:19:48,submitted,job-ac0d3b85ba6e,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2026-01-20 00:19:48,started,job-4c8e876426bd,clusterA,2,"started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_sec=0.784294843673706","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""nodes"": [""node_a"", ""node_b""], ""queued_sec"": 0.784294843673706, ""started_ts"": 1768835988.692377}"
2026-01-20 00:19:48,started,job-ac0d3b85ba6e,clusterA,2,"started_on=clusterA, g=2, nodes=['node_c', 'node_d'], queued_sec=0.312241792678833","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_c"", ""node_d""], ""queued_sec"": 0.312241792678833, ""started_ts"": 1768835988.7304554}"
2026-01-20 00:25:31,submitted,job-28c49feb78fe,-,4,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2026-01-20 00:25:32,started,job-28c49feb78fe,clusterB,4,"started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=0.6089646816253662","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 0.6089646816253662, ""started_ts"": 1768836332.1683605}"
2026-01-20 00:29:08,submitted,job-684a1cef4dd0,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2026-01-20 00:30:34,submitted,job-9cc145cf2787,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2026-01-20 00:32:07,submitted,job-7bbeb8f2c8b2,-,4,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2026-01-20 00:32:25,finished,job-28c49feb78fe,clusterB,4,exit=0,"{""end_ts"": 1768836745.137422, ""jct_sec"": 412.9690616130829, ""queued_sec"": 0.6089646816253662}"
