job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-4c8e876426bd,clusterA,EfficientNetV2-S,MNIST,2,1768835987.9080822,1768835988.692377,,0.784294843673706,,running
job-ac0d3b85ba6e,clusterA,DistilBERT,SST-2,2,1768835988.4182136,1768835988.7304554,,0.312241792678833,,running
job-28c49feb78fe,clusterB,ResNet-18,CIFAR-100,4,1768836331.5593958,1768836332.1683605,,0.6089646816253662,,running
job-28c49feb78fe,clusterB,ResNet-18,CIFAR-100,4,1768836331.5593958,1768836332.1683605,1768836745.137422,0.6089646816253662,412.9690616130829,completed
job-684a1cef4dd0,clusterB,DistilBERT,SST-2,1,1768836548.4294078,1768836745.6515028,,197.2220950126648,,running
job-9cc145cf2787,clusterB,DistilBERT,SST-2,1,1768836634.2898214,1768836745.6675375,,111.37771606445312,,running
job-4c8e876426bd,clusterA,EfficientNetV2-S,MNIST,2,1768835987.9080822,1768835988.692377,1768838505.3988495,0.784294843673706,2516.7064723968506,completed
job-684a1cef4dd0,clusterB,DistilBERT,SST-2,1,1768836548.4294078,1768836745.6515028,1768839292.5599172,197.2220950126648,2546.908414363861,completed
job-9cc145cf2787,clusterB,DistilBERT,SST-2,1,1768836634.2898214,1768836745.6675375,1768840388.4150703,111.37771606445312,3642.7475328445435,completed
job-7bbeb8f2c8b2,clusterB,ResNet-18,CIFAR-100,4,1768836727.111504,1768840388.979158,,3661.8676538467407,,running
job-60f93aefb7f5,clusterA,ResNet-18,CIFAR-100,1,1768837296.7861347,1768840389.0060675,,3092.219932794571,,running
job-7bbeb8f2c8b2,clusterB,ResNet-18,CIFAR-100,4,1768836727.111504,1768840388.979158,1768841109.3315256,3661.8676538467407,720.3523676395416,completed
job-1e383a2546df,clusterB,DenseNet-121,TinyImageNet,4,1768837389.6505961,1768841109.9085658,,3720.2579696178436,,running
job-60f93aefb7f5,clusterA,ResNet-18,CIFAR-100,1,1768837296.7861347,1768840389.0060675,1768841818.7284844,3092.219932794571,1429.7224168777466,completed
job-7d24072321ea,clusterA,ResNet-50,CIFAR-10,2,1768837444.353235,1768841819.7492762,,4375.396041154861,,running
job-7d24072321ea,clusterA,ResNet-50,CIFAR-10,2,1768837444.353235,1768841819.7492762,1768843029.940387,4375.396041154861,1210.1911108493805,completed
job-e3d7b263b024,clusterA,DeepSpeech2,ARCTIC,1,1768838089.4689782,1768843030.148966,,4940.67998790741,,running
job-b0590e35f763,clusterA,DistilBERT,SST-2,1,1768838483.5871284,1768843030.1737754,,4546.586647033691,,running
job-e3d7b263b024,clusterA,DeepSpeech2,ARCTIC,1,1768838089.4689782,1768843030.148966,1768843205.125385,4940.67998790741,174.97641897201538,completed
