ts,event,job_id,queue_len_after,note
2026-01-20 00:19:47,enqueue,job-4c8e876426bd,1,"g=2, batch=64"
2026-01-20 00:19:48,enqueue,job-ac0d3b85ba6e,2,"g=2, batch=32"
2026-01-20 00:19:48,dequeue_start,job-4c8e876426bd,1,"g=2, cluster=clusterA"
2026-01-20 00:19:48,dequeue_start,job-ac0d3b85ba6e,0,"g=2, cluster=clusterA"
2026-01-20 00:25:31,enqueue,job-28c49feb78fe,1,"g=4, batch=128"
2026-01-20 00:25:32,dequeue_start,job-28c49feb78fe,0,"g=4, cluster=clusterB"
2026-01-20 00:29:08,enqueue,job-684a1cef4dd0,1,"g=1, batch=64"
2026-01-20 00:30:34,enqueue,job-9cc145cf2787,2,"g=1, batch=32"
2026-01-20 00:32:07,enqueue,job-7bbeb8f2c8b2,3,"g=4, batch=32"
2026-01-20 00:32:25,dequeue_start,job-684a1cef4dd0,2,"g=1, cluster=clusterB"
2026-01-20 00:32:25,dequeue_start,job-9cc145cf2787,1,"g=1, cluster=clusterB"
2026-01-20 00:41:36,enqueue,job-60f93aefb7f5,2,"g=1, batch=32"
2026-01-20 00:43:09,enqueue,job-1e383a2546df,3,"g=4, batch=32"
2026-01-20 00:44:04,enqueue,job-7d24072321ea,4,"g=2, batch=128"
2026-01-20 00:54:49,enqueue,job-e3d7b263b024,5,"g=1, batch=32"
2026-01-20 01:01:23,enqueue,job-b0590e35f763,6,"g=1, batch=64"
2026-01-20 01:04:20,enqueue,job-e227ecb1df70,7,"g=2, batch=32"
2026-01-20 01:05:03,enqueue,job-a5f7eaac72c4,8,"g=2, batch=64"
2026-01-20 01:17:20,enqueue,job-9a8844363c56,9,"g=4, batch=16"
2026-01-20 01:18:58,enqueue,job-de95d16eb212,10,"g=4, batch=64"
2026-01-20 01:27:10,enqueue,job-017333c7d361,11,"g=1, batch=32"
2026-01-20 01:33:08,dequeue_start,job-7bbeb8f2c8b2,10,"g=4, cluster=clusterB"
2026-01-20 01:33:09,dequeue_start,job-60f93aefb7f5,9,"g=1, cluster=clusterA"
2026-01-20 01:33:23,enqueue,job-2db49c25f370,10,"g=1, batch=64"
2026-01-20 01:45:09,dequeue_start,job-1e383a2546df,9,"g=4, cluster=clusterB"
2026-01-20 01:55:01,enqueue,job-17f3406779e1,10,"g=2, batch=64"
2026-01-20 01:55:50,enqueue,job-f08ae5d567d4,11,"g=1, batch=64"
2026-01-20 01:56:59,dequeue_start,job-7d24072321ea,10,"g=2, cluster=clusterA"
2026-01-20 02:08:27,enqueue,job-085f54f30a24,11,"g=4, batch=8"
2026-01-20 02:09:39,enqueue,job-222899da58d5,12,"g=4, batch=32"
2026-01-20 02:12:33,enqueue,job-2c23297e6a3c,13,"g=4, batch=64"
2026-01-20 02:17:10,dequeue_start,job-e3d7b263b024,12,"g=1, cluster=clusterA"
2026-01-20 02:17:10,dequeue_start,job-b0590e35f763,11,"g=1, cluster=clusterA"
2026-01-20 02:17:25,enqueue,job-4a1b7b55fdfb,12,"g=4, batch=32"
2026-01-20 02:18:57,enqueue,job-480eadba49d4,13,"g=1, batch=16"
2026-01-20 02:23:51,dequeue_start,job-e227ecb1df70,12,"g=2, cluster=clusterB"
2026-01-20 02:23:51,dequeue_start,job-a5f7eaac72c4,11,"g=2, cluster=clusterB"
2026-01-20 02:28:54,enqueue,job-aaf78681d642,12,"g=1, batch=64"
2026-01-20 02:29:56,enqueue,job-285ca709b882,13,"g=1, batch=32"
2026-01-20 02:34:54,enqueue,job-22211568b45c,14,"g=1, batch=64"
2026-01-20 02:44:37,dequeue_start,job-9a8844363c56,13,"g=4, cluster=clusterA"
2026-01-20 02:47:42,dequeue_start,job-de95d16eb212,12,"g=4, cluster=clusterA"
2026-01-20 02:58:03,enqueue,job-612fb2c9dcb7,13,"g=1, batch=64"
2026-01-20 02:58:12,enqueue,job-d404a5f30621,14,"g=4, batch=32"
2026-01-20 03:06:21,enqueue,job-d0e39c1990b0,15,"g=2, batch=128"
2026-01-20 03:06:59,dequeue_start,job-017333c7d361,14,"g=1, cluster=clusterB"
2026-01-20 03:06:59,dequeue_start,job-2db49c25f370,13,"g=1, cluster=clusterB"
2026-01-20 03:22:23,dequeue_start,job-17f3406779e1,12,"g=2, cluster=clusterA"
2026-01-20 03:22:23,dequeue_start,job-f08ae5d567d4,11,"g=1, cluster=clusterA"
2026-01-20 03:24:00,enqueue,job-9879e4ee1b8c,12,"g=2, batch=16"
2026-01-20 03:33:04,enqueue,job-40edb8dbf32f,13,"g=1, batch=32"
2026-01-20 03:39:55,enqueue,job-9d97ed9b6771,14,"g=2, batch=32"
2026-01-20 03:44:57,enqueue,job-b16d8c5010bf,15,"g=4, batch=32"
2026-01-20 03:45:42,enqueue,job-bb7de4adf060,16,"g=2, batch=64"
2026-01-20 03:46:36,enqueue,job-fc7c990fb444,17,"g=1, batch=64"
2026-01-20 03:47:08,enqueue,job-5e8ceabb4537,18,"g=1, batch=128"
2026-01-20 03:55:20,enqueue,job-06664f728e6c,19,"g=1, batch=32"
2026-01-20 03:55:29,enqueue,job-66c9f8637305,20,"g=1, batch=8"
2026-01-20 04:00:06,enqueue,job-6324da136d80,21,"g=4, batch=16"
2026-01-20 04:00:11,enqueue,job-fdda4f91642b,22,"g=1, batch=32"
2026-01-20 04:00:18,enqueue,job-c6af22f4a075,23,"g=2, batch=32"
2026-01-20 04:07:42,enqueue,job-3d9efd5f6965,24,"g=2, batch=64"
2026-01-20 04:15:58,dequeue_start,job-085f54f30a24,23,"g=4, cluster=clusterB"
2026-01-20 04:19:49,dequeue_start,job-222899da58d5,22,"g=4, cluster=clusterB"
2026-01-20 04:21:53,dequeue_start,job-2c23297e6a3c,21,"g=4, cluster=clusterB"
2026-01-20 04:23:43,enqueue,job-6a96f9f7a4d6,22,"g=4, batch=16"
2026-01-20 04:25:35,enqueue,job-5555d46ab7da,23,"g=1, batch=32"
2026-01-20 04:29:43,dequeue_start,job-4a1b7b55fdfb,22,"g=4, cluster=clusterA"
2026-01-20 04:32:06,enqueue,job-1c613de17aab,23,"g=4, batch=64"
2026-01-20 04:32:52,enqueue,job-142047202671,24,"g=2, batch=64"
2026-01-20 04:39:43,enqueue,job-bd8783a25de9,25,"g=1, batch=64"
2026-01-20 04:42:41,enqueue,job-325d8eddba46,26,"g=2, batch=16"
2026-01-20 04:42:44,enqueue,job-47b8ff222616,27,"g=2, batch=32"
2026-01-20 04:52:40,dequeue_start,job-480eadba49d4,26,"g=1, cluster=clusterB"
