ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2026-01-24 23:36:30,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:30,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:35,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:35,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:40,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:40,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:45,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:45,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:50,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:50,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:55,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:36:55,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:00,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:00,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:05,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:05,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:10,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:10,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:15,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:15,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:20,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:20,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:25,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:25,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:30,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:30,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:35,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:35,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:40,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:40,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:45,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:45,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:50,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:50,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:55,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:37:55,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:00,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:00,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:05,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:05,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:10,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:10,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:15,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:15,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:20,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:20,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:25,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:25,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:30,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:30,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:35,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:35,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:40,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:40,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:45,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:45,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:50,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:50,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:55,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:38:55,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:00,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:00,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:05,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:05,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:10,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:10,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:15,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:15,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:20,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:20,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:25,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:25,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:30,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:30,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:35,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:35,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:40,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:40,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:45,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:45,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:50,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:50,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:55,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:39:55,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:00,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:00,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:05,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:05,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:10,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:10,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:15,clusterA,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:15,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:20,clusterA,1,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:20,clusterB,1,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:26,clusterA,0,4,1,3,0.25,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:26,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:31,clusterA,0,4,1,3,0.25,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:31,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:36,clusterA,0,4,1,3,0.25,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:36,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:41,clusterA,0,4,1,3,0.25,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:41,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:46,clusterA,0,4,1,3,0.25,1.0,0.5,0.0,0.0,0.0
2026-01-24 23:40:46,clusterB,0,4,0,4,0.00,1.0,0.5,0.0,0.0,0.0
