job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status,final_accuracy
job-d38e73ec,clusterA,DeepSpeech2,ARCTIC,1,2026-01-25 00:23:36,2026-01-25 00:23:39,2026-01-25 00:23:42,3.12,6.95,FAILED,
job-0c8c1c5a,clusterA,DistilBERT,SST-2,1,2026-01-24 23:40:18,2026-01-24 23:40:21,2026-01-25 00:32:08,2.36,3109.47,FINISHED,50.91743119266055
job-912dbee6,clusterA,DistilBERT,SST-2,1,2026-01-25 00:03:59,2026-01-25 00:04:03,2026-01-25 00:38:36,4.36,2076.72,FINISHED,50.91743119266055
job-bc4daa86,clusterB,DenseNet-121,TinyImageNet,4,2026-01-25 00:02:00,2026-01-25 00:02:03,2026-01-25 00:45:54,3.11,2633.62,FINISHED,55.02
job-bed9de98,clusterA,EfficientNetV2-S,MNIST,1,2026-01-24 23:45:05,2026-01-24 23:45:06,2026-01-25 00:45:56,0.51,3650.54,FINISHED,99.57
job-a5efdded,clusterA,ResNet-18,CIFAR-100,1,2026-01-25 00:28:36,2026-01-25 00:28:39,2026-01-25 00:53:25,2.75,1489.23,FINISHED,61.19
job-e97fe704,clusterA,ResNet-18,CIFAR-100,1,2026-01-25 00:32:23,2026-01-25 00:32:24,2026-01-25 00:56:56,1.42,1473.08,FINISHED,60.59
job-f169d782,clusterA,DeepSpeech2,ARCTIC,1,2026-01-25 01:11:03,2026-01-25 01:11:05,2026-01-25 01:11:09,2.11,5.99,FAILED,
job-c1887bb6,clusterA,DistilBERT,SST-2,1,2026-01-25 00:38:37,2026-01-25 00:38:39,2026-01-25 01:13:17,2.23,2080.11,FINISHED,50.91743119266055
job-ab53cbbb,clusterA,ResNet-50,CIFAR-10,1,2026-01-25 00:49:51,2026-01-25 00:49:54,2026-01-25 01:28:32,3.86,2321.33,FINISHED,85.96
job-d0e41384,clusterA,DeepSpeech2,ARCTIC,1,2026-01-25 01:17:24,2026-01-25 01:28:36,2026-01-25 01:28:39,671.93,675.51,FAILED,
job-637861c9,clusterB,DenseNet-121,TinyImageNet,4,2026-01-25 01:12:14,2026-01-25 01:12:15,2026-01-25 01:55:40,1.28,2605.99,FINISHED,54.63
job-8c9e2e59,clusterB,DeepSpeech2,ARCTIC,1,2026-01-25 01:42:07,2026-01-25 01:55:42,2026-01-25 01:55:50,815.08,823.29,FAILED,
job-6487e494,clusterA,EfficientNetV2-S,MNIST,1,2026-01-25 01:14:31,2026-01-25 01:14:35,2026-01-25 02:22:37,4.73,4086.39,FINISHED,99.3
job-9edf0aaf,clusterA,EfficientNetV2-S,MNIST,1,2026-01-25 01:18:58,2026-01-25 01:28:41,2026-01-25 02:31:10,582.59,4331.33,FINISHED,99.5
