epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,65.86149621009827,6.44777250289917,72.5634093284607,0.0,89.876992,1205.59616,0.0,47.0,0.5407677539875002,13.01,37.01,0.09247037023305893,,1.0,32,4,0.001,,4.0949075,3.7058734375,4.0949075,3.7058734375
2,0,66.66902446746826,6.608590126037598,73.42970490455627,16.2,685.649408,2348.429312,0.0,48.0,4.125383840026813,20.75,49.09,0.17739547789096832,,1.0,32,4,0.001,,3.6945471875,3.2646544921875,3.6945471875,3.2646544921875
3,0,64.83094882965088,6.100283861160278,71.08411598205566,13.1,656.569344,2341.756928,0.0,38.0,3.9504162477080493,27.15,56.29,0.25203293561935425,,1.0,32,4,0.001,,3.38575375,2.9571271484375,3.38575375,2.9571271484375
4,0,66.61656665802002,6.173068046569824,72.9512927532196,19.7,814.104064,2342.432768,0.0,49.0,4.898263909426075,30.13,62.23,0.2858079671859741,,1.0,32,4,0.001,,3.1317071875,2.7330123046875,3.1317071875,2.7330123046875
5,0,67.24342465400696,6.327428340911865,73.72872734069824,19.0,247.903744,2342.805504,0.0,50.0,1.4915758512253305,36.81,68.79,0.35340288281440735,,1.0,32,4,0.001,,2.9152225,2.42870625,2.9152225,2.42870625
6,0,67.42845344543457,6.4669153690338135,74.06144428253174,19.7,600.706048,2342.649856,0.0,53.0,3.614300536267029,39.59,70.89,0.3800475299358368,,1.0,32,4,0.001,,2.7419259375,2.3290466796875,2.7419259375,2.3290466796875
7,0,66.8669228553772,6.5600340366363525,73.57658362388611,19.2,940.634112,2342.219776,0.0,53.0,5.659564085881587,44.48,75.18,0.43475329875946045,,1.0,32,4,0.001,,2.592908125,2.10380234375,2.592908125,2.10380234375
8,0,66.91950917243958,6.191766023635864,73.3492705821991,19.3,814.104064,2342.723584,0.0,54.0,4.898263909426075,45.37,75.72,0.44471120834350586,,1.0,32,4,0.001,,2.4449159375,2.0928046875,2.4449159375,2.0928046875
9,0,66.80681324005127,6.364406108856201,73.32272672653198,21.5,296.043008,2357.67808,0.0,53.0,1.781217961988131,47.87,77.49,0.4714428186416626,,1.0,32,4,0.001,,2.34217046875,2.0298443359375,2.34217046875,2.0298443359375
10,0,64.75999069213867,6.494115352630615,71.45131969451904,21.2,266.41408,2342.408192,0.0,53.0,1.6029479899844243,50.6,79.54,0.5020508170127869,,1.0,32,4,0.001,,2.2314934375,1.8625369140625,2.2314934375,1.8625369140625
11,0,66.35635757446289,6.408716917037964,72.92777562141418,19.5,939.45088,2342.334464,0.0,52.0,5.6524448699749605,53.31,81.12,0.5261053442955017,,1.0,32,4,0.001,,2.14705203125,1.758071484375,2.14705203125,1.758071484375
12,0,66.94159698486328,6.40641975402832,73.5049684047699,19.7,350.62528,2342.805504,0.0,54.0,2.109626067112241,54.22,81.99,0.5367092490196228,,1.0,32,4,0.001,,2.0669403125,1.7182998046875,2.0669403125,1.7182998046875
13,0,68.54291272163391,6.782935857772827,75.48576641082764,20.5,922.675712,2341.80608,0.0,54.0,5.551512810275822,55.42,83.08,0.5487306118011475,,1.0,32,4,0.001,,1.99983765625,1.6434513671875,1.99983765625,1.6434513671875
14,0,69.18443536758423,6.3583149909973145,75.7082200050354,22.3,342.411776,2361.63072,0.0,54.0,2.060207433804538,56.98,84.01,0.5667194128036499,,1.0,32,4,0.001,,1.9291309375,1.58677939453125,1.9291309375,1.58677939453125
15,0,66.54623246192932,6.104253053665161,72.80535459518433,16.0,296.043008,2342.240256,0.0,55.0,1.781217961988131,57.41,83.98,0.5658984184265137,,1.0,32,4,0.001,,1.87057640625,1.60025615234375,1.87057640625,1.60025615234375
16,0,64.39241147041321,6.366316556930542,70.88324546813965,15.9,350.62528,2342.76864,0.0,54.0,2.109626067112241,58.23,84.68,0.5742021799087524,,1.0,32,4,0.001,,1.81120265625,1.5505388671875,1.81120265625,1.5505388671875
17,0,66.22341561317444,6.281742334365845,72.66893935203552,15.0,923.774976,2343.292928,0.0,55.0,5.558126811379902,59.56,85.5,0.5915735960006714,,1.0,32,4,0.001,,1.75243859375,1.47818984375,1.75243859375,1.47818984375
18,0,68.07254719734192,6.608181715011597,74.8361029624939,21.2,247.903744,2342.903808,0.0,55.0,1.4915758512253305,59.61,85.31,0.5896634459495544,,1.0,32,4,0.001,,1.7019165625,1.5278994140625,1.7019165625,1.5278994140625
19,0,67.6237940788269,6.2265729904174805,73.99800038337708,21.2,762.721792,2362.044416,0.0,55.0,4.58910941720392,60.0,85.83,0.5985386371612549,,1.0,32,4,0.001,,1.66188515625,1.6445798828125,1.66188515625,1.6445798828125
20,0,67.84881496429443,6.605413436889648,74.61037826538086,20.9,762.721792,2342.592512,0.0,55.0,4.58910941720392,61.19,86.83,0.6090485453605652,,1.0,32,4,0.001,,1.6172521875,1.43151162109375,1.6172521875,1.43151162109375
