epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,166.43976759910583,9.292925357818604,175.93038487434387,0.0,164.337152,1185.038336,0.0,40.0,0.9887762218804833,98.5,99.99,0.9849019050598145,,1.0,64,4,0.001,,0.38295895182291667,0.04901085815429688,0.38295895182291667,0.04901085815429688
2,0,174.99621558189392,9.4064040184021,184.53714084625244,12.5,512.604672,2653.57312,0.0,42.0,3.084216227006565,98.82,100.0,0.9881009459495544,,1.0,64,4,0.001,,0.07070428873697916,0.04068831787109375,0.07070428873697916,0.04068831787109375
3,0,174.49101161956787,9.304105281829834,183.93813133239746,12.7,5936.748544,2632.237056,0.0,43.0,35.71995573825436,97.97,100.0,0.9796667695045471,,1.0,64,4,0.001,,0.055955558268229164,0.0661964599609375,0.055955558268229164,0.0661964599609375
4,0,173.72143006324768,9.699400424957275,183.57294178009033,12.5,1129.632768,2633.68704,0.0,42.0,6.796722511385815,99.04,100.0,0.9904783964157104,,1.0,64,4,0.001,,0.04164910888671875,0.031054043579101562,0.04164910888671875,0.031054043579101562
5,0,174.932142496109,9.58916187286377,184.68622374534607,11.9,6934.896128,2633.6256,0.0,42.0,41.72556423867826,99.31,100.0,0.993026614189148,,1.0,64,4,0.001,,0.04135678304036458,0.02112142333984375,0.04135678304036458,0.02112142333984375
6,0,179.04123258590698,9.891736507415771,189.10328149795532,18.5,512.604672,2644.676608,0.0,59.0,3.084216227006565,99.13,100.0,0.9912658333778381,,1.0,64,4,0.001,,0.040973075358072916,0.029772543334960936,0.040973075358072916,0.029772543334960936
7,0,179.68165707588196,10.234455108642578,190.07609462738037,19.8,9978.309632,2634.129408,0.0,64.0,60.03703470948917,99.25,100.0,0.9925040006637573,,1.0,64,4,0.001,,0.03496826578776042,0.022184031677246092,0.03496826578776042,0.022184031677246092
8,0,183.98267555236816,9.725569248199463,193.87054991722107,18.2,7707.892224,2633.043968,0.0,59.0,46.376491615898736,99.12,99.99,0.9911414384841919,,1.0,64,4,0.001,,0.03172118733723958,0.025617196655273438,0.03172118733723958,0.025617196655273438
9,0,182.486088514328,9.708690881729126,192.34554243087769,20.5,432.418816,2634.379264,0.0,61.0,2.601757654620374,99.23,100.0,0.9922701716423035,,1.0,64,4,0.001,,0.03247778930664062,0.023403205871582032,0.03247778930664062,0.023403205871582032
10,0,180.19502687454224,9.54226565361023,189.8874535560608,15.6,10260.975104,2634.584064,0.0,62.0,61.73776332781292,99.49,100.0,0.9948977828025818,,1.0,64,4,0.001,,0.027333455403645835,0.01626021728515625,0.027333455403645835,0.01626021728515625
11,0,173.69876074790955,9.523107290267944,183.37726068496704,15.9,9091.072,2634.317824,0.0,62.0,54.69874410993474,99.43,100.0,0.994269847869873,,1.0,64,4,0.001,,0.026056172688802084,0.01854790954589844,0.026056172688802084,0.01854790954589844
12,0,176.1847870349884,9.56513500213623,185.8912811279297,15.3,431.80288,2634.24,0.0,62.0,2.598051719209006,99.42,100.0,0.9942123889923096,,1.0,64,4,0.001,,0.022156917317708334,0.019110263061523438,0.022156917317708334,0.019110263061523438
13,0,173.4710681438446,9.317409038543701,182.93392372131348,15.9,512.604672,2634.493952,0.0,63.0,3.084216227006565,99.58,100.0,0.9958119988441467,,1.0,64,4,0.001,,0.022449139404296874,0.013891744995117188,0.022449139404296874,0.013891744995117188
14,0,174.55442142486572,9.425432920455933,184.12643814086914,16.2,461.320704,2634.73152,0.0,60.0,2.7756532057727563,99.5,100.0,0.9949550032615662,,1.0,64,4,0.001,,0.018363116455078127,0.016286279296875,0.018363116455078127,0.016286279296875
15,0,175.84983849525452,9.419419050216675,185.4096999168396,15.8,2484.662784,2634.625024,0.0,64.0,14.949604823445908,99.43,99.99,0.9942524433135986,,1.0,64,4,0.001,,0.01783134765625,0.018015255737304687,0.01783134765625,0.018015255737304687
16,0,174.64138412475586,9.270121812820435,184.0562038421631,15.5,8476.212224,2634.551296,0.0,63.0,50.99928407365786,99.39,100.0,0.9938279986381531,,1.0,64,4,0.001,,0.01673525085449219,0.01648411865234375,0.01673525085449219,0.01648411865234375
17,0,175.1023304462433,9.7007315158844,184.94713258743286,15.6,512.604672,2634.366976,0.0,62.0,3.084216227006565,99.45,100.0,0.9944334626197815,,1.0,64,4,0.001,,0.013756470743815105,0.01962473602294922,0.013756470743815105,0.01962473602294922
18,0,177.07694101333618,9.283870935440063,186.61049032211304,15.3,456.897024,2634.170368,0.0,63.0,2.7490370112970957,99.62,100.0,0.9961732029914856,,1.0,64,4,0.001,,0.014936037190755208,0.012966465759277344,0.014936037190755208,0.012966465759277344
19,0,175.22600889205933,9.59279179573059,184.9615776538849,16.3,512.60416,2648.543232,0.0,64.0,3.0842131464285005,99.54,100.0,0.9953903555870056,,1.0,64,4,0.001,,0.014129844156901042,0.01335264892578125,0.014129844156901042,0.01335264892578125
20,0,174.51574206352234,9.534095525741577,184.17695689201355,16.7,7616.763904,2634.498048,0.0,60.0,45.828194929122056,99.31,99.99,0.9931755661964417,,1.0,64,4,0.001,,0.011860211181640625,0.020221058654785157,0.011860211181640625,0.020221058654785157
