epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,3,96.28781199455261,3.4115688800811768,99.88228917121887,14.2,239.543808,2262.8352,0.0,45.0,1.4412761725912344,11.25,30.77,0.08581975102424622,,0.25,64,4,0.001,,4.6225528125,4.152541796875,4.618030625,4.19161328125
2,3,97.16626214981079,2.9266951084136963,100.32710838317871,13.5,241.957376,2618.220544,0.0,48.0,1.455798017586404,19.31,44.43,0.16513167321681976,,0.25,64,4,0.001,,4.033433125,3.58245078125,4.0225815625,3.623894921875
3,3,100.06273913383484,3.1096765995025635,103.36854577064514,14.9,241.957376,2618.073088,0.0,49.0,1.455798017586404,24.74,51.56,0.22496254742145538,,0.25,64,4,0.001,,3.664715,3.2715060546875,3.6773646875,3.31684453125
4,3,99.17521548271179,3.039870500564575,102.484619140625,15.4,241.957376,2619.53536,0.0,48.0,1.455798017586404,29.14,56.42,0.2727031409740448,,0.25,64,4,0.001,,3.39444125,3.050420703125,3.4084575,3.07253203125
5,3,98.2644693851471,2.963547468185425,101.3954827785492,13.6,241.956864,2618.703872,0.0,50.0,1.4557949370083394,34.38,62.03,0.3283882141113281,,0.25,64,4,0.001,,3.184809375,2.7947453125,3.202558125,2.824253125
6,3,98.53103542327881,3.064436435699463,101.90622687339783,15.5,8288.274944,2620.55936,0.0,49.0,49.86851168648094,38.34,66.04,0.370198518037796,,0.25,64,4,0.001,,3.011045625,2.61084453125,3.0117415625,2.6117435546875
7,3,98.50588703155518,3.155992269515991,101.9893536567688,14.8,241.957376,2619.76064,0.0,52.0,1.455798017586404,39.83,67.94,0.3916381001472473,,0.25,64,4,0.001,,2.87891625,2.51335078125,2.8915990625,2.538232421875
8,3,98.52026081085205,3.299842596054077,102.01515674591064,15.0,265.900032,2621.362176,0.0,50.0,1.5998550896078545,41.34,69.03,0.4018096923828125,,0.25,64,4,0.001,,2.7618175,2.434454296875,2.7499625,2.4434080078125
9,3,98.2676727771759,3.0030815601348877,101.47286820411682,13.7,3997.50912,2620.239872,0.0,50.0,24.0520291151594,42.56,70.38,0.4177737534046173,,0.25,64,4,0.001,,2.65622125,2.3701478515625,2.653019375,2.3423720703125
10,3,99.45877599716187,3.239051580429077,102.94447255134583,15.3,4511.475712,2621.784064,0.0,50.0,27.14443967981704,45.7,72.54,0.4521629512310028,,0.25,64,4,0.001,,2.5720984375,2.250708984375,2.556696875,2.2470904296875
11,3,98.87096524238586,3.373565196990967,102.47283458709717,15.5,6867.134976,2620.70272,0.0,52.0,41.31786205417874,48.17,73.79,0.47383254766464233,,0.25,64,4,0.001,,2.4850175,2.16447890625,2.48078578125,2.154121484375
12,3,100.4079258441925,3.2002334594726562,103.84834241867065,14.4,241.957376,2631.254016,0.0,53.0,1.455798017586404,48.52,74.76,0.47858789563179016,,0.25,64,4,0.001,,2.41563203125,2.1324501953125,2.40967734375,2.130848828125
13,3,98.50307941436768,3.2152113914489746,101.88349056243896,15.3,7907.747328,2621.210624,0.0,49.0,47.57897061867865,48.95,74.73,0.4866430163383484,,0.25,64,4,0.001,,2.34842296875,2.12121640625,2.35289109375,2.1225935546875
14,3,98.25281953811646,3.0741426944732666,101.61619758605957,15.0,241.957376,2621.99296,0.0,52.0,1.455798017586404,49.14,75.64,0.48549261689186096,,0.25,64,4,0.001,,2.2834646875,2.119028515625,2.280669375,2.1068625
15,3,102.25173115730286,3.328686475753784,105.72245216369629,14.9,241.957376,2621.93152,0.0,52.0,1.455798017586404,51.15,77.39,0.5060485601425171,,0.25,64,4,0.001,,2.21562984375,2.0218416015625,2.20894796875,2.0095384765625
16,3,100.77425408363342,3.236464738845825,104.25480532646179,15.0,241.957376,2622.189568,0.0,52.0,1.455798017586404,51.85,77.1,0.5160707831382751,,0.25,64,4,0.001,,2.15561109375,1.99406640625,2.166959375,1.9689298828125
17,3,100.58552813529968,2.93514084815979,103.86995387077332,13.7,241.957376,2621.816832,0.0,53.0,1.455798017586404,53.61,78.44,0.5325034856796265,,0.25,64,4,0.001,,2.1054621875,1.92837890625,2.106061875,1.901513671875
18,3,100.18792533874512,3.2547731399536133,103.72343492507935,14.9,241.957376,2630.602752,0.0,53.0,1.455798017586404,53.13,77.76,0.5323890447616577,,0.25,64,4,0.001,,2.04668046875,1.9574736328125,2.0528025,1.9300091796875
19,3,103.64185976982117,3.0140135288238525,106.85237383842468,12.5,188.537856,2622.263296,0.0,53.0,1.1343859052463476,53.94,77.9,0.5383495688438416,,0.25,64,4,0.001,,1.99968234375,1.9656716796875,2.00750796875,1.954010546875
20,3,100.55752730369568,3.11773681640625,103.91941046714783,12.6,241.957376,2622.205952,0.0,50.0,1.455798017586404,53.9,78.69,0.5383456945419312,,0.25,64,4,0.001,,1.952081875,1.93277109375,1.96172125,1.8943640625
