epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,48.079408407211304,6.0930469036102295,54.36256289482117,0.0,89.876992,1193.500672,78.0,51.0,0.3534900306471735,12.35,35.67,0.09174733608961105,,1.0,128,4,0.001,,4.01559625,3.73944140625,4.01559625,3.73944140625
2,0,47.10074162483215,6.040582180023193,53.22492837905884,62.4,411.570176,2979.565568,78.0,66.0,1.6187230000721717,19.2,46.32,0.16787509620189667,,1.0,128,4,0.001,,3.6788884375,3.378474609375,3.6788884375,3.378474609375
3,0,46.97181153297424,6.033169984817505,53.088683128356934,63.3,411.373568,2915.823616,75.0,67.0,1.6179497324494025,27.0,57.27,0.24908992648124695,,1.0,128,4,0.001,,3.36245375,2.9302802734375,3.36245375,2.9302802734375
4,0,47.08026099205017,6.093728542327881,53.25675082206726,62.2,411.373568,2916.548608,75.0,67.0,1.6179497324494025,30.37,61.65,0.27756768465042114,,1.0,128,4,0.001,,3.0396184375,2.7570775390625,3.0396184375,2.7570775390625
5,0,47.11061954498291,6.476414203643799,53.67938590049744,62.3,411.373568,2907.516928,77.0,67.0,1.6179497324494025,37.81,69.28,0.365342915058136,,1.0,128,4,0.001,,2.7856603125,2.382072265625,2.7856603125,2.382072265625
6,0,46.9570746421814,5.970164775848389,53.01898694038391,62.2,411.373568,2907.717632,77.0,67.0,1.6179497324494025,42.77,73.96,0.4110628664493561,,1.0,128,4,0.001,,2.58439875,2.1566244140625,2.58439875,2.1566244140625
7,0,47.26487684249878,5.938025712966919,53.2852303981781,61.7,411.373568,2916.036608,79.0,66.0,1.6179497324494025,45.29,76.92,0.4462527930736542,,1.0,128,4,0.001,,2.42082859375,2.014025390625,2.42082859375,2.014025390625
8,0,47.087687730789185,6.154314041137695,53.32647919654846,62.5,411.373568,2965.274624,77.0,67.0,1.6179497324494025,49.73,79.74,0.48585420846939087,,1.0,128,4,0.001,,2.26119671875,1.8461814453125,2.26119671875,1.8461814453125
9,0,47.21640658378601,6.048000335693359,53.347193479537964,62.5,364.151296,2925.768704,79.0,66.0,1.4322225290233117,50.23,80.13,0.49425816535949707,,1.0,128,4,0.001,,2.14595015625,1.8375314453125,2.14595015625,1.8375314453125
10,0,47.09662318229675,6.252297639846802,53.442671060562134,61.8,411.373568,2917.543936,78.0,68.0,1.6179497324494025,51.91,80.77,0.5127719640731812,,1.0,128,4,0.001,,2.03166796875,1.7927724609375,2.03166796875,1.7927724609375
11,0,47.09554719924927,6.343216419219971,53.52318477630615,62.3,411.373568,2927.382528,78.0,67.0,1.6179497324494025,54.92,83.69,0.5438032746315002,,1.0,128,4,0.001,,1.93993609375,1.61212880859375,1.93993609375,1.61212880859375
12,0,47.141032695770264,6.3694493770599365,53.60594344139099,61.7,411.373568,2909.077504,79.0,67.0,1.6179497324494025,58.31,86.09,0.5756663680076599,,1.0,128,4,0.001,,1.8518465625,1.48336318359375,1.8518465625,1.48336318359375
13,0,46.92586898803711,6.388172388076782,53.397456645965576,62.1,411.373568,2987.974656,76.0,68.0,1.6179497324494025,58.84,85.6,0.582176923751831,,1.0,128,4,0.001,,1.79262921875,1.50295751953125,1.79262921875,1.50295751953125
14,0,46.99703121185303,6.205475568771362,53.286376953125,62.9,411.373568,2987.974656,77.0,66.0,1.6179497324494025,59.01,86.63,0.5833023190498352,,1.0,128,4,0.001,,1.70471765625,1.46939169921875,1.70471765625,1.46939169921875
15,0,47.09364295005798,6.529376745223999,53.7065212726593,62.3,411.373568,2927.484928,78.0,67.0,1.6179497324494025,60.92,87.3,0.6051792502403259,,1.0,128,4,0.001,,1.65830359375,1.40436484375,1.65830359375,1.40436484375
16,0,46.890421628952026,6.439886093139648,53.458391189575195,61.9,302.576128,2927.525888,77.0,66.0,1.1900447754173067,62.15,88.31,0.624056875705719,,1.0,128,4,0.001,,1.5996359375,1.34262041015625,1.5996359375,1.34262041015625
17,0,46.922279357910156,6.693233966827393,53.69873881340027,63.1,411.373568,2927.5136,76.0,67.0,1.6179497324494025,62.94,88.36,0.6296653747558594,,1.0,128,4,0.001,,1.54065546875,1.31595634765625,1.54065546875,1.31595634765625
18,0,47.32776951789856,6.3241283893585205,53.73645639419556,61.8,411.373568,2927.5136,80.0,67.0,1.6179497324494025,63.23,88.84,0.63272625207901,,1.0,128,4,0.001,,1.494974375,1.31668681640625,1.494974375,1.31668681640625
19,0,46.935439586639404,6.314546823501587,53.33403420448303,62.7,411.373568,3004.6208,79.0,68.0,1.6179497324494025,64.94,89.02,0.6511420011520386,,1.0,128,4,0.001,,1.45165453125,1.26135302734375,1.45165453125,1.26135302734375
20,0,47.063512086868286,6.0142974853515625,53.16242074966431,62.5,364.151296,2927.587328,77.0,68.0,1.4322225290233117,64.39,89.55,0.6434160470962524,,1.0,128,4,0.001,,1.4106159375,1.26630693359375,1.4106159375,1.26630693359375
