epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,124.77105689048767,3.1076114177703857,129.70324897766113,54.3,211.63008,2110.52544,77.0,60.0,0.8323501020713262,10.63,28.16,0.08442255854606628,,0.25,64,4,0.001,,4.6152428125,4.267409765625,4.6267234375,4.281345703125
2,0,124.3230984210968,2.860152006149292,128.4208254814148,54.6,242.432512,2416.173056,76.0,60.0,0.9534973766895898,18.06,41.86,0.15593981742858887,,0.25,64,4,0.001,,4.0468590625,3.722220703125,4.04645375,3.779045703125
3,0,124.24798727035522,2.746504306793213,129.4352252483368,54.3,242.432512,2417.176576,79.0,59.0,0.9534973766895898,24.5,50.49,0.2220992147922516,,0.25,64,4,0.001,,3.673476875,3.329730859375,3.6851175,3.32108359375
4,0,124.35963559150696,2.9165029525756836,128.58070731163025,54.5,214.043648,2419.863552,77.0,61.0,0.8418427676279242,29.04,56.21,0.27132120728492737,,0.25,64,4,0.001,,3.4051128125,3.05281640625,3.3871303125,3.05665234375
5,0,123.81780505180359,2.929821252822876,128.2025055885315,54.3,242.432512,2418.03264,76.0,59.0,0.9534973766895898,33.34,61.41,0.3129371702671051,,0.25,64,4,0.001,,3.1855525,2.835078515625,3.1880309375,2.815999609375
6,0,125.4568521976471,2.803128719329834,129.76646447181702,54.1,242.432512,2417.74592,76.0,61.0,0.9534973766895898,35.27,63.4,0.3382127285003662,,0.25,64,4,0.001,,3.0222571875,2.723928515625,3.0194596875,2.718661328125
7,0,124.98220014572144,2.7810680866241455,129.35376954078674,54.5,8201.471488,2418.515968,77.0,61.0,32.25673604703014,39.38,66.99,0.38192492723464966,,0.25,64,4,0.001,,2.877054375,2.54161015625,2.877591875,2.5423451171875
8,0,125.06676769256592,2.9146275520324707,129.34696197509766,54.5,6488.876544,2420.994048,76.0,60.0,25.521027321478286,42.23,69.19,0.41177287697792053,,0.25,64,4,0.001,,2.7632115625,2.4265341796875,2.76449,2.41777421875
9,0,126.17007279396057,3.1024041175842285,130.7041974067688,54.4,7607.346688,2420.989952,75.0,61.0,29.92001794947469,41.63,68.26,0.4113372266292572,,0.25,64,4,0.001,,2.6488490625,2.4879080078125,2.6362715625,2.50785859375
10,0,123.86005187034607,2.997189521789551,128.00831747055054,54.8,6673.196544,2419.994624,76.0,61.0,26.245965717824337,44.81,72.09,0.4413127303123474,,0.25,64,4,0.001,,2.5586584375,2.26992734375,2.5755578125,2.2605484375
11,0,124.04176831245422,2.893796443939209,128.51712012290955,55.0,242.432512,2420.064256,76.0,61.0,0.9534973766895898,46.79,73.45,0.4640693962574005,,0.25,64,4,0.001,,2.479584375,2.213805078125,2.486595625,2.1614361328125
12,0,126.21088194847107,2.8643417358398438,130.53232836723328,53.9,242.432512,2419.798016,78.0,61.0,0.9534973766895898,48.24,74.2,0.48099589347839355,,0.25,64,4,0.001,,2.4018740625,2.186141796875,2.397895,2.18039921875
13,0,124.40107440948486,2.834908962249756,128.56112790107727,56.6,189.901824,2420.383744,77.0,57.0,0.7468919474487324,49.05,75.17,0.48583582043647766,,0.25,64,4,0.001,,2.3322721875,2.114837890625,2.3159996875,2.090597265625
14,0,125.19800615310669,2.912738800048828,129.46738719940186,53.9,242.432512,2421.583872,79.0,61.0,0.9534973766895898,50.06,76.08,0.49672290682792664,,0.25,64,4,0.001,,2.26539390625,2.083686328125,2.28370484375,2.0478810546875
15,0,125.87193441390991,2.9294140338897705,130.2682864665985,54.4,242.432512,2418.704384,76.0,60.0,0.9534973766895898,50.88,76.59,0.5075960159301758,,0.25,64,4,0.001,,2.2087090625,2.0364435546875,2.2275340625,1.973662890625
16,0,125.86788177490234,2.960690498352051,130.20871305465698,54.5,7773.513216,2420.4288,74.0,61.0,30.573557968651734,52.7,77.51,0.5260806083679199,,0.25,64,4,0.001,,2.15385375,1.9660146484375,2.1430140625,1.9441486328125
17,0,125.15116834640503,2.876453161239624,129.24769020080566,54.3,253.472256,2421.47328,76.0,61.0,0.996917159195183,51.96,77.22,0.5196316242218018,,0.25,64,4,0.001,,2.098720625,1.9892775390625,2.11449484375,1.98609140625
18,0,124.59993243217468,2.847649335861206,128.64593410491943,54.6,7607.346688,2419.310592,75.0,61.0,29.92001794947469,53.02,77.63,0.5261297821998596,,0.25,64,4,0.001,,2.03580875,1.975284375,2.03983484375,1.9153025390625
19,0,126.08183741569519,2.8881053924560547,130.18273210525513,54.5,242.432512,2420.760576,76.0,60.0,0.9534973766895898,54.2,79.03,0.539656937122345,,0.25,64,4,0.001,,1.98582265625,1.884437109375,1.99422859375,1.8544546875
20,0,123.31165194511414,2.883455753326416,127.94230556488037,53.9,8084.555264,2420.760576,76.0,62.0,31.796899567356768,55.02,79.58,0.5475443005561829,,0.25,64,4,0.001,,1.94240375,1.8506875,1.94756875,1.82806875
