ts,event,job_id,queue_len_after,note
2026-01-24 23:40:18,enqueue,job-0c8c1c5a,1,"g_target=1, batch=32"
2026-01-24 23:40:21,dequeue_start,job-0c8c1c5a,0,"g=1, cluster=clusterA"
2026-01-24 23:45:05,enqueue,job-bed9de98,1,"g_target=1, batch=64"
2026-01-24 23:45:06,dequeue_start,job-bed9de98,0,"g=1, cluster=clusterA"
2026-01-25 00:02:00,enqueue,job-bc4daa86,1,"g_target=4, batch=64"
2026-01-25 00:02:03,dequeue_start,job-bc4daa86,0,"g=4, cluster=clusterB"
2026-01-25 00:03:59,enqueue,job-912dbee6,1,"g_target=1, batch=64"
2026-01-25 00:04:03,dequeue_start,job-912dbee6,0,"g=1, cluster=clusterA"
2026-01-25 00:23:36,enqueue,job-d38e73ec,1,"g_target=1, batch=32"
2026-01-25 00:23:39,dequeue_start,job-d38e73ec,0,"g=1, cluster=clusterA"
2026-01-25 00:28:36,enqueue,job-a5efdded,1,"g_target=1, batch=32"
2026-01-25 00:28:39,dequeue_start,job-a5efdded,0,"g=1, cluster=clusterA"
2026-01-25 00:32:23,enqueue,job-e97fe704,1,"g_target=1, batch=32"
2026-01-25 00:32:24,dequeue_start,job-e97fe704,0,"g=1, cluster=clusterA"
2026-01-25 00:38:37,enqueue,job-c1887bb6,1,"g_target=1, batch=64"
2026-01-25 00:38:39,dequeue_start,job-c1887bb6,0,"g=1, cluster=clusterA"
2026-01-25 00:49:51,enqueue,job-ab53cbbb,1,"g_target=1, batch=64"
2026-01-25 00:49:54,dequeue_start,job-ab53cbbb,0,"g=1, cluster=clusterA"
2026-01-25 01:03:11,enqueue,job-905f9080,1,"g_target=1, batch=16"
2026-01-25 01:03:15,dequeue_start,job-905f9080,0,"g=1, cluster=clusterA"
2026-01-25 01:11:03,enqueue,job-f169d782,1,"g_target=1, batch=16"
2026-01-25 01:11:05,dequeue_start,job-f169d782,0,"g=1, cluster=clusterA"
2026-01-25 01:12:14,enqueue,job-637861c9,1,"g_target=4, batch=64"
2026-01-25 01:12:15,dequeue_start,job-637861c9,0,"g=4, cluster=clusterB"
2026-01-25 01:14:31,enqueue,job-6487e494,1,"g_target=1, batch=64"
2026-01-25 01:14:35,dequeue_start,job-6487e494,0,"g=1, cluster=clusterA"
2026-01-25 01:16:39,enqueue,job-9dc1ae5b,1,"g_target=1, batch=16"
2026-01-25 01:16:40,dequeue_start,job-9dc1ae5b,0,"g=1, cluster=clusterA"
2026-01-25 01:17:24,enqueue,job-d0e41384,1,"g_target=0, batch=32"
2026-01-25 01:18:58,enqueue,job-9edf0aaf,2,"g_target=0, batch=64"
2026-01-25 01:27:56,enqueue,job-3b165a85,3,"g_target=0, batch=64"
2026-01-25 01:28:36,dequeue_start,job-d0e41384,2,"g=1, cluster=clusterA"
2026-01-25 01:28:41,dequeue_start,job-9edf0aaf,1,"g=1, cluster=clusterA"
2026-01-25 01:36:45,enqueue,job-a36a8510,2,"g_target=0, batch=64"
2026-01-25 01:42:07,enqueue,job-8c9e2e59,3,"g_target=0, batch=8"
2026-01-25 01:45:03,enqueue,job-8b464409,4,"g_target=0, batch=64"
2026-01-25 01:45:24,enqueue,job-480471dc,5,"g_target=0, batch=64"
2026-01-25 01:48:17,enqueue,job-581da131,6,"g_target=0, batch=16"
2026-01-25 01:50:40,enqueue,job-ef297406,7,"g_target=0, batch=64"
2026-01-25 01:55:42,dequeue_start,job-a36a8510,3,"g=1, cluster=clusterB"
2026-01-25 01:55:42,dequeue_start,job-3b165a85,3,"g=1, cluster=clusterB"
2026-01-25 01:55:42,dequeue_start,job-480471dc,3,"g=1, cluster=clusterB"
2026-01-25 01:55:42,dequeue_start,job-8c9e2e59,3,"g=1, cluster=clusterB"
2026-01-25 01:55:52,dequeue_start,job-581da131,2,"g=1, cluster=clusterB"
2026-01-25 01:56:55,enqueue,job-a7e63aa2,3,"g_target=0, batch=64"
2026-01-25 02:00:30,enqueue,job-cd691b74,4,"g_target=0, batch=64"
2026-01-25 02:01:31,enqueue,job-b175a99b,5,"g_target=0, batch=32"
2026-01-25 02:02:08,enqueue,job-71b0f6c1,6,"g_target=0, batch=16"
2026-01-25 02:15:01,enqueue,job-bb497318,7,"g_target=0, batch=8"
2026-01-25 02:16:01,enqueue,job-10032708,8,"g_target=0, batch=32"
2026-01-25 02:16:46,enqueue,job-8ee53bd9,9,"g_target=0, batch=32"
2026-01-25 02:21:57,enqueue,job-79e1760a,10,"g_target=0, batch=64"
2026-01-25 02:22:37,dequeue_start,job-a7e63aa2,9,"g=1, cluster=clusterA"
2026-01-25 02:25:46,enqueue,job-0caedf57,10,"g_target=0, batch=128"
2026-01-25 02:26:24,enqueue,job-060f6497,11,"g_target=0, batch=16"
2026-01-25 02:29:16,enqueue,job-074c0067,12,"g_target=0, batch=64"
2026-01-25 02:29:59,enqueue,job-684228cc,13,"g_target=0, batch=128"
2026-01-25 02:31:12,dequeue_start,job-cd691b74,12,"g=1, cluster=clusterA"
2026-01-25 02:34:38,dequeue_start,job-b175a99b,11,"g=1, cluster=clusterB"
2026-01-25 02:38:03,enqueue,job-0c240513,12,"g_target=0, batch=32"
2026-01-25 02:39:31,enqueue,job-5de6d07d,13,"g_target=0, batch=64"
2026-01-25 02:41:33,dequeue_start,job-71b0f6c1,12,"g=1, cluster=clusterB"
2026-01-25 02:41:38,dequeue_start,job-bb497318,11,"g=1, cluster=clusterB"
2026-01-25 02:41:43,dequeue_start,job-10032708,10,"g=1, cluster=clusterB"
2026-01-25 02:41:48,dequeue_start,job-8ee53bd9,9,"g=1, cluster=clusterB"
2026-01-25 02:47:08,dequeue_start,job-0caedf57,8,"g=1, cluster=clusterA"
2026-01-25 02:53:27,enqueue,job-4a012ee5,9,"g_target=0, batch=32"
