epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,186.42341303825378,9.545140981674194,196.1885962486267,0.0,164.337152,1184.927744,0.0,42.0,0.9887762218804833,98.47,99.97,0.9845041036605835,,1.0,64,4,0.001,,0.4126701171875,0.052872979736328124,0.4126701171875,0.052872979736328124
2,0,194.29085206985474,9.361497163772583,203.80606389045715,13.9,512.604672,2632.11008,0.0,42.0,3.084216227006565,98.16,100.0,0.9813820719718933,,1.0,64,4,0.001,,0.07273726399739583,0.05882166748046875,0.07273726399739583,0.05882166748046875
3,0,194.16989922523499,9.453915357589722,203.7667682170868,15.5,512.604672,2633.900032,0.0,44.0,3.084216227006565,98.59,99.98,0.9859071373939514,,1.0,64,4,0.001,,0.04766690673828125,0.04447452392578125,0.04766690673828125,0.04447452392578125
4,0,195.24224305152893,9.65253734588623,205.04647064208984,13.7,7288.858624,2634.289152,0.0,43.0,43.855269513613685,99.0,99.99,0.9899258613586426,,1.0,64,4,0.001,,0.043334716796875,0.034219198608398435,0.043334716796875,0.034219198608398435
5,0,192.4233660697937,9.79868221282959,202.38149857521057,12.3,3494.979584,2634.903552,0.0,43.0,21.028432503302376,99.23,100.0,0.9921704530715942,,1.0,64,4,0.001,,0.05533835856119792,0.026891653442382812,0.05533835856119792,0.026891653442382812
6,0,192.93709421157837,9.426947832107544,202.49630427360535,14.7,512.604672,2635.194368,0.0,44.0,3.084216227006565,99.22,100.0,0.9921579360961914,,1.0,64,4,0.001,,0.03833509521484375,0.02479553527832031,0.03833509521484375,0.02479553527832031
7,0,195.91888642311096,9.257266283035278,205.33583807945251,12.3,3442.548736,2634.125312,0.0,43.0,20.712968987204512,99.28,99.99,0.9928098917007446,,1.0,64,4,0.001,,0.04197908935546875,0.022290740966796875,0.04197908935546875,0.022290740966796875
8,0,194.51025295257568,9.726933479309082,204.39061903953552,12.7,8806.755328,2634.358784,0.0,42.0,52.988080627353554,99.32,100.0,0.9932000041007996,,1.0,64,4,0.001,,0.03082186075846354,0.021084671020507813,0.03082186075846354,0.021084671020507813
9,0,192.346843957901,9.352176666259766,201.8520565032959,12.7,4842.524672,2633.8304,0.0,42.0,29.136279844640285,98.79,100.0,0.9878352880477905,,1.0,64,4,0.001,,0.03192389322916667,0.0393831298828125,0.03192389322916667,0.0393831298828125
10,0,193.10717868804932,9.432532548904419,202.68522477149963,12.5,10068.321792,2634.129408,0.0,43.0,60.57861573608564,99.35,100.0,0.9934442043304443,,1.0,64,4,0.001,,0.028164495849609374,0.01951316833496094,0.028164495849609374,0.01951316833496094
11,0,195.40118265151978,9.474514245986938,205.0570843219757,12.7,5574.4896,2634.694656,0.0,42.0,33.54033277636482,99.45,99.99,0.9944855570793152,,1.0,64,4,0.001,,0.025189194742838542,0.017758462524414063,0.025189194742838542,0.017758462524414063
12,0,194.77340459823608,9.55785584449768,204.48345136642456,12.5,512.604672,2634.878976,0.0,42.0,3.084216227006565,99.37,99.99,0.9936245679855347,,1.0,64,4,0.001,,0.022774601236979167,0.019287391662597655,0.022774601236979167,0.019287391662597655
13,0,194.26111125946045,9.329695463180542,203.7481300830841,12.5,512.604672,2635.177984,0.0,42.0,3.084216227006565,99.1,100.0,0.9909095764160156,,1.0,64,4,0.001,,0.021886197916666666,0.03086796875,0.021886197916666666,0.03086796875
14,0,186.3907129764557,9.233525514602661,195.77135944366455,14.3,456.896512,2635.194368,0.0,42.0,2.749033930719031,99.35,100.0,0.9934448599815369,,1.0,64,4,0.001,,0.02298480021158854,0.019953460693359376,0.02298480021158854,0.019953460693359376
15,0,188.05427813529968,9.381619691848755,197.58853006362915,13.9,456.896512,2635.177984,0.0,41.0,2.749033930719031,99.59,99.99,0.9959294199943542,,1.0,64,4,0.001,,0.01805387980143229,0.01413229522705078,0.01805387980143229,0.01413229522705078
16,0,187.46002888679504,9.293631076812744,196.91390776634216,14.7,456.896512,2634.932224,0.0,41.0,2.749033930719031,99.27,99.99,0.9925836324691772,,1.0,64,4,0.001,,0.017290185546875,0.028221914672851563,0.017290185546875,0.028221914672851563
17,0,194.4709825515747,9.555116891860962,204.19929814338684,12.2,4851.570688,2634.518528,0.0,42.0,29.19070749788056,99.49,100.0,0.9948723912239075,,1.0,64,4,0.001,,0.015644173177083335,0.017157638549804687,0.015644173177083335,0.017157638549804687
18,0,196.21305227279663,9.50002121925354,205.89881992340088,12.4,4643.561984,2634.903552,0.0,42.0,27.939170289426468,99.42,99.99,0.9941977858543396,,1.0,64,4,0.001,,0.014750853474934897,0.01718935546875,0.014750853474934897,0.01718935546875
19,0,195.27511763572693,9.673115730285645,205.1048183441162,12.7,3547.408384,2634.579968,0.0,43.0,21.343883697087985,99.48,99.99,0.9946948289871216,,1.0,64,4,0.001,,0.01393697001139323,0.01588306427001953,0.01393697001139323,0.01588306427001953
20,0,194.05819153785706,9.310887813568115,203.61208629608154,12.5,2680.177664,2634.780672,0.0,42.0,16.12596976597464,99.3,100.0,0.992952287197113,,1.0,64,4,0.001,,0.013374850463867188,0.02369799346923828,0.013374850463867188,0.02369799346923828
