epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,50.46520400047302,5.95529580116272,56.60308814048767,55.6,324.38784,2248.11008,77.0,66.0,1.275831166036024,11.77,34.86,0.08742503076791763,,1.0,64,4,0.001,,4.06066625,3.759896484375,4.06066625,3.759896484375
2,0,49.28700661659241,5.785250902175903,55.15981936454773,55.2,287.447552,2492.002304,79.0,67.0,1.1305434428194368,18.95,46.23,0.15884000062942505,,1.0,64,4,0.001,,3.7176959375,3.354886328125,3.7176959375,3.354886328125
3,0,49.42932105064392,5.762021541595459,55.28038430213928,55.6,287.709696,2436.960256,77.0,67.0,1.1315744663164624,25.28,54.37,0.2290288209915161,,1.0,64,4,0.001,,3.4223609375,3.024312890625,3.4223609375,3.024312890625
4,0,49.245718240737915,5.930088043212891,55.26547646522522,55.6,335.07584,2437.414912,77.0,67.0,1.3178675244352571,31.2,62.89,0.29745522141456604,,1.0,64,4,0.001,,3.11945375,2.697310546875,3.11945375,2.697310546875
5,0,49.45099353790283,5.8102662563323975,55.34234929084778,55.6,335.07584,2446.852096,78.0,67.0,1.3178675244352571,36.82,68.68,0.35100364685058594,,1.0,64,4,0.001,,2.8519928125,2.4311287109375,2.8519928125,2.4311287109375
6,0,49.377280473709106,6.01569676399231,55.48202204704285,55.5,335.07584,2437.763072,78.0,67.0,1.3178675244352571,42.2,74.53,0.4073083996772766,,1.0,64,4,0.001,,2.616970625,2.1726505859375,2.616970625,2.1726505859375
7,0,49.245347023010254,5.718037366867065,55.04430556297302,55.6,335.07584,2468.683776,79.0,67.0,1.3178675244352571,47.16,78.61,0.4620974659919739,,1.0,64,4,0.001,,2.4246646875,1.9488439453125,2.4246646875,1.9488439453125
8,0,49.38583779335022,5.75701379776001,55.23133850097656,54.7,335.07584,2437.832704,77.0,66.0,1.3178675244352571,48.89,79.68,0.47430679202079773,,1.0,64,4,0.001,,2.28316625,1.877416015625,2.28316625,1.877416015625
9,0,49.409157276153564,5.651871204376221,55.14212512969971,55.7,287.709696,2447.138816,78.0,67.0,1.1315744663164624,51.56,80.83,0.5129136443138123,,1.0,64,4,0.001,,2.1517075,1.7866923828125,2.1517075,1.7866923828125
10,0,49.352113246917725,5.9464271068573,55.38368630409241,55.6,1163.119104,2490.454016,78.0,67.0,4.574596885922406,54.48,83.08,0.535413384437561,,1.0,64,4,0.001,,2.03779953125,1.651643359375,2.03779953125,1.651643359375
11,0,48.0905978679657,5.7052226066589355,53.87507653236389,55.4,335.07584,2455.928832,79.0,67.0,1.3178675244352571,56.07,84.15,0.5591667890548706,,1.0,64,4,0.001,,1.9519778125,1.5866294921875,1.9519778125,1.5866294921875
12,0,48.02885580062866,5.906800270080566,54.015400648117065,55.7,335.07584,2455.928832,77.0,67.0,1.3178675244352571,58.1,85.88,0.5757548213005066,,1.0,64,4,0.001,,1.86837453125,1.50725048828125,1.86837453125,1.50725048828125
13,0,48.06804156303406,5.651915550231934,53.800835847854614,55.6,335.07584,2455.9616,77.0,67.0,1.3178675244352571,59.59,86.47,0.5937252044677734,,1.0,64,4,0.001,,1.78996765625,1.454839453125,1.78996765625,1.454839453125
14,0,47.83444404602051,5.866348505020142,53.783660888671875,55.4,335.07584,2455.994368,79.0,67.0,1.3178675244352571,60.85,86.65,0.6067370772361755,,1.0,64,4,0.001,,1.72299828125,1.43728017578125,1.72299828125,1.43728017578125
15,0,47.73355722427368,5.611065864562988,53.42499566078186,55.6,335.07584,2438.701056,77.0,67.0,1.3178675244352571,62.03,87.92,0.6175805330276489,,1.0,64,4,0.001,,1.664755625,1.35653759765625,1.664755625,1.35653759765625
16,0,47.79122972488403,5.6907103061676025,53.56086754798889,55.6,335.07584,2447.826944,77.0,67.0,1.3178675244352571,63.1,88.71,0.6295346021652222,,1.0,64,4,0.001,,1.61538828125,1.29979560546875,1.61538828125,1.29979560546875
17,0,47.5479371547699,5.6401965618133545,53.27257227897644,55.8,265.980928,2447.7696,76.0,66.0,1.046114297976101,63.11,88.13,0.6286243200302124,,1.0,64,4,0.001,,1.561651875,1.3265625,1.561651875,1.3265625
18,0,47.72358322143555,5.746578931808472,53.56059813499451,55.7,335.07584,2438.713344,77.0,67.0,1.3178675244352571,64.56,89.25,0.6451237201690674,,1.0,64,4,0.001,,1.5097559375,1.28708525390625,1.5097559375,1.28708525390625
19,0,47.94919729232788,5.712796926498413,53.74125003814697,55.3,287.709696,2448.244736,76.0,67.0,1.1315744663164624,64.11,89.16,0.6401212215423584,,1.0,64,4,0.001,,1.456943125,1.265578515625,1.456943125,1.265578515625
20,0,48.41572570800781,5.641949415206909,54.14848470687866,55.1,1658.4064,2448.687104,77.0,67.0,6.52258287817942,65.32,89.4,0.6525646448135376,,1.0,64,4,0.001,,1.42363734375,1.26093154296875,1.42363734375,1.26093154296875
