epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,207.38333582878113,11.516348123550415,219.03866505622864,0.0,164.337152,1170.259968,77.0,55.0,0.6463450055933025,97.33,99.96,0.973064124584198,,1.0,64,4,0.001,,0.3990573567708333,0.09106813354492188,0.3990573567708333,0.09106813354492188
2,0,209.02155470848083,11.203735113143921,220.3125638961792,56.8,513.19808,2472.40704,76.0,67.0,2.0184298672041736,98.79,100.0,0.9877891540527344,,1.0,64,4,0.001,,0.07114598795572917,0.04104994201660156,0.07114598795572917,0.04104994201660156
3,0,209.36237931251526,11.335801124572754,220.7934923171997,56.8,513.19808,2474.647552,76.0,67.0,2.0184298672041736,99.02,99.99,0.9900975823402405,,1.0,64,4,0.001,,0.064140185546875,0.031738156127929684,0.064140185546875,0.031738156127929684
4,0,209.63068890571594,11.270037651062012,221.0014524459839,56.6,513.19808,2472.976384,77.0,67.0,2.0184298672041736,98.99,100.0,0.9897886514663696,,1.0,64,4,0.001,,0.05960719401041667,0.0281193115234375,0.05960719401041667,0.0281193115234375
5,0,209.70626378059387,11.269977331161499,221.06387329101562,55.5,513.197568,2474.295296,77.0,67.0,2.0184278534864064,99.18,100.0,0.9917542934417725,,1.0,64,4,0.001,,0.041618843587239586,0.024769610595703127,0.041618843587239586,0.024769610595703127
6,0,209.14178204536438,11.203561305999756,220.44555377960205,56.7,8305.41568,2475.864064,79.0,67.0,32.66555297334289,98.89,99.99,0.9888070821762085,,1.0,64,4,0.001,,0.034403507486979165,0.034085714721679684,0.034403507486979165,0.034085714721679684
7,0,209.6565089225769,11.287734985351562,221.04369139671326,56.6,513.19808,2472.77568,77.0,67.0,2.0184298672041736,99.16,100.0,0.9915450811386108,,1.0,64,4,0.001,,0.03743013102213542,0.024312065124511718,0.03743013102213542,0.024312065124511718
8,0,209.29825711250305,11.48097848892212,220.87751173973083,56.8,513.19808,2473.332736,77.0,66.0,2.0184298672041736,99.43,99.99,0.9943073391914368,,1.0,64,4,0.001,,0.031145314534505208,0.016539334106445314,0.031145314534505208,0.016539334106445314
9,0,209.9141387939453,11.513561487197876,221.5290172100067,56.7,513.19808,2475.266048,79.0,68.0,2.0184298672041736,99.37,100.0,0.9936554431915283,,1.0,64,4,0.001,,0.0277486328125,0.019682069396972656,0.0277486328125,0.019682069396972656
10,0,210.17936635017395,11.360908269882202,221.62874794006348,56.6,513.19808,2476.404736,77.0,68.0,2.0184298672041736,99.29,100.0,0.9929056167602539,,1.0,64,4,0.001,,0.02964225056966146,0.024068284606933592,0.02964225056966146,0.024068284606933592
11,0,208.80718970298767,11.517214059829712,220.42475295066833,56.7,513.197568,2473.422848,76.0,68.0,2.0184278534864064,99.1,100.0,0.9908742308616638,,1.0,64,4,0.001,,0.024970296223958334,0.028852716064453124,0.024970296223958334,0.028852716064453124
12,0,209.5136501789093,11.633245706558228,221.24040937423706,56.7,10291.250176,2475.057152,77.0,68.0,40.4759244736625,99.45,100.0,0.994483232498169,,1.0,64,4,0.001,,0.025725748697916665,0.015549758911132812,0.025725748697916665,0.015549758911132812
13,0,210.1900177001953,11.144827365875244,221.43471503257751,55.6,513.19808,2472.861696,78.0,68.0,2.0184298672041736,99.43,100.0,0.9942792654037476,,1.0,64,4,0.001,,0.0201519775390625,0.020098358154296874,0.0201519775390625,0.020098358154296874
14,0,211.3429615497589,11.435346841812134,222.86669182777405,55.1,513.19808,2476.924928,77.0,68.0,2.0184298672041736,99.24,100.0,0.9923412799835205,,1.0,64,4,0.001,,0.019244193522135418,0.020833340454101564,0.019244193522135418,0.020833340454101564
15,0,211.70111870765686,11.286033391952515,223.07323050498962,55.4,9272.968192,2481.147904,78.0,67.0,36.47097813843553,99.59,100.0,0.9958605766296387,,1.0,64,4,0.001,,0.019998779296875,0.013365628051757813,0.019998779296875,0.013365628051757813
16,0,211.50272512435913,11.266563415527344,222.8553900718689,55.4,513.19808,2476.929024,79.0,68.0,2.0184298672041736,99.5,100.0,0.9950014352798462,,1.0,64,4,0.001,,0.01598663126627604,0.016351463317871094,0.01598663126627604,0.016351463317871094
17,0,211.0072705745697,11.331316232681274,222.42514610290527,55.5,513.19808,2514.69824,78.0,67.0,2.0184298672041736,99.56,100.0,0.9955647587776184,,1.0,64,4,0.001,,0.014016433715820313,0.012507733154296876,0.014016433715820313,0.012507733154296876
18,0,211.3097369670868,11.139443159103394,222.54765439033508,55.6,5279.70816,2473.938944,78.0,68.0,20.765316659535422,99.58,100.0,0.9957684278488159,,1.0,64,4,0.001,,0.01485196024576823,0.012817591857910156,0.01485196024576823,0.012817591857910156
19,0,211.77261471748352,11.55539345741272,223.4278106689453,55.4,513.19808,2473.938944,77.0,68.0,2.0184298672041736,99.56,100.0,0.9955735802650452,,1.0,64,4,0.001,,0.012712491861979166,0.014822476196289062,0.012712491861979166,0.014822476196289062
20,0,210.9398853778839,11.359264850616455,222.39626169204712,55.5,8001.010176,2475.429888,77.0,68.0,31.468313184341845,99.4,100.0,0.993961751461029,,1.0,64,4,0.001,,0.011992026774088541,0.01921405944824219,0.011992026774088541,0.01921405944824219
