epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,125.13063097000122,3.08693790435791,129.86743330955505,54.1,240.018944,2112.958464,77.0,59.0,0.9440047111329918,11.37,30.84,0.08490495383739471,,0.25,64,4,0.001,,4.6310778125,4.145869921875,4.64433625,4.177017578125
2,0,124.23712706565857,2.85105037689209,128.6811330318451,54.2,242.432512,2419.712,77.0,61.0,0.9534973766895898,18.4,43.1,0.16110408306121826,,0.25,64,4,0.001,,4.0575784375,3.69008515625,4.0536546875,3.696269140625
3,0,124.26767253875732,2.78429913520813,128.49543499946594,54.3,242.432512,2419.05664,75.0,61.0,0.9534973766895898,24.16,50.52,0.21100357174873352,,0.25,64,4,0.001,,3.689561875,3.36546953125,3.6871978125,3.3743515625
4,0,123.9829454421997,3.6499478816986084,128.8632354736328,53.8,242.432512,2422.951936,79.0,60.0,0.9534973766895898,30.12,58.33,0.2801121473312378,,0.25,64,4,0.001,,3.40596,2.9661146484375,3.3957140625,2.9594021484375
5,0,124.79905939102173,2.9929041862487793,128.90849781036377,54.3,242.432512,2419.36384,78.0,60.0,0.9534973766895898,32.48,60.54,0.3113590180873871,,0.25,64,4,0.001,,3.19650875,2.85574453125,3.190411875,2.8349677734375
6,0,124.15568566322327,2.9762513637542725,128.36997961997986,54.4,242.432512,2423.599104,76.0,59.0,0.9534973766895898,36.17,64.66,0.3452969193458557,,0.25,64,4,0.001,,3.03271125,2.6839314453125,3.0239509375,2.6703736328125
7,0,125.11213898658752,2.8485028743743896,129.3922061920166,54.5,242.432512,2423.13216,77.0,59.0,0.9534973766895898,37.68,65.99,0.3606465756893158,,0.25,64,4,0.001,,2.897531875,2.62680625,2.8955928125,2.59905
8,0,124.9860098361969,2.8408350944519043,129.10197758674622,54.4,242.432512,2421.59616,76.0,60.0,0.9534973766895898,41.5,69.04,0.40552201867103577,,0.25,64,4,0.001,,2.78346,2.469715625,2.787296875,2.463773046875
9,0,124.55384349822998,2.9008586406707764,128.72657895088196,54.4,242.432512,2421.30944,78.0,61.0,0.9534973766895898,43.69,71.64,0.43189090490341187,,0.25,64,4,0.001,,2.67166125,2.3392396484375,2.6567034375,2.3401880859375
10,0,123.99427127838135,2.9061803817749023,128.4860725402832,54.5,242.432512,2423.296,79.0,60.0,0.9534973766895898,43.39,70.76,0.433054119348526,,0.25,64,4,0.001,,2.57076375,2.3703986328125,2.5810021875,2.325278125
11,0,124.30321907997131,2.8725814819335938,128.57201194763184,54.4,4067.116032,2422.616064,75.0,62.0,15.996140266880431,46.74,74.04,0.4598999619483948,,0.25,64,4,0.001,,2.493233125,2.19124140625,2.4993715625,2.165443359375
12,0,124.626060962677,2.878394365310669,129.01125645637512,54.6,242.432512,2423.1936,77.0,60.0,0.9534973766895898,47.83,74.98,0.469430148601532,,0.25,64,4,0.001,,2.40832390625,2.171619140625,2.41705984375,2.133770703125
13,0,124.68335056304932,2.867269515991211,128.72860717773438,54.5,242.432512,2423.898112,77.0,60.0,0.9534973766895898,50.22,76.57,0.4978855550289154,,0.25,64,4,0.001,,2.3425659375,2.03210234375,2.3415403125,2.009662890625
14,0,124.95142126083374,2.966231107711792,129.1685140132904,54.5,242.432512,2424.250368,78.0,59.0,0.9534973766895898,50.42,76.81,0.5011881589889526,,0.25,64,4,0.001,,2.2680353125,2.0221201171875,2.278625,1.99780546875
15,0,125.38901162147522,2.843416452407837,129.4486906528473,54.0,189.930496,2424.172544,77.0,59.0,0.7470047156437196,51.17,76.99,0.5055704116821289,,0.25,64,4,0.001,,2.210240625,2.0003255859375,2.2170596875,1.9983306640625
16,0,124.946453332901,2.9416658878326416,129.08876490592957,54.0,200.08448,2424.58624,77.0,62.0,0.7869407664113166,52.08,77.52,0.5192087292671204,,0.25,64,4,0.001,,2.15712625,1.9835115234375,2.14523109375,1.9651169921875
17,0,124.17958569526672,2.8755481243133545,128.69498801231384,53.8,189.930496,2421.428224,79.0,61.0,0.7470047156437196,52.68,78.13,0.5251610279083252,,0.25,64,4,0.001,,2.0995440625,1.944953515625,2.09045015625,1.9226525390625
18,0,123.97718691825867,2.912001609802246,127.98661017417908,54.2,7285.712384,2423.730176,75.0,61.0,28.655016557592976,53.48,78.36,0.5311657786369324,,0.25,64,4,0.001,,2.0452609375,1.913275,2.0453275,1.863432421875
19,0,125.98908376693726,2.8028438091278076,129.9219000339508,54.3,242.432512,2423.894016,78.0,61.0,0.9534973766895898,54.04,78.52,0.5375644564628601,,0.25,64,4,0.001,,2.0014275,1.90981640625,2.01653875,1.874830859375
20,0,124.53200268745422,2.9409570693969727,128.75445222854614,53.9,8254.924288,2424.79104,79.0,62.0,32.46696818197049,54.63,79.14,0.5471193194389343,,0.25,64,4,0.001,,1.95274953125,1.88675234375,1.94453625,1.8666515625
