epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,395.95866775512695,0.8577535152435303,397.455176115036,56.1,1362.108416,1986.158592,77.0,48.0,5.357230310028767,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6889765670240092,0.6979545803245054,0.6889765670240092,0.6979545803245054
2,0,394.8796000480652,0.7578220367431641,395.85108947753906,56.6,1091.386368,2011.000832,75.0,49.0,4.2924689855244305,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6870061289885522,0.6971805817490324,0.6870061289885522,0.6971805817490324
3,0,393.80086731910706,0.8742139339447021,394.8874728679657,57.0,1363.316224,2001.46944,79.0,50.0,5.3619806702426,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6869252188228482,0.6932139965372348,0.6869252188228482,0.6932139965372348
4,0,395.4892268180847,0.8945057392120361,396.6021931171417,56.6,1360.971264,2005.188608,77.0,50.0,5.352757842866864,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6868692487082213,0.6978606477789923,0.6868692487082213,0.6978606477789923
5,0,393.8690631389618,0.7010993957519531,394.7527017593384,56.6,1365.005824,2006.925312,79.0,50.0,5.368625938875772,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6867907745475063,0.6973510182231938,0.6867907745475063,0.6973510182231938
6,0,387.9375252723694,0.7224490642547607,388.85815715789795,56.6,1361.137664,2003.951616,78.0,50.0,5.3534123011413435,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6866059861690597,0.6988785070016843,0.6866059861690597,0.6988785070016843
7,0,412.4256010055542,0.7837769985198975,413.4063217639923,55.6,1293.523968,2006.122496,80.0,49.0,5.087484760183935,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865958941483912,0.6981380357654816,0.6865958941483912,0.6981380357654816
8,0,469.3696823120117,0.838454008102417,470.5040445327759,55.2,1363.32032,2008.035328,77.0,49.0,5.361996779984741,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865594120736759,0.6983036426229214,0.6865594120736759,0.6983036426229214
9,0,465.7295935153961,0.7707688808441162,466.6878242492676,55.5,1282.888704,2005.803008,77.0,49.0,5.045655814714768,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865791321140625,0.6986228872876649,0.6865791321140625,0.6986228872876649
10,0,465.49899339675903,0.7232685089111328,466.42539858818054,55.1,1271.039488,2014.367744,76.0,48.0,4.999052344418555,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865869041299797,0.6979007545961152,0.6865869041299797,0.6979007545961152
11,0,495.3573513031006,0.8003315925598145,496.3599605560303,54.9,1577.636864,2005.827584,77.0,48.0,6.204912859182811,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865398660336456,0.6969562495520355,0.6865398660336456,0.6969562495520355
12,0,523.9565987586975,0.7775163650512695,524.9761061668396,54.8,1361.004032,2005.77024,78.0,46.0,5.352886720803992,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865343560223611,0.6985465933423524,0.6865343560223611,0.6985465933423524
13,0,530.2365760803223,0.9818167686462402,531.3994209766388,54.8,1362.687488,2005.884928,75.0,47.0,5.359507824823953,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.686517187987201,0.6960004754022721,0.686517187987201,0.6960004754022721
14,0,529.0327608585358,0.7515466213226318,529.9747240543365,54.9,1365.010432,2008.244224,76.0,47.0,5.368644062335681,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865518140581152,0.6965861189256021,0.6865518140581152,0.6965861189256021
15,0,522.6757328510284,0.7945888042449951,523.6514959335327,54.8,1361.004032,2006.851584,76.0,45.0,5.352886720803992,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865006579533475,0.6990189858532827,0.6865006579533475,0.6990189858532827
16,0,513.5613465309143,0.8291366100311279,514.6517095565796,58.4,1091.387392,2011.8528,78.0,47.0,4.292473012959966,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865176519881513,0.6960475816639191,0.6865176519881513,0.6960475816639191
17,0,434.04646277427673,0.7864658832550049,435.0597324371338,62.8,1091.391488,2010.574848,77.0,48.0,4.292489122702107,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865476960496815,0.6981967611050387,0.6865476960496815,0.6981967611050387
18,0,430.3329105377197,0.9246029853820801,431.46994042396545,62.5,1288.223744,2006.458368,76.0,48.0,5.06663875385345,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865075599674828,0.6972854334280032,0.6865075599674828,0.6972854334280032
19,0,418.2912962436676,0.8933067321777344,419.4157598018646,55.6,1364.558848,2005.188608,79.0,49.0,5.366867963264633,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865069219661761,0.6980630717146288,0.6865069219661761,0.6980630717146288
20,0,400.2093315124512,0.7222402095794678,401.1465525627136,55.6,1091.388416,2140.438528,79.0,50.0,4.292477040395501,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865258300048999,0.6975081557527595,0.6865258300048999,0.6975081557527595
