epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,3,125.1558005809784,3.773283004760742,129.86723065376282,53.7,3942.91712,2086.039552,77.0,54.0,15.507660665680323,11.37,30.84,0.08490495383739471,,0.25,64,4,0.001,,4.6310778125,4.145869921875,4.63099125,4.12097578125
2,3,124.28600883483887,3.383726119995117,128.68517923355103,54.5,242.432512,2416.82432,77.0,56.0,0.9534973766895898,18.4,43.1,0.16110408306121826,,0.25,64,4,0.001,,4.0575784375,3.69008515625,4.03715125,3.698179296875
3,3,124.30211877822876,3.424710750579834,128.49450659751892,54.4,4901.144576,2417.053696,75.0,57.0,19.27640998907115,24.16,50.52,0.21100357174873352,,0.25,64,4,0.001,,3.689561875,3.36546953125,3.7113703125,3.40126640625
4,3,124.01472234725952,4.1442551612854,128.86341071128845,53.7,242.432512,2418.74944,79.0,56.0,0.9534973766895898,30.12,58.33,0.2801121473312378,,0.25,64,4,0.001,,3.40596,2.9661146484375,3.420876875,3.000865625
5,3,124.83677172660828,3.403275489807129,128.9087586402893,54.2,242.432512,2417.618944,78.0,57.0,0.9534973766895898,32.48,60.54,0.3113590180873871,,0.25,64,4,0.001,,3.19650875,2.85574453125,3.2049134375,2.9045154296875
6,3,124.18614459037781,3.4192841053009033,128.36958289146423,53.8,228.466688,2419.064832,79.0,55.0,0.898569197142003,36.17,64.66,0.3452969193458557,,0.25,64,4,0.001,,3.03271125,2.6839314453125,3.047504375,2.70758359375
7,3,125.14660739898682,3.366020917892456,129.38505268096924,54.6,4622.247936,2417.938432,76.0,56.0,18.17949764668887,37.68,65.99,0.3606465756893158,,0.25,64,4,0.001,,2.897531875,2.62680625,2.89745625,2.6543412109375
8,3,125.03940463066101,3.7627241611480713,129.102201461792,54.5,4836.107776,2419.36384,75.0,56.0,19.020617489638212,41.5,69.04,0.40552201867103577,,0.25,64,4,0.001,,2.78346,2.469715625,2.7803815625,2.471912890625
9,3,124.60961985588074,3.29106068611145,128.72678971290588,54.5,242.432512,2418.97472,76.0,55.0,0.9534973766895898,43.69,71.64,0.43189090490341187,,0.25,64,4,0.001,,2.67166125,2.3392396484375,2.65503875,2.3594271484375
10,3,124.03051352500916,3.511157512664795,128.48612356185913,53.9,242.432512,2420.14208,78.0,56.0,0.9534973766895898,43.39,70.76,0.433054119348526,,0.25,64,4,0.001,,2.57076375,2.3703986328125,2.580124375,2.3699490234375
11,3,124.33575010299683,3.3988144397735596,128.56800031661987,54.4,242.432512,2419.245056,75.0,58.0,0.9534973766895898,46.74,74.04,0.4598999619483948,,0.25,64,4,0.001,,2.493233125,2.19124140625,2.4943834375,2.20654453125
12,3,124.66445589065552,3.6960203647613525,129.01155877113342,54.5,213.7088,2420.16256,77.0,58.0,0.8405257962078956,47.83,74.98,0.469430148601532,,0.25,64,4,0.001,,2.40832390625,2.171619140625,2.387235,2.194209375
13,3,124.71588730812073,3.3438191413879395,128.7298424243927,54.5,242.432512,2436.64896,79.0,56.0,0.9534973766895898,50.22,76.57,0.4978855550289154,,0.25,64,4,0.001,,2.3425659375,2.03210234375,2.355410625,2.0356994140625
14,3,124.98212099075317,3.378584861755371,129.16860437393188,54.3,242.432512,2420.18304,76.0,57.0,0.9534973766895898,50.42,76.81,0.5011881589889526,,0.25,64,4,0.001,,2.2680353125,2.0221201171875,2.25001515625,2.0065486328125
15,3,125.39350032806396,3.4004199504852295,129.4522190093994,54.2,8549.1072,2419.806208,77.0,57.0,33.62400208202308,51.17,76.99,0.5055704116821289,,0.25,64,4,0.001,,2.210240625,2.0003255859375,2.20335265625,1.99448671875
16,3,124.97826099395752,3.3538005352020264,129.08894848823547,54.8,242.432512,2420.211712,76.0,57.0,0.9534973766895898,52.08,77.52,0.5192087292671204,,0.25,64,4,0.001,,2.15712625,1.9835115234375,2.168085,1.97446015625
17,3,124.22044372558594,3.3759522438049316,128.69290924072266,54.5,263.236608,2420.068352,79.0,57.0,1.0353207707416152,52.68,78.13,0.5251610279083252,,0.25,64,4,0.001,,2.0995440625,1.944953515625,2.10324890625,1.92384296875
18,3,123.99731206893921,3.333986282348633,127.99191689491272,54.1,242.432512,2420.191232,77.0,56.0,0.9534973766895898,53.48,78.36,0.5311657786369324,,0.25,64,4,0.001,,2.0452609375,1.913275,2.05031265625,1.9414849609375
19,3,126.03408861160278,3.450075149536133,129.92185926437378,54.4,6455.640064,2420.34688,78.0,58.0,25.390306832592717,54.04,78.52,0.5375644564628601,,0.25,64,4,0.001,,2.0014275,1.90981640625,2.00028671875,1.9258419921875
20,3,124.58700442314148,3.2633285522460938,128.75448179244995,53.7,189.930496,2420.371456,79.0,56.0,0.7470047156437196,54.63,79.14,0.5471193194389343,,0.25,64,4,0.001,,1.95274953125,1.88675234375,1.96525453125,1.8668208984375
