job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,final_accuracy,status
job-f2c46d4656f4,clusterA,ResNet-18,CIFAR-100,1,1768061595.948177,1768061596.050420,1768063196.453201,0.102243,1600.505024,64.890000,FAILED
job-b28564698400,clusterA,ResNet-18,CIFAR-100,1,1768061994.355607,1768061994.456962,1768063477.511078,0.101356,1483.155471,62.940000,FAILED
job-2aef5337c939,clusterA,DeepSpeech2,ARCTIC,1,1768063361.958105,1768063482.173496,1768063649.208566,120.215391,287.250462,4.242137,FAILED
job-dff8b02aeff7,clusterB,ResNet-18,CIFAR-100,1,1768062565.223896,1768062565.349921,1768063877.892771,0.126025,1312.668875,62.860000,FAILED
job-11498d909c52,clusterB,DistilBERT,SST-2,1,1768061251.028049,1768061251.133013,1768065159.519207,0.104963,3908.491157,50.917431,FAILED
job-6471e44bf675,clusterA,ResNet-50,CIFAR-10,1,1768062715.661599,1768063201.091424,1768065424.877467,485.429826,2709.215869,76.050000,FAILED
job-4b8bdb887d54,clusterA,EfficientNetV2-S,MNIST,2,1768061248.734021,1768061248.882597,1768065739.466430,0.148576,4490.732409,99.630000,FAILED
job-04a3f0eb9e10,clusterA,DistilBERT,SST-2,1,1768063757.657311,1768063758.229776,1768065745.784347,0.572464,1988.127035,50.917431,PREEMPTED
job-bc807f3ba20c,clusterA,DistilBERT,SST-2,1,1768065311.596441,1768065429.517144,1768065745.888673,117.920702,434.292232,50.917431,PREEMPTED
job-35ad5fee962b,clusterB,DistilBERT,SST-2,1,1768061813.767040,1768061813.856667,1768066120.754090,0.089627,4306.987051,50.917431,FAILED
job-1890c976062b,clusterB,DeepSpeech2,ARCTIC,1,1768064718.129183,1768066124.660142,1768066268.609239,1406.530959,1550.480055,2.692453,FAILED
job-093845020eff,clusterB,DistilBERT,SST-2,1,1768061900.566589,1768061900.679959,1768066342.539540,0.113370,4441.972951,50.917431,FAILED
job-6174fb43b910,clusterB,DistilBERT,SST-2,1,1768063935.968267,1768063936.258302,1768067946.846169,0.290035,4010.877902,50.917431,FAILED
job-2e844ad6f755,clusterB,DeepSpeech2,ARCTIC,1,1768067793.389052,1768067951.099414,1768068271.722230,157.710361,478.333177,15.955567,FAILED
job-8bc2c35f1992,clusterB,DeepSpeech2,ARCTIC,1,1768067866.802547,1768068276.068078,1768068512.926209,409.265531,646.123662,9.198868,FAILED
job-4019cb61d820,clusterB,DeepSpeech2,ARCTIC,1,1768068429.106456,1768068517.121967,1768068747.429043,88.015511,318.322587,16.883984,FAILED
job-83a652cb0a97,clusterA,DenseNet-121,TinyImageNet,4,1768062660.116104,1768065751.677055,1768069499.489235,3091.560951,6839.373131,55.100000,FAILED
job-f1e1879974c6,clusterB,EfficientNetV2-S,MNIST,1,1768063979.603599,1768065163.467955,1768070023.350612,1183.864356,6043.747013,99.430000,FAILED
job-ff71a7cdd84f,clusterB,DistilBERT,SST-2,1,1768066984.799717,1768066985.838689,1768070176.001343,1.038972,3191.201626,50.917431,FAILED
job-e92a0d802089,clusterB,ResNet-18,CIFAR-100,1,1768069027.786090,1768069028.441782,1768070306.871332,0.655692,1279.085243,62.720000,FAILED
job-25b21c5fc53e,clusterB,EfficientNetV2-S,MNIST,1,1768067034.892266,1768067035.849601,1768071895.510967,0.957335,4860.618701,99.410000,FAILED
job-4b89c164796c,clusterB,ResNet-50,CIFAR-10,1,1768070790.864036,1768070791.532627,1768072006.801976,0.668591,1215.937940,76.480000,FAILED
job-1338a630ed56,clusterB,ResNet-50,CIFAR-10,1,1768071281.591437,1768071282.753062,1768072482.795820,1.161626,1201.204383,79.530000,FAILED
job-39cd5cd25efd,clusterB,DeepSpeech2,ARCTIC,1,1768072341.376436,1768072341.877894,1768072508.685442,0.501459,167.309006,0.000000,FAILED
job-6ddb57bda6eb,clusterA,DenseNet-121,TinyImageNet,4,1768064817.399579,1768069503.381718,1768073194.523317,4685.982139,8377.123738,54.230000,FAILED
job-e28fcd96e412,clusterB,EfficientNetV2-S,MNIST,1,1768070780.928908,1768070781.550980,1768075692.991414,0.622072,4912.062506,99.470000,FAILED
job-1c8a7e8323c8,clusterB,DistilBERT,SST-2,1,1768072886.386065,1768072886.947262,1768076845.193863,0.561197,3958.807798,50.917431,FAILED
job-c8c2dfa71d72,clusterB,DistilBERT,SST-2,1,1768073298.918130,1768073299.146672,1768076850.671305,0.228541,3551.753175,50.917431,PREEMPTED
job-5b68ced15a39,clusterB,DistilBERT,SST-2,1,1768073648.122948,1768073649.135201,1768076850.756473,1.012253,3202.633525,50.917431,PREEMPTED
job-5fe61ce885ae,clusterB,EfficientNetV2-S,MNIST,1,1768073703.004133,1768075697.460849,1768076850.921231,1994.456716,3147.917098,99.320000,PREEMPTED
job-54c87cb6a6c6,clusterA,DenseNet-121,TinyImageNet,4,1768068041.528110,1768073199.094657,1768076926.414527,5157.566547,8884.886417,56.170000,FAILED
job-3e82979bd0fc,clusterB,DenseNet-121,TinyImageNet,4,1768068334.932140,1768076856.744014,1768078975.199709,8521.811875,10640.267570,55.990000,FAILED
job-e402c48936c6,clusterA,DenseNet-121,TinyImageNet,4,1768073602.296847,1768076930.767694,1768080656.599501,3328.470847,7054.302654,55.380000,FAILED
job-5b80e3f46f86,clusterB,DenseNet-121,TinyImageNet,4,1768074519.662817,1768078979.252901,1768081090.224082,4459.590085,6570.561265,55.710000,FAILED
job-eae3551c1d5c,clusterB,DenseNet-121,TinyImageNet,4,1768076446.126045,1768081094.492446,1768083178.595432,4648.366401,6732.469388,56.320000,FAILED
job-c8c2dfa71d72,clusterB,DistilBERT,SST-2,1,1768073298.918130,1768073299.146672,1768083409.057699,0.228541,10110.139568,50.917431,FAILED
job-d43eaa229a37,clusterA,DenseNet-121,TinyImageNet,4,1768075941.943715,1768080660.424932,1768084393.832504,4718.481217,8451.888790,55.850000,FAILED
job-44d199edd70d,clusterB,ResNet-18,CIFAR-100,1,1768073736.958230,1768083184.781112,1768084482.971437,9447.822882,10746.013206,63.150000,FAILED
job-3d22f36ff875,clusterB,DeepSpeech2,ARCTIC,1,1768074241.934801,1768084487.080810,1768084752.883266,10245.146009,10510.948465,0.000000,FAILED
job-04a3f0eb9e10,clusterA,DistilBERT,SST-2,1,1768063757.657311,1768063758.229776,1768086027.456504,0.572464,22269.799192,50.917431,FAILED
job-bc807f3ba20c,clusterA,DistilBERT,SST-2,1,1768065311.596441,1768065429.517144,1768087523.666170,117.920702,22212.069729,50.917431,FAILED
job-5b68ced15a39,clusterB,DistilBERT,SST-2,1,1768073648.122948,1768073649.135201,1768087545.944569,1.012253,13897.821621,50.917431,FAILED
job-45d045afc575,clusterB,DistilBERT,SST-2,1,1768074230.629001,1768083412.859023,1768087559.559983,9182.230022,13328.930982,50.917431,FAILED
job-b02f86d23456,clusterA,DistilBERT,SST-2,1,1768069091.212097,1768084400.034516,1768087583.718147,15308.822419,18492.506050,50.917431,FAILED
job-4ba0804f350c,clusterA,DistilBERT,SST-2,1,1768065685.732487,1768084399.035809,1768087681.308374,18713.303323,21995.575887,50.917431,FAILED
job-5b78cdfda8f8,clusterB,DeepSpeech2,ARCTIC,1,1768074533.711327,1768087549.642934,1768087775.221562,13015.931607,13241.510235,17.992916,FAILED
job-7758fb21cb31,clusterB,DeepSpeech2,ARCTIC,1,1768076054.102990,1768087779.670135,1768088020.325202,11725.567145,11966.222213,2.630575,FAILED
job-5fe61ce885ae,clusterB,EfficientNetV2-S,MNIST,1,1768073703.004133,1768075697.460849,1768088106.300050,1994.456716,14403.295917,99.500000,FAILED
job-13371485059e,clusterA,ResNet-50,CIFAR-10,1,1768069390.301557,1768086031.370678,1768088238.831785,16641.069121,18848.530228,75.090000,FAILED
job-ca1bbc82689f,clusterB,DeepSpeech2,ARCTIC,1,1768077085.853586,1768088110.732054,1768088281.439597,11024.878469,11195.586011,3.006430,FAILED
job-f558d0508cdf,clusterB,DistilBERT,SST-2,1,1768074525.870903,1768084757.128892,1768088759.198238,10231.257990,14233.327336,50.917431,FAILED
job-0f2619d5099d,clusterB,ResNet-18,CIFAR-100,1,1768076493.216921,1768088024.748611,1768089282.883538,11531.531690,12789.666617,64.900000,FAILED
job-31a2651411ef,clusterB,DistilBERT,SST-2,1,1768077089.334378,1768088285.750355,1768091065.927904,11196.415978,13976.593526,50.917431,FAILED
job-507ad2552198,clusterB,EfficientNetV2-S,MNIST,1,1768074979.061049,1768087563.616262,1768092337.572731,12584.555212,17358.511681,99.490000,FAILED
job-b6d4371e29a3,clusterA,EfficientNetV2-S,MNIST,1,1768076905.748233,1768087527.633521,1768093084.528568,10621.885288,16178.780335,99.510000,FAILED
