ts,seq,event,job_id,cluster,world_size,note,metadata_json
2026-01-23 18:15:16,1,submitted,job-01df69813b59,clusterA,2,model=EfficientNetV2-S dataset=MNIST gang=0,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""policy"": ""PolicyVector(lambda_time=0.85, lambda_cost=0.075, lambda_energy=0.075)"", ""g_target_submit"": 2, ""g_candidates"": [1, 2, 4], ""admitted_g_hint"": 2, ""chosen_cluster"": ""clusterA"", ""forced_by_checkpoint"": false, ""forced_by_pinned"": false, ""forced_by_admitted"": false, ""forced_by_gang_rr"": false, ""stream"": ""scheduler""}"
2026-01-23 18:15:16,2,enqueued_home,job-01df69813b59,clusterA,0,why=submit,"{""prev_queue_kind"": ""HOME"", ""prev_queue_cluster_id"": ""clusterA"", ""to_queue_kind"": ""HOME"", ""to_queue_cluster_id"": ""clusterA"", ""submit_key"": 1.0, ""stream"": ""scheduler""}"
2026-01-23 18:15:17,1,started,job-01df69813b59,clusterA,2,"started_on=clusterA, g_alloc=2, nodes=['node_a', 'node_b'], backfill=False, forced_hol_backfill=False, run_id=59877ea54c3e, attempt=1 idempotent_mode=out_ok_true","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""nodes"": [""node_a"", ""node_b""], ""run_id"": ""59877ea54c3e"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""gang_need"": 0, ""is_backfill"": false, ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """", ""g_target"": 0, ""g_alloc"": 2, ""idempotent_mode"": ""out_ok_true"", ""stream"": ""job""}"
2026-01-23 18:15:18,1,submitted,job-c917ee3805aa,clusterB,1,model=DistilBERT dataset=SST-2 gang=0,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""policy"": ""PolicyVector(lambda_time=0.7, lambda_cost=0.1, lambda_energy=0.2)"", ""g_target_submit"": 1, ""g_candidates"": [1, 2, 4], ""admitted_g_hint"": 1, ""chosen_cluster"": ""clusterB"", ""forced_by_checkpoint"": false, ""forced_by_pinned"": false, ""forced_by_admitted"": false, ""forced_by_gang_rr"": false, ""stream"": ""scheduler""}"
2026-01-23 18:15:18,2,enqueued_home,job-c917ee3805aa,clusterB,0,why=submit,"{""prev_queue_kind"": ""HOME"", ""prev_queue_cluster_id"": ""clusterB"", ""to_queue_kind"": ""HOME"", ""to_queue_cluster_id"": ""clusterB"", ""submit_key"": 2.0, ""stream"": ""scheduler""}"
2026-01-23 18:15:18,1,started,job-c917ee3805aa,clusterB,1,"started_on=clusterB, g_alloc=1, nodes=['node_e'], backfill=False, forced_hol_backfill=False, run_id=e388aad008c0, attempt=1 idempotent_mode=out_ok_true","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_e""], ""run_id"": ""e388aad008c0"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""gang_need"": 0, ""is_backfill"": false, ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """", ""g_target"": 0, ""g_alloc"": 1, ""idempotent_mode"": ""out_ok_true"", ""stream"": ""job""}"
2026-01-23 18:21:02,1,submitted,job-f9410b420001,clusterA,1,model=ResNet-18 dataset=CIFAR-100 gang=0,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""policy"": ""PolicyVector(lambda_time=0.7, lambda_cost=0.1, lambda_energy=0.2)"", ""g_target_submit"": 1, ""g_candidates"": [1, 2, 4], ""admitted_g_hint"": 1, ""chosen_cluster"": ""clusterA"", ""forced_by_checkpoint"": false, ""forced_by_pinned"": false, ""forced_by_admitted"": false, ""forced_by_gang_rr"": false, ""stream"": ""scheduler""}"
2026-01-23 18:21:02,2,enqueued_home,job-f9410b420001,clusterA,0,why=submit,"{""prev_queue_kind"": ""HOME"", ""prev_queue_cluster_id"": ""clusterA"", ""to_queue_kind"": ""HOME"", ""to_queue_cluster_id"": ""clusterA"", ""submit_key"": 3.0, ""stream"": ""scheduler""}"
2026-01-23 18:21:02,1,started,job-f9410b420001,clusterA,1,"started_on=clusterA, g_alloc=1, nodes=['node_c'], backfill=False, forced_hol_backfill=False, run_id=922b790d7357, attempt=1 idempotent_mode=out_ok_true","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_c""], ""run_id"": ""922b790d7357"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""gang_need"": 0, ""is_backfill"": false, ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """", ""g_target"": 0, ""g_alloc"": 1, ""idempotent_mode"": ""out_ok_true"", ""stream"": ""job""}"
2026-01-23 18:24:40,1,submitted,job-63bb3c75e74c,clusterB,1,model=DistilBERT dataset=SST-2 gang=0,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""policy"": ""PolicyVector(lambda_time=0.3, lambda_cost=0.2, lambda_energy=0.5)"", ""g_target_submit"": 1, ""g_candidates"": [1, 2, 4], ""admitted_g_hint"": 1, ""chosen_cluster"": ""clusterB"", ""forced_by_checkpoint"": false, ""forced_by_pinned"": false, ""forced_by_admitted"": false, ""forced_by_gang_rr"": false, ""stream"": ""scheduler""}"
