epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,106.23829078674316,2.7202115058898926,109.22996354103088,0.0,188.73344,1379.803136,0.0,43.0,1.135562686066915,35.07,86.43,0.339802086353302,[-0.00320562],1.0,40,4,0.00105493,"[{""shard_pct"": 1.0, ""batch_size"": 40, ""lr"": 0.00105493, ""num_workers"": 4}]",2.1738703125,2.3533005859375,2.1738703125,2.3533005859375
2,0,88.69481492042542,2.4482319355010986,91.2896523475647,18.0,435.6224,2212.200448,0.0,36.0,2.6210328315687783,37.32,87.45,0.3507247269153595,[-0.01609461],1.0,60,4,0.00105268,"[{""shard_pct"": 1.0, ""batch_size"": 60, ""lr"": 0.00105268, ""num_workers"": 4}]",1.78691828125,1.725939453125,1.78691828125,1.725939453125
3,0,56.5783269405365,2.3811099529266357,59.126357555389404,18.2,494.859264,2214.014976,0.0,36.0,2.9774464718755542,49.67,93.64,0.4816453754901886,[-0.0024524],1.0,64,4,0.00104033,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00104033, ""num_workers"": 4}]",1.59558078125,1.9043603515625,1.59558078125,1.9043603515625
4,0,57.932464361190796,2.851315498352051,60.9440131187439,18.7,482.24768,2227.277824,0.0,36.0,2.901565672995406,51.87,93.43,0.5148454308509827,[0.01651381],1.0,64,4,0.00103813,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00103813, ""num_workers"": 4}]",1.54111609375,1.747357421875,1.54111609375,1.747357421875
5,0,56.105469942092896,2.8038504123687744,59.06700825691223,18.8,514.670592,2227.912704,0.0,36.0,3.096646359496067,55.37,94.38,0.5463939309120178,[0.00116819],1.0,64,4,0.00103463,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00103463, ""num_workers"": 4}]",1.447823125,1.37374794921875,1.447823125,1.37374794921875
6,0,57.428433656692505,2.4409260749816895,60.050485610961914,10.4,453.744128,2228.14208,0.0,37.0,2.7300668115770583,60.94,96.11,0.6071518063545227,[-0.02286254],1.0,64,4,0.00102906,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102906, ""num_workers"": 4}]",1.35788484375,1.0811314453125,1.35788484375,1.0811314453125
7,0,54.54160809516907,2.2709126472473145,56.989824056625366,10.6,511.079424,2228.187136,0.0,37.0,3.0750391849529777,51.13,92.78,0.5083442330360413,[0.00040409],1.0,64,4,0.00103887,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00103887, ""num_workers"": 4}]",1.222801015625,2.885065625,1.222801015625,2.885065625
8,0,55.961045026779175,2.565946102142334,58.699249267578125,12.9,481.722368,2228.187136,0.0,37.0,2.8984049999014214,62.11,96.25,0.6134831309318542,[-0.00064509],1.0,64,4,0.00102789,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102789, ""num_workers"": 4}]",1.37365421875,1.13820478515625,1.37365421875,1.13820478515625
9,0,53.77660250663757,2.72709584236145,56.65634036064148,10.9,496.467456,2228.154368,0.0,37.0,2.98712256757556,63.6,96.65,0.6353062987327576,[0.00146685],1.0,64,4,0.0010264,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010264, ""num_workers"": 4}]",1.138510234375,1.1913259765625,1.138510234375,1.1913259765625
10,0,54.93808579444885,2.773630380630493,57.87977313995361,10.6,572.16,2228.146176,0.0,37.0,3.4425459868693435,66.86,97.18,0.6642940044403076,[-0.00750638],1.0,64,4,0.0010231399999999999,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010231399999999999, ""num_workers"": 4}]",1.020936015625,1.17419794921875,1.020936015625,1.17419794921875
