epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,175.80498433113098,3.100259304046631,179.18252730369568,11.9,200.8192,1967.869952,0.0,41.0,1.2082797312750142,10.54,29.4,0.07813496887683868,[-0.00138635  0.06508253  0.03292411 -0.00971379],0.25,40,4,0.0010794600000000002,"[{""shard_pct"": 0.25, ""batch_size"": 40, ""lr"": 0.0010794600000000002, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010794600000000002, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 40, ""lr"": 0.0010794600000000002, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010794600000000002, ""num_workers"": 5}]",4.676090625,4.4014953125,4.692255625,4.474494140625
2,0,149.61562299728394,3.044572591781616,152.88804292678833,10.1,4893.612544,2150.11328,0.0,44.0,29.443663004475457,3.07,11.04,0.02816215343773365,[-0.03599706 -0.06115173 -0.09073501 -0.04687248],0.25,64,5,0.00108693,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108693, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 50, ""lr"": 0.00108693, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108693, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 48, ""lr"": 0.00108693, ""num_workers"": 4}]",4.23592625,21.9075953125,4.362446875,4.739745703125
3,0,129.71794867515564,2.990427255630493,133.03218412399292,10.7,2574.628864,2852.610048,0.0,47.0,15.490908598016597,8.19,20.44,0.08950452506542206,[ 0.00112374  0.02471459  0.04291325 -0.01080284],0.25,64,5,0.0010818099999999999,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010818099999999999, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010818099999999999, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010818099999999999, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010818099999999999, ""num_workers"": 4}]",nan,nan,4.26272875,4.128075
4,0,102.35483574867249,2.923135757446289,105.82857871055603,12.5,188.537344,2852.319232,0.0,44.0,1.1343828246682832,0.5,2.5,4.975124466000125e-05,[-0.00011039  0.03435006 -0.02357067  0.00265746],0.25,64,4,0.0010895,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}]",nan,nan,nan,nan
5,0,100.27413201332092,3.068664073944092,103.80880188941956,15.4,4890.73152,2855.194624,0.0,46.0,29.426328591707573,0.5,2.5,4.975124466000125e-05,[-0.00810513 -0.00964549  0.02750444  0.07899117],0.25,64,5,0.0010895,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}]",nan,nan,nan,nan
6,0,99.45573735237122,2.9890730381011963,102.6719765663147,14.2,241.989632,2856.787968,0.0,47.0,1.4559920940044557,0.5,2.5,4.975124466000125e-05,[-0.00287955  0.06074319 -0.011363   -0.00497892],0.25,64,5,0.0010895,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}]",nan,nan,nan,nan
7,0,101.26321363449097,2.9139435291290283,104.69279789924622,12.9,198.691328,2855.264256,0.0,45.0,1.195476848839731,0.5,2.5,4.975124466000125e-05,[-0.02391727  0.04031419  0.00763859  0.01761575],0.25,64,4,0.0010895,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}]",nan,nan,nan,nan
8,0,100.06057834625244,3.1056525707244873,103.41703653335571,15.4,241.989632,2856.976384,0.0,47.0,1.4559920940044557,0.5,2.5,4.975124466000125e-05,[ 0.00348423 -0.07314352 -0.04501983 -0.01611323],0.25,64,4,0.0010895,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 6}]",nan,nan,nan,nan
9,0,103.1106686592102,2.9170713424682617,106.48452162742615,12.3,227.073536,2859.180032,0.0,45.0,1.3662456132568361,0.5,2.5,4.975124466000125e-05,[-0.01525231 -0.01421319 -0.01897136 -0.00715763],0.25,64,5,0.0010895,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}]",nan,nan,nan,nan
10,0,102.40466737747192,3.02546763420105,105.92262578010559,12.9,6702.109184,2857.766912,0.0,46.0,40.32494245480176,0.5,2.5,4.975124466000125e-05,[-0.07437138 -0.02153172  0.01168016 -0.00532796],0.25,64,5,0.0010895,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}]",nan,nan,nan,nan
