epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,5.092686414718628,0.7742338180541992,6.00804591178894,0.0,259.185664,1042.845696,78.0,51.0,1.019388235764143,0.0,0.0,0.0,[-0.01559601],1.0,44,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 44, ""lr"": 0.00109, ""num_workers"": 4}]",3.1996126878226403,2.9211896929824563,3.1996126878226403,2.9211896929824563
2,0,4.484195947647095,0.7410674095153809,5.288201093673706,44.2,1883.46368,1946.513408,79.0,57.0,7.407742728706788,0.0,0.0,0.0,[-0.00181775],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",2.9341394054971732,2.916731984991776,2.9341394054971732,2.916731984991776
3,0,4.330572128295898,0.7626240253448486,5.157106161117554,38.7,672.956416,1955.835904,80.0,56.0,2.6467661948015797,0.0,0.0,0.0,[-0.02228167],1.0,58,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 58, ""lr"": 0.00109, ""num_workers"": 4}]",2.93108944813176,2.9167523300438596,2.93108944813176,2.9167523300438596
4,0,4.403693675994873,0.8288073539733887,5.2967517375946045,46.9,669.913088,1958.72768,76.0,56.0,2.634796656390799,0.0,0.0,0.0,[-0.01181487],1.0,58,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 58, ""lr"": 0.00109, ""num_workers"": 4}]",2.929106795799533,2.914303695946409,2.929106795799533,2.914303695946409
5,0,4.515653610229492,0.7679588794708252,5.347766160964966,46.6,2187.2128,1949.560832,78.0,58.0,8.60240093152973,0.0,0.0,0.0,[-0.00375153],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",2.9207308758911013,2.9026141250342654,2.9207308758911013,2.9026141250342654
6,0,4.613129138946533,0.7292723655700684,5.4050374031066895,42.3,801.841664,1949.753344,76.0,59.0,3.153677354728789,0.0,0.0,0.0,[0.02847164],1.0,62,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 62, ""lr"": 0.00109, ""num_workers"": 4}]",2.9167312427021876,2.9002875612493146,2.9167312427021876,2.9002875612493146
7,0,4.601700305938721,0.8201220035552979,5.485889911651611,43.7,674.661888,1949.77792,78.0,57.0,2.6534738886855482,0.0,0.0,0.0,[-0.00546883],1.0,58,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 58, ""lr"": 0.00109, ""num_workers"": 4}]",2.9112612443922075,2.898192288582785,2.9112612443922075,2.898192288582785
8,0,4.524322986602783,0.7970433235168457,5.384450912475586,40.4,669.913088,2019.92192,77.0,54.0,2.634796656390799,0.0,0.0,0.0,[-0.01759887],1.0,58,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 58, ""lr"": 0.00109, ""num_workers"": 4}]",2.910283001474926,2.8961982057805646,2.910283001474926,2.8961982057805646
9,0,4.66763162612915,0.7377932071685791,5.467520236968994,41.5,1442.503168,1950.384128,78.0,59.0,5.67342628761947,0.0,0.0,0.0,[-0.00813917],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",2.9085564927482794,2.8907160173382676,2.9085564927482794,2.8907160173382676
10,0,4.148242712020874,0.7453172206878662,4.956434488296509,44.4,1298.909184,1950.47424,77.0,58.0,5.108665043663846,0.0,0.0,0.0,[0.03897925],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",2.9035466887137416,2.897710967482182,2.9035466887137416,2.897710967482182
