epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,172.15323209762573,2.7537524700164795,176.27630996704102,40.5,200.540672,1803.378688,76.0,58.0,0.788734988942273,10.58,29.8,0.08025971055030823,[-0.01024911 -0.01031605 -0.01805173 -0.03705514],0.25,44,4,0.00107942,"[{""shard_pct"": 0.25, ""batch_size"": 44, ""lr"": 0.00107942, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 44, ""lr"": 0.00107942, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00107942, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00107942, ""num_workers"": 5}]",4.682534375,4.18131796875,4.6856721875,4.20777578125
2,0,145.27628469467163,2.765846014022827,148.98126673698425,42.4,472.838144,1940.422656,77.0,62.0,1.8596925230175996,1.33,5.6,0.004629248287528753,[ 0.01178314 -0.00669641  0.09579972  0.04790023],0.25,64,5,0.0010886700000000001,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010886700000000001, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 58, ""lr"": 0.0010886700000000001, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010886700000000001, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010886700000000001, ""num_workers"": 5}]",4.259766875,17.6878078125,4.442856875,7.14168046875
3,0,117.18527722358704,2.7894046306610107,120.71200323104858,45.9,188.476416,2639.03232,76.0,61.0,0.7412857571836563,2.72,8.58,0.029199715703725815,[0.04792929 0.02114376 0.01713767 0.00855267],0.25,64,5,0.0010872800000000001,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010872800000000001, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010872800000000001, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010872800000000001, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010872800000000001, ""num_workers"": 5}]",4.2795275,412902049710.08,4.670050625,4.387851953125
4,0,107.87759566307068,2.647425413131714,111.97761845588684,46.1,241.465344,2640.429056,76.0,61.0,0.9496934638265406,3.04,9.44,0.03706122562289238,[-0.0065922   0.03752548  0.02978303 -0.01734126],0.25,64,6,0.0010869599999999999,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010869599999999999, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010869599999999999, ""num_workers"": 7}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010869599999999999, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010869599999999999, ""num_workers"": 5}]",4.207093125,4312925839318791.0,4.427860625,4.710376171875
5,0,111.45690703392029,2.7381527423858643,115.56418776512146,43.6,241.465344,2775.830528,80.0,61.0,0.9496934638265406,3.71,10.51,0.04752403870224953,[-0.03383064 -0.03295187  0.0008465  -0.02804727],0.25,64,5,0.00108629,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108629, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108629, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108629, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108629, ""num_workers"": 5}]",4.0243384375,1637036474316619.8,4.3101453125,4.31859453125
6,0,109.57116293907166,2.7168140411376953,113.38477635383606,41.0,241.465344,2780.721152,79.0,62.0,0.9496934638265406,4.27,11.29,0.055289287120103836,[-0.01741575  0.03878416  0.04531536  0.04811062],0.25,64,5,0.00108573,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108573, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108573, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108573, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108573, ""num_workers"": 6}]",3.893276875,987025760842888.0,4.191316875,4.032469140625
7,0,109.55109858512878,2.6665213108062744,113.36458778381348,40.0,241.465344,2779.312128,79.0,62.0,0.9496934638265406,4.67,12.19,0.06253112107515335,[0.02785856 0.08782742 0.02874956 0.01378762],0.25,64,5,0.00108533,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108533, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108533, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108533, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108533, ""num_workers"": 5}]",3.7622090625,309081184807367.5,4.06603,3.860959375
8,0,109.96331119537354,2.8331031799316406,114.06282329559326,43.3,241.465344,2780.512256,77.0,62.0,0.9496934638265406,5.4,12.93,0.07309157401323318,[ 0.05067086  0.05720779 -0.01238452  0.02654751],0.25,64,5,0.0010846,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010846, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010846, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010846, ""num_workers"": 8}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010846, ""num_workers"": 5}]",3.645885625,208597037047244.38,3.95617,3.63969375
9,0,110.19029211997986,2.6254537105560303,114.02928161621094,41.3,241.465344,2778.714112,78.0,62.0,0.9496934638265406,5.76,13.54,0.07986211776733398,[0.03485358 0.04222664 0.01731119 0.02741222],0.25,64,5,0.0010842400000000002,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010842400000000002, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010842400000000002, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010842400000000002, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010842400000000002, ""num_workers"": 6}]",3.533628125,76542680638265.75,3.822438125,4.00909453125
10,0,108.35860133171082,2.77768611907959,112.27400326728821,43.7,241.465344,2779.533312,78.0,63.0,0.9496934638265406,6.22,13.91,0.08513575047254562,[-0.03664772  0.03864681 -0.00786196 -0.02942651],0.25,64,5,0.00108378,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108378, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108378, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108378, ""num_workers"": 7}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108378, ""num_workers"": 7}]",3.477496875,4418643002720151.0,3.7564315625,4.568232421875
11,0,111.07968950271606,2.712585926055908,114.67656445503235,45.1,6953.88672,2775.6544,77.0,63.0,27.349932113546622,6.74,15.1,0.09523481875658035,[ 0.06345252  0.02948122 -0.02485373 -0.01171822],0.25,64,7,0.0010832600000000002,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010832600000000002, ""num_workers"": 7}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010832600000000002, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010832600000000002, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010832600000000002, ""num_workers"": 5}]",3.3802875,824958956371496.1,3.624081875,3.314225390625
