epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,59.67971897125244,5.865073919296265,65.88904690742493,48.5,238.511104,1934.188544,78.0,57.0,0.9380743123073274,18.76,46.2,0.15909138321876526,[0.00194379],1.0,44,4,0.00107124,"[{""shard_pct"": 1.0, ""batch_size"": 44, ""lr"": 0.00107124, ""num_workers"": 4}]",3.889355,3.354400390625,3.889355,3.354400390625
2,0,54.940443992614746,6.19098973274231,61.2349648475647,45.5,1213.922304,2162.794496,78.0,62.0,4.774408031415286,30.19,62.39,0.28424710035324097,[0.00443821],1.0,64,4,0.00105981,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00105981, ""num_workers"": 4}]",3.06388375,2.731509765625,3.06388375,2.731509765625
3,0,50.5923547744751,5.580415487289429,56.284327268600464,48.4,333.92896,2578.41152,80.0,63.0,1.3133567966357704,40.97,73.78,0.3956027925014496,[0.00152124],1.0,64,4,0.0010490299999999998,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010490299999999998, ""num_workers"": 4}]",2.40641328125,2.22033125,2.40641328125,2.22033125
4,0,50.33559703826904,6.1453986167907715,56.59418249130249,48.3,333.92896,2573.541376,77.0,63.0,1.3133567966357704,47.63,78.91,0.4686729609966278,[0.01208398],1.0,64,4,0.0010423700000000001,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010423700000000001, ""num_workers"": 4}]",2.01332046875,1.9332892578125,2.01332046875,1.9332892578125
5,0,50.54072642326355,6.224261522293091,56.89653730392456,43.2,286.1824,2547.437568,77.0,63.0,1.1255675462156283,51.66,81.45,0.5042529106140137,[0.00196677],1.0,64,4,0.00103834,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00103834, ""num_workers"": 4}]",1.71752171875,1.7474287109375,1.71752171875,1.7474287109375
6,0,50.276700496673584,6.105982303619385,56.51765847206116,45.5,333.92896,2565.59104,79.0,63.0,1.3133567966357704,53.36,82.98,0.524160623550415,[-0.01049352],1.0,64,4,0.0010366400000000001,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010366400000000001, ""num_workers"": 4}]",1.46933875,1.714094921875,1.46933875,1.714094921875
7,0,50.588963747024536,5.802622556686401,56.51372575759888,48.1,264.768512,2649.100288,78.0,59.0,1.041345814302358,58.56,85.56,0.5782767534255981,[0.01058292],1.0,64,4,0.00103144,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00103144, ""num_workers"": 4}]",1.27126890625,1.51120458984375,1.27126890625,1.51120458984375
8,0,50.08189058303833,6.147246599197388,56.343031883239746,49.7,333.92896,2547.376128,79.0,64.0,1.3133567966357704,59.06,86.07,0.5919610857963562,[0.01757052],1.0,64,4,0.00103094,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00103094, ""num_workers"": 4}]",1.07532984375,1.50169833984375,1.07532984375,1.50169833984375
9,0,50.71849775314331,6.253687381744385,57.10092759132385,44.6,333.92896,2615.242752,79.0,63.0,1.3133567966357704,59.54,86.33,0.5935118794441223,[0.00720146],1.0,64,4,0.00103046,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00103046, ""num_workers"": 4}]",0.909673125,1.50093271484375,0.909673125,1.50093271484375
10,0,49.9851450920105,6.200480222702026,56.320542335510254,42.8,333.928448,2649.47712,77.0,63.0,1.3133547829180028,60.98,86.59,0.6071407198905945,[0.00779138],1.0,64,4,0.00102902,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102902, ""num_workers"": 4}]",0.762843515625,1.512103515625,0.762843515625,1.512103515625
11,0,50.41865658760071,5.81047511100769,56.333560943603516,49.1,1669.977088,2614.571008,79.0,62.0,6.568090886010043,60.75,86.52,0.6044127941131592,[0.01878016],1.0,64,4,0.00102925,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102925, ""num_workers"": 4}]",0.6207722265625,1.56833564453125,0.6207722265625,1.56833564453125
12,0,50.36978244781494,5.985318422317505,56.4681077003479,48.4,333.92896,2614.583296,76.0,63.0,1.3133567966357704,62.08,87.33,0.6194683909416199,[-0.02388801],1.0,64,4,0.0010279199999999999,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010279199999999999, ""num_workers"": 4}]",0.49457359375,1.5561791015625,0.49457359375,1.5561791015625
13,0,50.297123670578,6.288885831832886,56.74528360366821,44.8,333.92896,2640.867328,76.0,64.0,1.3133567966357704,61.44,87.33,0.6162567734718323,[-0.0020454],1.0,64,4,0.00102856,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102856, ""num_workers"": 4}]",0.3978955859375,1.6761716796875,0.3978955859375,1.6761716796875
14,0,50.71952199935913,6.258281230926514,57.12335515022278,45.3,333.92896,2624.02048,78.0,63.0,1.3133567966357704,61.94,87.16,0.6208340525627136,[-0.01205027],1.0,64,4,0.00102806,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102806, ""num_workers"": 4}]",0.3318423828125,1.680793359375,0.3318423828125,1.680793359375
15,0,50.40227937698364,5.8684375286102295,56.42019033432007,47.4,264.768512,2614.607872,81.0,63.0,1.041345814302358,62.51,87.19,0.6213526725769043,[-0.00385629],1.0,64,4,0.00102749,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102749, ""num_workers"": 4}]",0.2838310546875,1.7063189453125,0.2838310546875,1.7063189453125
16,0,50.71376848220825,5.993401765823364,56.811344623565674,47.3,333.92896,2624.032768,78.0,64.0,1.3133567966357704,62.65,87.32,0.6255211234092712,[-0.00175242],1.0,64,4,0.00102735,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102735, ""num_workers"": 4}]",0.237074140625,1.7489185546875,0.237074140625,1.7489185546875
17,0,50.25052452087402,6.21800971031189,56.59620761871338,47.0,333.92896,2624.053248,80.0,63.0,1.3133567966357704,62.81,87.13,0.6269187331199646,[0.00212231],1.0,64,4,0.00102719,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102719, ""num_workers"": 4}]",0.203732109375,1.8186576171875,0.203732109375,1.8186576171875
18,0,50.321484327316284,6.076880693435669,56.530766248703,46.3,333.92896,2623.766528,77.0,63.0,1.3133567966357704,62.19,86.87,0.6215428113937378,[0.01928022],1.0,64,4,0.00102781,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102781, ""num_workers"": 4}]",0.18195634765625,1.91835703125,0.18195634765625,1.91835703125
19,0,49.879260540008545,6.0642852783203125,56.05022692680359,45.2,333.92896,2659.463168,76.0,63.0,1.3133567966357704,61.54,86.93,0.6181768774986267,[0.01476311],1.0,64,4,0.00102846,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102846, ""num_workers"": 4}]",0.1764358984375,1.9683107421875,0.1764358984375,1.9683107421875
20,0,48.421151638031006,5.72093653678894,54.24736928939819,46.1,333.92896,2633.6256,80.0,64.0,1.3133567966357704,62.58,86.93,0.6260650157928467,[-0.01245892],1.0,64,4,0.00102742,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00102742, ""num_workers"": 4}]",0.15335927734375,1.9455888671875,0.15335927734375,1.9455888671875
