epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,6.045593738555908,1.027357816696167,7.400974988937378,16.2,1766.185984,2187.112448,0.0,61.0,10.626706640247628,0.0,0.0,0.0,[-0.0058296],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",3.157543921306539,2.9202556944729987,3.157543921306539,2.9202556944729987
2,0,5.23708176612854,0.9283158779144287,6.28858757019043,16.2,1965.14816,2217.132032,0.0,59.0,11.82381311488338,0.0,0.0,0.0,[-0.00341694],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",2.934187177359882,2.9238308019805372,2.934187177359882,2.9238308019805372
3,0,5.099658250808716,1.1601061820983887,6.3807220458984375,15.7,671.881728,2218.704896,0.0,60.0,4.042547095877447,0.0,0.0,0.0,[-0.020283],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",2.9314113680709193,2.9143406382778236,2.9314113680709193,2.9143406382778236
4,0,5.169326066970825,0.8032753467559814,6.066252946853638,15.7,1911.218176,2219.200512,0.0,59.0,11.499329666213205,0.0,0.0,0.0,[-0.00201983],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",2.9289356332964602,2.910635964912281,2.9289356332964602,2.910635964912281
5,0,5.302596092224121,1.1011219024658203,6.500701665878296,15.8,673.72544,2219.352064,0.0,58.0,4.053640257487037,0.0,0.0,0.0,[-0.01142416],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",2.9198498571165192,2.906072783888432,2.9198498571165192,2.906072783888432
6,0,5.203951358795166,0.9866468906402588,6.34526252746582,16.1,1938.118144,2220.171264,0.0,57.0,11.661180157134126,0.9976972613418345,0.0,0.0,[-0.00919624],1.0,32,4,0.001089002302738658,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.001089002302738658, ""num_workers"": 4}]",2.9156459331981317,2.89520263671875,2.9156459331981317,2.89520263671875
7,0,5.124935150146484,0.9882254600524902,6.290403127670288,15.6,1825.403392,2220.261376,0.0,59.0,10.98300321858796,0.25031106513843104,0.0,0.0,[-0.00460032],1.0,32,4,0.0010897496889348615,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010897496889348615, ""num_workers"": 4}]",2.9072239218442726,2.893960250051398,2.9072239218442726,2.893960250051398
8,0,4.742147445678711,0.9468271732330322,5.7887115478515625,16.1,2005.744128,2220.240896,0.0,57.0,12.068069069024663,0.3648322925232983,0.0,0.0,[0.01043785],1.0,32,4,0.0010896351677074766,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010896351677074766, ""num_workers"": 4}]",2.89817535490413,2.8681351511101973,2.89817535490413,2.8681351511101973
9,0,5.270946502685547,0.9967448711395264,6.360920667648315,16.1,1904.492544,2220.478464,0.0,59.0,11.458863192760393,0.0,0.0,0.0,[0.0162135],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",2.8409888343473453,2.778815553899397,2.8409888343473453,2.778815553899397
10,0,5.084721565246582,1.0417885780334473,6.227871894836426,15.7,671.881728,2220.91264,0.0,60.0,4.042547095877447,3.5290433649431185,0.0,0.0,[0.00108498],1.0,32,4,0.0010864709566350567,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010864709566350567, ""num_workers"": 4}]",2.730561893129302,2.68675178393983,2.730561893129302,2.68675178393983
11,0,5.478996515274048,1.0469765663146973,6.631227254867554,16.4,1938.117632,2221.694976,0.0,61.0,11.66117707655606,0.0,0.0,0.0,[-0.00709007],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",2.682601583625246,2.6101009971217106,2.682601583625246,2.6101009971217106
12,0,5.1625165939331055,1.266620397567749,6.564692497253418,15.4,671.881728,2221.727744,0.0,57.0,4.042547095877447,0.0,0.0,0.0,[-0.0002692],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",2.7556070723482056,2.6739068282277962,2.7556070723482056,2.6739068282277962
13,0,5.165060758590698,1.0028667449951172,6.290062189102173,15.3,1944.892416,2222.051328,0.0,56.0,11.701939285503045,0.0,0.0,0.0,[-0.0075752],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",2.6648815833947888,2.666220414011102,2.6648815833947888,2.666220414011102
14,0,5.085133790969849,1.1730563640594482,6.380777835845947,15.7,671.881728,2222.2848,0.0,56.0,4.042547095877447,0.0,0.0,0.0,[-0.01443125],1.0,32,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00109, ""num_workers"": 4}]",2.6744069087235744,2.6069132486979165,2.6744069087235744,2.6069132486979165
15,0,5.230540037155151,1.055802345275879,6.386427164077759,15.8,674.046464,2222.65344,0.0,55.0,4.05557177993336,0.5889156408477203,0.0,0.0,[-0.03093535],1.0,32,4,0.0010894110843591522,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010894110843591522, ""num_workers"": 4}]",2.5995520007528268,2.5582968728584157,2.5995520007528268,2.5582968728584157
