epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,290.537385225296,12.233275175094604,303.03905391693115,14.6,2260.68224,2166.697984,0.0,50.0,13.601968982275586,98.57,100.0,0.985578179359436,[0.01448286],1.0,64,4,0.00099143,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099143, ""num_workers"": 4}]",0.335274609375,0.04781156005859375,0.335274609375,0.04781156005859375
2,0,178.40545964241028,12.043533325195312,190.59842681884766,17.0,7715.682816,2882.2528,0.0,61.0,46.423365691725316,98.43,99.96,0.984070360660553,[0.00575434],1.0,64,4,0.00099157,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099157, ""num_workers"": 4}]",0.04251531575520833,0.04884747314453125,0.04251531575520833,0.04884747314453125
3,0,178.08685612678528,11.83433985710144,190.08723902702332,16.9,515.29472,2885.705728,0.0,59.0,3.1004015841564634,99.37,100.0,0.9936357736587524,[-0.01197761],1.0,64,4,0.00099063,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099063, ""num_workers"": 4}]",0.04183824869791666,0.020147511291503908,0.04183824869791666,0.020147511291503908
4,0,178.49701929092407,10.796823740005493,189.4567587375641,7.4,515.29472,2886.979584,0.0,59.0,3.1004015841564634,99.13,100.0,0.9912391901016235,[-0.01550809],1.0,64,4,0.00099087,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099087, ""num_workers"": 4}]",0.040327787272135415,0.028933444213867187,0.040327787272135415,0.028933444213867187
5,0,170.6860728263855,11.120913028717041,181.95609521865845,6.8,515.294208,2888.17152,0.0,59.0,3.100398503578399,99.27,100.0,0.9926207065582275,[0.00127919],1.0,64,4,0.00099073,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099073, ""num_workers"": 4}]",0.04535613199869792,0.024752978515625,0.04535613199869792,0.024752978515625
6,0,172.28850936889648,10.411633968353271,182.92908000946045,6.4,2649.065984,2888.400896,0.0,56.0,15.938778439896687,99.17,100.0,0.9916711449623108,[-0.01515945],1.0,64,4,0.00099083,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099083, ""num_workers"": 4}]",0.03449178873697917,0.024291993713378906,0.03449178873697917,0.024291993713378906
7,0,170.62339758872986,10.70464015007019,181.48918628692627,6.6,515.29472,2888.617984,0.0,58.0,3.1004015841564634,99.34,100.0,0.9933743476867676,[-0.01268574],1.0,64,4,0.00099066,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099066, ""num_workers"": 4}]",0.0322251708984375,0.02089141082763672,0.0322251708984375,0.02089141082763672
8,0,173.17983651161194,10.986785411834717,184.32248091697693,6.8,5696.485888,2889.09312,0.0,59.0,34.27435443406084,99.4,100.0,0.9939473867416382,[-0.01031001],1.0,64,4,0.0009906000000000001,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0009906000000000001, ""num_workers"": 4}]",0.031996795654296875,0.019713087463378905,0.031996795654296875,0.019713087463378905
9,0,172.65632390975952,10.929136991500854,183.73211288452148,6.6,515.29472,2889.084928,0.0,59.0,3.1004015841564634,99.16,100.0,0.9916264414787292,[-0.004514],1.0,64,4,0.00099084,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099084, ""num_workers"": 4}]",0.03410566813151042,0.025288191223144532,0.03410566813151042,0.025288191223144532
10,0,170.9163200855255,10.34472107887268,181.40939664840698,3.5,7500.344832,2888.880128,0.0,58.0,45.12773000828059,99.26,100.0,0.9926050901412964,[0.00038528],1.0,64,4,0.00099074,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099074, ""num_workers"": 4}]",0.02911604207356771,0.02162720184326172,0.02911604207356771,0.02162720184326172
