epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,118.08223056793213,0.5552997589111328,118.8446581363678,0.0,537.39264,1245.556736,49.0,47.0,2.1135881003134314,50.91743119266055,0.0,0.33738601207733154,[-0.00757832],1.0,54,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 54, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6909374350398669,0.6966143966814794,0.6909374350398669,0.6966143966814794
2,0,97.37738990783691,0.5544309616088867,98.04467248916626,3.0,1376.32512,2016.034816,55.0,75.0,5.41314521128249,50.91743119266055,0.0,0.33738601207733154,[-0.01422673],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864906239327978,0.698436072113317,0.6864906239327978,0.698436072113317
3,0,92.47650337219238,0.5511369705200195,93.12662124633789,3.2,1094.964736,2024.148992,57.0,74.0,4.3065428590023815,50.91743119266055,0.0,0.33738601207733154,[-0.00023165],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864748479004885,0.6985265049365682,0.6864748479004885,0.6985265049365682
4,0,92.50275111198425,0.5566086769104004,93.14331412315369,3.2,1369.547264,2026.729472,52.0,73.0,5.386487615474632,50.91743119266055,0.0,0.33738601207733154,[0.00230052],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865225819982479,0.6968837353067661,0.6865225819982479,0.6968837353067661
5,0,92.41056418418884,0.5690226554870605,93.06585788726807,3.3,1371.586048,2026.016768,52.0,74.0,5.3945062396253265,50.91743119266055,0.0,0.33738601207733154,[0.01486841],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864906239327978,0.6984151437741901,0.6864906239327978,0.6984151437741901
6,0,92.33234906196594,0.5496127605438232,92.9669177532196,3.1,1370.285568,2027.425792,53.0,74.0,5.389391396495551,50.91743119266055,0.0,0.33738601207733154,[0.01971664],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864782699074967,0.6962307571271144,0.6864782699074967,0.6962307571271144
7,0,92.1717541217804,0.5612461566925049,92.8420946598053,3.1,1369.113088,2023.436288,55.0,74.0,5.384779982807684,50.91743119266055,0.0,0.33738601207733154,[0.01846664],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864883619281652,0.6964135826180834,0.6864883619281652,0.6964135826180834
8,0,92.2269344329834,0.5625033378601074,92.87351727485657,3.2,1374.526976,2027.470848,54.0,74.0,5.406073034482581,50.91743119266055,0.0,0.33738601207733154,[0.00693971],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865007159534663,0.697399034412629,0.6865007159534663,0.697399034412629
9,0,92.39416408538818,0.5531177520751953,93.03310942649841,3.1,1642.473984,2029.113344,53.0,74.0,6.459920008686374,50.91743119266055,0.0,0.33738601207733154,[0.02448527],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6866077261726232,0.6959996354689292,0.6866077261726232,0.6959996354689292
10,0,91.98284530639648,0.543565034866333,92.60778069496155,3.3,1372.706304,2029.11744,55.0,74.0,5.398912254100897,50.91743119266055,0.0,0.33738601207733154,[0.0248526],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865339500215296,0.6973731364678899,0.6865339500215296,0.6973731364678899
11,0,92.37603068351746,0.5587460994720459,93.04553151130676,3.1,1094.962688,2025.979904,54.0,74.0,4.306534804131312,50.91743119266055,0.0,0.33738601207733154,[0.02499305],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864953799425382,0.6985583524091528,0.6864953799425382,0.6985583524091528
12,0,92.06217789649963,0.5576910972595215,92.70867609977722,3.2,1369.11104,2029.375488,53.0,74.0,5.384771927936613,50.91743119266055,0.0,0.33738601207733154,[-0.00010808],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865004839529911,0.6971733723211726,0.6865004839529911,0.6971733723211726
13,0,92.05473256111145,0.561321496963501,92.71633005142212,3.2,1374.404096,2047.623168,55.0,73.0,5.40558974221835,50.91743119266055,0.0,0.33738601207733154,[0.00355563],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686484649920563,0.6978978148294152,0.686484649920563,0.6978978148294152
14,0,92.40165638923645,0.55531907081604,93.04116034507751,3.1,1371.432448,2052.575232,50.0,74.0,5.393902124295038,50.91743119266055,0.0,0.33738601207733154,[0.00751479],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686480357911773,0.6980350739365324,0.686480357911773,0.6980350739365324
15,0,92.18193817138672,0.5536093711853027,92.81588888168335,3.2,1094.974976,2029.64992,54.0,74.0,4.3065831333577345,50.91743119266055,0.0,0.33738601207733154,[0.01977424],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686493523938737,0.6979209129963446,0.686493523938737,0.6979209129963446
16,0,92.06064224243164,0.5688872337341309,92.72801923751831,3.2,1371.521536,2046.533632,51.0,73.0,5.394252511186605,50.91743119266055,0.0,0.33738601207733154,[-0.00633505],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864888259291155,0.6979859378359733,0.6864888259291155,0.6979859378359733
17,0,92.23806762695312,0.5571894645690918,92.8759298324585,3.2,1372.66432,2032.508928,48.0,73.0,5.398747129243951,50.91743119266055,0.0,0.33738601207733154,[-0.00716921],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864690478886101,0.6965095450025086,0.6864690478886101,0.6965095450025086
18,0,91.86859226226807,0.548436164855957,92.49859309196472,3.2,1397.518336,2028.3392,53.0,74.0,5.496499030837914,50.91743119266055,0.0,0.33738601207733154,[-0.00864446],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686493813939331,0.6982684354169653,0.686493813939331,0.6982684354169653
19,0,92.13275694847107,0.5446434020996094,92.7759439945221,3.2,1369.543168,2027.302912,53.0,74.0,5.386471505732491,50.91743119266055,0.0,0.33738601207733154,[-0.02824044],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864863319240078,0.6975497324532325,0.6864863319240078,0.6975497324532325
20,0,92.18396067619324,0.549217700958252,92.81633186340332,3.1,1369.558528,2047.873024,53.0,74.0,5.38653191726552,50.91743119266055,0.0,0.33738601207733154,[-0.01183937],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864605798712676,0.6966196462648724,0.6864605798712676,0.6966196462648724
