epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,187.64190888404846,0.4912109375,188.32716989517212,55.5,1365.837312,1988.325376,79.0,56.0,5.3718962165304,50.91743119266055,0.0,0.33738601207733154,[-0.01930694],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6881690893702951,0.7179536032020499,0.6881690893702951,0.7179536032020499
2,0,117.1026337146759,0.49389147758483887,117.69043731689453,55.6,1093.075968,2038.611968,81.0,61.0,4.299114254157603,50.91743119266055,0.0,0.33738601207733154,[-0.00777191],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6867652544952412,0.6965758297421517,0.6867652544952412,0.6965758297421517
3,0,117.77784585952759,0.510047435760498,118.39058017730713,55.7,1336.290816,2028.703744,80.0,60.0,5.255688591596128,50.91743119266055,0.0,0.33738601207733154,[-0.02997525],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6866651462902196,0.6967095891270069,0.6866651462902196,0.6967095891270069
4,0,117.27922344207764,0.49713659286499023,117.86457395553589,55.6,1365.4528,2032.664576,79.0,60.0,5.370383914486911,50.91743119266055,0.0,0.33738601207733154,[-0.01761985],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686596242149104,0.7090006137112959,0.686596242149104,0.7090006137112959
5,0,114.91615176200867,0.5021195411682129,115.53901243209839,55.6,1365.23264,2053.881856,79.0,60.0,5.369518015846831,50.91743119266055,0.0,0.33738601207733154,[0.00028325],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6867021503660039,0.6965426523751075,0.6867021503660039,0.6965426523751075
6,0,123.59234762191772,0.5123968124389648,124.21733045578003,49.8,1364.52096,2034.847744,79.0,59.0,5.366718948149829,50.91743119266055,0.0,0.33738601207733154,[-0.01049317],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865708960971952,0.6978760465569452,0.6865708960971952,0.6978760465569452
7,0,120.81810641288757,0.5009396076202393,121.40791773796082,49.5,1368.196096,2035.2,83.0,60.0,5.381173414285861,50.91743119266055,0.0,0.33738601207733154,[-0.0160965],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686620428198637,0.6978996346849914,0.686620428198637,0.6978996346849914
8,0,119.75222635269165,0.5158281326293945,120.3864312171936,50.3,1368.2176,2034.946048,80.0,60.0,5.381257990432102,50.91743119266055,0.0,0.33738601207733154,[-0.00970601],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.7016748230300376,0.697610907598373,0.7016748230300376,0.697610907598373
9,0,118.82087111473083,0.49233198165893555,119.42716932296753,49.9,1363.019776,2042.548224,79.0,60.0,5.360814727655144,50.91743119266055,0.0,0.33738601207733154,[0.00192908],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864891739298282,0.6982701852780964,0.6864891739298282,0.6982701852780964
10,0,118.72007393836975,0.5129752159118652,119.31711530685425,50.6,1363.003392,2042.556416,80.0,59.0,5.36075028868658,50.91743119266055,0.0,0.33738601207733154,[0.01407293],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864993239506154,0.6980559322812142,0.6864993239506154,0.6980559322812142
11,0,118.51209735870361,0.5279088020324707,119.13554263114929,49.5,1093.04832,2035.216384,81.0,59.0,4.299005513398151,50.91743119266055,0.0,0.33738601207733154,[0.00681858],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.68646046387103,0.6972116592827193,0.68646046387103,0.6972116592827193
12,0,119.40296792984009,0.5482404232025146,120.03345227241516,50.5,1100.808192,2035.826688,79.0,60.0,4.329525419884319,50.91743119266055,0.0,0.33738601207733154,[0.02162049],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686490855933273,0.6984105941352494,0.686490855933273,0.6984105941352494
13,0,118.92858290672302,0.5151286125183105,119.52996373176575,50.1,1093.101568,2052.775936,81.0,60.0,4.299214940045984,50.91743119266055,0.0,0.33738601207733154,[-0.00246626],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686465045880414,0.6985533828035407,0.686465045880414,0.6985533828035407
14,0,105.1730568408966,0.5592806339263916,105.81383633613586,47.9,1365.326848,2053.009408,81.0,61.0,5.369888539916075,50.91743119266055,0.0,0.33738601207733154,[-0.0012674],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865131859790049,0.697727168371918,0.6865131859790049,0.697727168371918
15,0,103.68286514282227,0.49365997314453125,104.26896905899048,43.1,1093.0688,2053.558272,83.0,59.0,4.299086062108856,50.91743119266055,0.0,0.33738601207733154,[0.00866016],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865055879634442,0.6984545506468607,0.6865055879634442,0.6984545506468607
16,0,117.71594166755676,0.49282360076904297,118.30195593833923,42.4,1371.189248,2055.860224,85.0,56.0,5.392945608355414,50.91743119266055,0.0,0.33738601207733154,[-0.00535557],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864938719394498,0.6972125692105074,0.6864938719394498,0.6972125692105074
17,0,116.37118291854858,0.49785828590393066,116.95702409744263,43.3,1787.056128,2041.913344,85.0,60.0,7.0285677279335195,50.91743119266055,0.0,0.33738601207733154,[0.01401024],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864843019198503,0.6987139500609232,0.6864843019198503,0.6987139500609232
18,0,115.89410781860352,0.5078334808349609,116.51144433021545,43.1,1367.420928,2055.938048,84.0,60.0,5.3781246455856735,50.91743119266055,0.0,0.33738601207733154,[0.00467944],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864916099348172,0.6976570339377867,0.6864916099348172,0.6976570339377867
19,0,115.58873224258423,0.4910008907318115,116.1894998550415,43.4,1369.19552,2034.622464,84.0,60.0,5.385104191368272,50.91743119266055,0.0,0.33738601207733154,[-0.01585271],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686484939921157,0.6969454004130232,0.686484939921157,0.6969454004130232
20,0,115.4320662021637,0.4879276752471924,116.03367805480957,43.3,1375.2064,2034.62656,83.0,59.0,5.408745237960224,50.91743119266055,0.0,0.33738601207733154,[-0.02586817],1.0,64,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6867813785282633,0.6977070099716887,0.6867813785282633,0.6977070099716887
