epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,3,111.73319506645203,3.1726741790771484,115.00855541229248,32.8,3256.49408,1812.140032,77.0,63.0,12.80792966615459,10.55,29.84,0.08254032582044601,,0.25,64,7,0.00107945,,4.6691025,4.1956578125,4.66843,4.221777734375
2,3,124.13304424285889,2.9109015464782715,127.30443477630615,30.0,189.246976,2902.626304,76.0,64.0,0.7443164024239363,8.15,20.47,0.09036362916231155,,0.25,64,7,0.00108185,,nan,nan,4.0825578125,3.909960546875
3,3,84.99881553649902,2.8247621059417725,88.05987000465393,33.6,6715.2256,2907.17696,79.0,65.0,26.41126778193338,0.5,2.5,4.975124466000125e-05,,0.25,64,6,0.0010895,,nan,nan,nan,nan
4,3,85.02149057388306,2.9878125190734863,88.11137890815735,34.1,5312.819712,2905.9072,76.0,65.0,20.89554580128569,0.5,2.5,4.975124466000125e-05,,0.25,64,5,0.0010895,,nan,nan,nan,nan
5,3,85.16229629516602,2.985544204711914,88.23888921737671,34.3,8437.183488,2907.656192,78.0,66.0,33.18380136430184,0.5,2.5,4.975124466000125e-05,,0.25,64,6,0.0010895,,nan,nan,nan,nan
6,3,83.02957081794739,2.8396360874176025,86.02423071861267,32.9,5099.893248,2909.319168,78.0,65.0,20.05809696582673,0.5,2.5,4.975124466000125e-05,,0.25,64,6,0.0010895,,nan,nan,nan,nan
7,3,84.76900792121887,2.8472559452056885,87.93391990661621,33.1,8437.183488,2908.004352,78.0,66.0,33.18380136430184,0.5,2.5,4.975124466000125e-05,,0.25,64,5,0.0010895,,nan,nan,nan,nan
8,3,83.69766521453857,2.895211935043335,86.77886700630188,32.1,242.022912,2908.258304,75.0,65.0,0.9518864024754874,0.5,2.5,4.975124466000125e-05,,0.25,64,7,0.0010895,,nan,nan,nan,nan
9,3,84.5478663444519,2.8369150161743164,87.72004413604736,31.6,242.022912,2909.642752,78.0,65.0,0.9518864024754874,0.5,2.5,4.975124466000125e-05,,0.25,64,6,0.0010895,,nan,nan,nan,nan
10,3,84.36135506629944,2.827906847000122,87.3670060634613,31.3,5279.241216,2908.573696,79.0,64.0,20.763480148931347,0.5,2.5,4.975124466000125e-05,,0.25,64,6,0.0010895,,nan,nan,nan,nan
11,3,85.11354303359985,2.983267307281494,88.19648098945618,32.8,242.022912,2908.585984,79.0,64.0,0.9518864024754874,0.5,2.5,4.975124466000125e-05,,0.25,64,5,0.0010895,,nan,nan,nan,nan
12,3,85.08822560310364,2.901815414428711,88.1049370765686,33.0,242.022912,2909.605888,78.0,64.0,0.9518864024754874,0.5,2.5,4.975124466000125e-05,,0.25,64,5,0.0010895,,nan,nan,nan,nan
13,3,84.32257437705994,2.8795742988586426,87.3812563419342,32.4,242.022912,2909.073408,79.0,64.0,0.9518864024754874,0.5,2.5,4.975124466000125e-05,,0.25,64,5,0.0010895,,nan,nan,nan,nan
14,3,85.81553435325623,2.904017925262451,88.96609330177307,32.7,242.022912,2909.077504,78.0,65.0,0.9518864024754874,0.5,2.5,4.975124466000125e-05,,0.25,64,6,0.0010895,,nan,nan,nan,nan
15,3,85.0765917301178,2.942960262298584,88.08132457733154,33.6,213.142528,2909.63456,78.0,65.0,0.8382986243568992,0.5,2.5,4.975124466000125e-05,,0.25,64,6,0.0010895,,nan,nan,nan,nan
16,3,84.91074848175049,2.9466216564178467,88.03714156150818,34.0,8135.585792,2909.642752,79.0,65.0,31.997604803538476,0.5,2.5,4.975124466000125e-05,,0.25,64,6,0.0010895,,nan,nan,nan,nan
17,3,84.91897320747375,2.9594058990478516,87.97548913955688,33.5,242.022912,2909.904896,76.0,64.0,0.9518864024754874,0.5,2.5,4.975124466000125e-05,,0.25,64,5,0.0010895,,nan,nan,nan,nan
18,3,83.23886370658875,2.8219692707061768,86.29203677177429,33.2,242.022912,2909.884416,77.0,65.0,0.9518864024754874,0.5,2.5,4.975124466000125e-05,,0.25,64,5,0.0010895,,nan,nan,nan,nan
19,3,84.27973484992981,2.793184280395508,87.28721690177917,32.6,213.142528,2909.888512,78.0,65.0,0.8382986243568992,0.5,2.5,4.975124466000125e-05,,0.25,64,5,0.0010895,,nan,nan,nan,nan
20,3,85.72986245155334,2.809569835662842,88.7736451625824,33.5,623.849472,2909.888512,78.0,65.0,2.4536264962728502,0.5,2.5,4.975124466000125e-05,,0.25,64,6,0.0010895,,nan,nan,nan,nan
