epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,105.87605309486389,2.6980881690979004,108.85295534133911,0.0,188.73344,1323.118592,0.0,44.0,1.135562686066915,32.85,84.72,0.30438321828842163,[-0.01157199],1.0,32,4,0.00105715,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00105715, ""num_workers"": 4}]",2.1620428125,1.992754296875,2.1620428125,1.992754296875
2,0,108.5478868484497,2.447409152984619,111.16974544525146,15.8,443.715584,2202.976256,0.0,44.0,2.669727529031367,32.34,85.12,0.29712048172950745,[-0.00646911],1.0,32,4,0.00105766,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00105766, ""num_workers"": 4}]",2.04281109375,2.7551236328125,2.04281109375,2.7551236328125
3,0,108.60817790031433,2.4363174438476562,111.21703362464905,12.4,528.38912,2205.351936,0.0,42.0,3.1791873681512586,40.52,90.89,0.39439767599105835,[-0.02187809],1.0,32,4,0.00104948,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00104948, ""num_workers"": 4}]",1.82826703125,1.7254736328125,1.82826703125,1.7254736328125
4,0,106.25900149345398,2.5323922634124756,109.08248519897461,10.4,498.139648,2206.224384,0.0,43.0,2.9971837355336053,41.87,91.22,0.4083534777164459,[-0.01561447],1.0,32,4,0.00104813,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00104813, ""num_workers"": 4}]",1.6812846875,2.0139400390625,1.6812846875,2.0139400390625
5,0,107.21182823181152,2.513205051422119,109.89752006530762,9.6,411.525632,2206.674944,0.0,43.0,2.476048505549969,44.06,92.09,0.42928895354270935,[-0.01591815],1.0,32,4,0.0010459400000000002,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010459400000000002, ""num_workers"": 4}]",1.71245828125,2.034133203125,1.71245828125,2.034133203125
6,0,104.26501560211182,2.346247911453247,106.7822048664093,12.6,495.417344,2207.117312,0.0,42.0,2.980804301965655,48.07,92.6,0.4684047996997833,[-0.00026156],1.0,32,4,0.00104193,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00104193, ""num_workers"": 4}]",1.517579375,1.6512203125,1.517579375,1.6512203125
7,0,107.60999369621277,2.330636739730835,110.119384765625,12.5,513.700864,2207.10912,0.0,41.0,3.0908117446422585,51.64,92.89,0.5094518065452576,[-0.0023575],1.0,32,4,0.0010383599999999999,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010383599999999999, ""num_workers"": 4}]",1.35043875,3.949606640625,1.35043875,3.949606640625
8,0,107.02302670478821,2.63478422164917,109.82901573181152,11.5,522.615808,2207.10912,0.0,44.0,3.1444507698980697,60.85,95.53,0.6000683903694153,[0.02653624],1.0,32,4,0.00102915,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102915, ""num_workers"": 4}]",1.299329921875,1.27308271484375,1.299329921875,1.27308271484375
9,0,107.8871521949768,2.53835391998291,110.59401345252991,12.5,448.733184,2207.612928,0.0,42.0,2.699917194061631,56.24,95.63,0.556340217590332,[0.03688332],1.0,32,4,0.00103376,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00103376, ""num_workers"": 4}]",1.182543125,1.8289955078125,1.182543125,1.8289955078125
10,0,107.46429753303528,2.38511061668396,110.00186729431152,12.3,416.773632,2207.240192,0.0,44.0,2.5076244307091735,65.04,96.67,0.6456108689308167,[0.0440571],1.0,32,4,0.00102496,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102496, ""num_workers"": 4}]",1.133023125,1.06042158203125,1.133023125,1.06042158203125
