epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,6.122049331665039,0.9600260257720947,7.400094985961914,13.3,1937.270784,2184.060928,0.0,59.0,11.656081800437686,0.0,0.0,0.0,[9.39186448e-05],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",3.283530806369838,2.9209439461691336,3.283530806369838,2.9209439461691336
2,0,5.250438690185547,0.9387061595916748,6.296290636062622,13.9,672.268288,2213.281792,0.0,57.0,4.044872932316003,0.0,0.0,0.0,[-0.01854905],1.0,56,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.00109, ""num_workers"": 4}]",2.931411128011308,2.9172221401281524,2.931411128011308,2.9172221401281524
3,0,5.088316440582275,1.0647468566894531,6.273279428482056,12.9,669.21216,2214.612992,0.0,54.0,4.026484961850121,0.0,0.0,0.0,[-0.01868821],1.0,56,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.00109, ""num_workers"": 4}]",2.9300221430985744,2.9175324021724234,2.9300221430985744,2.9175324021724234
4,0,5.211244106292725,0.9080376625061035,6.2176833152771,13.3,1869.099008,2216.382464,0.0,53.0,11.245908992330591,0.0,0.0,0.0,[-0.01066028],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",2.9251218062469273,2.909163625616776,2.9251218062469273,2.909163625616776
5,0,4.792656660079956,0.9144680500030518,5.811792612075806,13.2,1882.548736,2220.60544,0.0,53.0,11.326832697502018,0.0,0.0,0.0,[0.00078978],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",2.921030710345993,2.906046014083059,2.921030710345993,2.906046014083059
6,0,5.220090866088867,0.9478302001953125,6.267196416854858,13.6,1862.373888,2221.174784,0.0,54.0,11.205445599455846,0.0,0.0,0.0,[0.00363425],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",2.9177298906864553,2.8964286938048245,2.9177298906864553,2.8964286938048245
7,0,5.235861301422119,0.9224412441253662,6.263854026794434,13.3,1958.734336,2221.268992,0.0,53.0,11.785222713471736,0.0,0.0,0.0,[0.01901631],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",2.9120212731225417,2.892989309210526,2.9120212731225417,2.892989309210526
8,0,5.011216878890991,0.9330410957336426,6.080104827880859,13.1,669.21216,2221.4656,0.0,54.0,4.026484961850121,0.0,0.0,0.0,[0.03616591],1.0,56,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.00109, ""num_workers"": 4}]",2.9075597652409044,2.8934695595189144,2.9075597652409044,2.8934695595189144
9,0,5.095810890197754,1.136087417602539,6.3314244747161865,14.0,672.507392,2221.871104,0.0,56.0,4.046311562272037,0.14619659959224096,0.0,0.0,[0.01361153],1.0,56,4,0.0010898538034004078,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.0010898538034004078, ""num_workers"": 4}]",2.9040356901425763,2.8865790116159538,2.9040356901425763,2.8865790116159538
10,0,5.1646568775177,1.0959818363189697,6.380696773529053,13.4,669.21216,2222.022656,0.0,58.0,4.026484961850121,2.4633842602110767,0.0,0.0,[0.00554897],1.0,56,4,0.001087536615739789,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.001087536615739789, ""num_workers"": 4}]",2.8984317385693217,2.9008756938733553,2.8984317385693217,2.9008756938733553
11,0,5.429448843002319,0.914684534072876,6.455255508422852,13.6,2314.906624,2222.55104,0.0,55.0,13.928223763332742,0.8173825448019478,0.0,0.0,[0.0286619],1.0,64,4,0.0010891826174551983,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010891826174551983, ""num_workers"": 4}]",2.8866028012075957,2.848193519993832,2.8866028012075957,2.848193519993832
12,0,5.200459718704224,1.0916543006896973,6.411307096481323,12.3,669.21216,2222.42816,0.0,55.0,4.026484961850121,2.3022501092208048,0.0,0.0,[-0.01467809],1.0,56,4,0.0010876977498907791,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.0010876977498907791, ""num_workers"": 4}]",2.8294278035121683,2.806370785361842,2.8294278035121683,2.806370785361842
13,0,5.207446575164795,0.9455842971801758,6.257312536239624,12.4,1888.272896,2222.98112,0.0,51.0,11.361273560261035,0.1608196057771405,0.0,0.0,[0.00839034],1.0,64,4,0.001089839180394223,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.001089839180394223, ""num_workers"": 4}]",2.755737904836529,2.6951722262198463,2.755737904836529,2.6951722262198463
14,0,5.30979061126709,1.1407217979431152,6.571246147155762,14.1,1836.038656,2222.985216,0.0,52.0,11.04699298613986,2.0116437945449595,0.0,0.0,[0.01047939],1.0,64,4,0.0010879883562054551,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0010879883562054551, ""num_workers"": 4}]",2.583332373094887,2.516629938493695,2.583332373094887,2.516629938493695
15,0,5.015243291854858,1.1039059162139893,6.226069211959839,13.4,1848.391168,2223.075328,0.0,56.0,11.121315012519469,0.0,0.0,0.0,[-0.01441725],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",2.347239266454646,2.27032256544682,2.347239266454646,2.27032256544682
16,0,5.217351675033569,1.1615803241729736,6.500938653945923,13.2,674.726912,2223.149056,0.0,56.0,4.059665868180832,0.0,0.0,0.0,[-0.023224],1.0,56,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.00109, ""num_workers"": 4}]",2.1188043014841447,2.088896366587856,2.1188043014841447,2.088896366587856
17,0,5.195840358734131,1.0559146404266357,6.355721950531006,13.7,672.595968,2223.570944,0.0,55.0,4.046844502277163,1.9974892599540883,0.0,0.0,[-0.01402666],1.0,56,4,0.001088002510740046,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.001088002510740046, ""num_workers"": 4}]",1.9127762606010323,1.9610793799684758,1.9127762606010323,1.9610793799684758
18,0,5.193872928619385,0.9295558929443359,6.221008777618408,13.4,672.505856,2223.640576,0.0,57.0,4.046302320537844,3.637782314367466,0.0,0.0,[-0.01020495],1.0,56,4,0.0010863622176856325,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.0010863622176856325, ""num_workers"": 4}]",1.7090015392622295,1.7412663509971218,1.7090015392622295,1.7412663509971218
19,0,5.057661533355713,0.9708099365234375,6.1257758140563965,13.5,672.201728,2223.644672,0.0,56.0,4.044472457167642,3.3489428068462224,0.0,0.0,[0.0165747],1.0,56,4,0.0010866510571931538,"[{""shard_pct"": 1.0, ""batch_size"": 56, ""lr"": 0.0010866510571931538, ""num_workers"": 4}]",1.506057064090155,1.6352110745614035,1.506057064090155,1.6352110745614035
20,0,5.249737977981567,0.9886250495910645,6.337886333465576,13.2,1910.071296,2223.767552,0.0,58.0,11.492429171349144,0.0,0.0,0.0,[0.02628704],1.0,64,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00109, ""num_workers"": 4}]",1.380049653930064,1.61965152673554,1.380049653930064,1.61965152673554
