epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,253.98474669456482,11.801456928253174,266.01232862472534,6.1,4938.220032,2169.344,0.0,51.0,29.712055287750633,97.96,99.96,0.9796346426010132,[-0.00782554],1.0,32,4,0.00099204,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099204, ""num_workers"": 4}]",0.34190478515625,0.06216067504882813,0.34190478515625,0.06216067504882813
2,0,247.91080141067505,10.591482162475586,258.6395437717438,6.3,4522.118656,2380.849152,0.0,52.0,27.208475656039898,98.64,100.0,0.9863282442092896,[-0.02110894],1.0,32,4,0.00099136,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099136, ""num_workers"": 4}]",0.07619200846354167,0.04318728942871094,0.07619200846354167,0.04318728942871094
3,0,257.9694917201996,12.164991855621338,270.28659677505493,3.1,4116.069888,2382.819328,0.0,49.0,24.765380094043884,99.14,100.0,0.9913135766983032,[-0.00699171],1.0,32,4,0.00099086,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099086, ""num_workers"": 4}]",0.06288837483723958,0.034784619140625,0.06288837483723958,0.034784619140625
4,0,261.4694755077362,11.675168991088867,273.3030879497528,3.0,3573.401088,2383.261696,0.0,53.0,21.50027540367895,99.14,99.99,0.991361141204834,[-0.00016841],1.0,32,4,0.00099086,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099086, ""num_workers"": 4}]",0.05439897867838542,0.030225885009765623,0.05439897867838542,0.030225885009765623
5,0,254.31553316116333,10.373361110687256,264.8325972557068,3.1,2627.452928,2384.039936,0.0,50.0,15.808737998067862,99.35,99.99,0.9934943914413452,[0.00844068],1.0,32,4,0.00099065,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099065, ""num_workers"": 4}]",0.04611892496744792,0.02292776336669922,0.04611892496744792,0.02292776336669922
6,0,226.70856618881226,10.792574644088745,237.65330338478088,5.7,460.24192,2384.060416,0.0,48.0,2.76916242779125,99.27,100.0,0.9927037358283997,[0.01694554],1.0,32,4,0.00099073,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099073, ""num_workers"": 4}]",0.03766863199869792,0.022244082641601562,0.03766863199869792,0.022244082641601562
7,0,255.13568496704102,10.46513319015503,265.7704532146454,3.0,5078.876672,2382.49984,0.0,53.0,30.558351693578594,99.35,100.0,0.9934931993484497,[0.01693621],1.0,32,4,0.00099065,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099065, ""num_workers"": 4}]",0.03418523356119792,0.01925984802246094,0.03418523356119792,0.01925984802246094
8,0,280.94774770736694,10.582651138305664,291.6883878707886,3.0,4865.041408,2382.893056,0.0,49.0,29.27175750675263,99.32,100.0,0.9930841326713562,[0.02340585],1.0,32,4,0.00099068,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099068, ""num_workers"": 4}]",0.02790456339518229,0.01987333526611328,0.02790456339518229,0.01987333526611328
9,0,269.61065649986267,10.594942569732666,280.5090637207031,3.0,460.242432,2383.33952,0.0,49.0,2.7691655083693143,99.58,100.0,0.9957590103149414,[0.01102013],1.0,32,4,0.0009904199999999999,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009904199999999999, ""num_workers"": 4}]",0.028653352864583332,0.013565263366699219,0.028653352864583332,0.013565263366699219
10,0,273.6054675579071,11.270772695541382,285.0148570537567,3.1,4298.479104,2383.740928,0.0,48.0,25.862891479860412,99.31,100.0,0.9930230379104614,[0.01334775],1.0,32,4,0.00099069,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099069, ""num_workers"": 4}]",0.023454608154296876,0.022322105407714843,0.023454608154296876,0.022322105407714843
11,0,270.98406887054443,10.673176527023315,281.7962005138397,3.1,4916.829696,2382.62272,0.0,50.0,29.583354897379778,99.05,99.98,0.990353524684906,[0.00429836],1.0,32,4,0.00099095,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099095, ""num_workers"": 4}]",0.022224200439453126,0.03234790954589844,0.022224200439453126,0.03234790954589844
12,0,277.3105092048645,10.45757007598877,287.9068913459778,3.0,4771.027968,2383.228928,0.0,48.0,28.706101762583547,99.25,100.0,0.9924442172050476,[-0.01269108],1.0,32,4,0.00099075,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099075, ""num_workers"": 4}]",0.019595902506510415,0.02305521240234375,0.019595902506510415,0.02305521240234375
