epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,156.954270362854,0.5802662372589111,157.79826641082764,12.0,1624.428544,2167.263232,0.0,44.0,9.773786991581396,50.91743119266055,0.0,0.33738601207733154,[0.02604202],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6883987118405619,0.6946683411204487,0.6883987118405619,0.6946683411204487
2,0,157.7982885837555,0.5287911891937256,158.4914801120758,12.1,1366.092288,2190.979072,0.0,47.0,8.21944128171763,50.91743119266055,0.0,0.33738601207733154,[0.01046609],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6868415246514424,0.6959903962021574,0.6868415246514424,0.6959903962021574
3,0,155.92933344841003,0.6879386901855469,156.78866314888,12.2,1363.11552,2191.91296,0.0,46.0,8.201530800851717,49.08256880733945,0.0,0.32923075556755066,[-0.0033912],1.0,32,4,0.0010409174311926605,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010409174311926605, ""num_workers"": 4}]",0.7053913546414943,0.695259024243836,0.7053913546414943,0.695259024243836
4,0,156.5506784915924,0.6001040935516357,157.30709266662598,12.1,1367.75424,2191.884288,0.0,45.0,8.229440838114389,50.91743119266055,0.0,0.33738601207733154,[0.00048796],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865428820398224,0.697762935533436,0.6865428820398224,0.697762935533436
5,0,156.8649218082428,0.57460618019104,157.61325025558472,12.1,1364.731392,2193.321984,0.0,47.0,8.211253105222688,50.91743119266055,0.0,0.33738601207733154,[-0.01533349],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864814019139112,0.6996646846106293,0.6864814019139112,0.6996646846106293
6,0,156.29518723487854,0.5428493022918701,157.02110171318054,12.0,1372.425728,2193.657856,0.0,45.0,8.257548032373178,50.91743119266055,0.0,0.33738601207733154,[0.00325324],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865092419709276,0.6970071355137256,0.6865092419709276,0.6970071355137256
7,0,156.64934587478638,0.5792410373687744,157.46822047233582,12.1,1335.217664,2193.403904,0.0,46.0,8.033676263283452,50.91743119266055,0.0,0.33738601207733154,[0.00668633],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865022819566734,0.6968925546068664,0.6865022819566734,0.6968925546068664
8,0,155.78354954719543,0.5502917766571045,156.5582242012024,12.1,1638.088192,2193.539072,0.0,44.0,9.85597373375919,50.91743119266055,0.0,0.33738601207733154,[-0.01220574],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.68649004393161,0.6980016865861525,0.68649004393161,0.6980016865861525
9,0,157.06589913368225,0.5779688358306885,157.826500415802,12.0,1638.087168,2193.350656,0.0,45.0,9.855967572603062,50.91743119266055,0.0,0.33738601207733154,[0.00226894],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686493813939331,0.6968493680341528,0.686493813939331,0.6968493680341528
10,0,152.04954981803894,0.5708730220794678,152.78969621658325,11.3,1371.19488,2193.38752,0.0,46.0,8.250142322706571,50.91743119266055,0.0,0.33738601207733154,[-0.00846222],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864883619281652,0.6972206185717101,0.6864883619281652,0.6972206185717101
