epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,174.70040559768677,3.112691640853882,178.2585940361023,11.1,172.168192,1974.915072,0.0,41.0,1.0358936633741447,10.59,27.92,0.08009960502386093,[ 0.01823743 -0.03600239  0.01319985  0.04404942],0.25,40,4,0.00107941,"[{""shard_pct"": 0.25, ""batch_size"": 40, ""lr"": 0.00107941, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 40, ""lr"": 0.00107941, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00107941, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00107941, ""num_workers"": 4}]",4.6749559375,7.68939765625,4.6841221875,7.20700625
2,0,146.6692774295807,2.9456894397735596,150.13536524772644,19.9,169.572864,2146.004992,0.0,40.0,1.020278213166144,1.92,6.66,0.013269954361021519,[ 0.00766712  0.01355858 -0.01450817 -0.00999706],0.25,48,4,0.00108808,"[{""shard_pct"": 0.25, ""batch_size"": 48, ""lr"": 0.00108808, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108808, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 50, ""lr"": 0.00108808, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 50, ""lr"": 0.00108808, ""num_workers"": 4}]",4.30962625,8.56624140625,4.5093059375,5.145357421875
3,0,129.3173472881317,2.8659958839416504,132.8373565673828,10.2,221.24544,2156.89216,0.0,46.0,1.3311793931507658,0.42,2.75,0.00013030938862357289,[-0.02284378 -0.03811002 -0.01345695 -0.03739882],0.25,60,4,0.00108958,"[{""shard_pct"": 0.25, ""batch_size"": 60, ""lr"": 0.00108958, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 60, ""lr"": 0.00108958, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108958, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108958, ""num_workers"": 5}]",4.5744628125,7329.4136,5.26886875,32.6516875
4,0,107.33088159561157,2.9919071197509766,111.02067041397095,11.0,236.762112,2695.512064,0.0,49.0,1.4245393919678238,0.5,2.45,0.0005199034349061549,[-0.03166127 -0.03716382  0.04544905  0.06290979],0.25,64,5,0.0010895,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010895, ""num_workers"": 4}]",5.1310925,151747.6224,6.202326875,27.72816875
5,0,102.50685524940491,3.084754228591919,106.19753217697144,14.6,241.727488,2834.178048,0.0,48.0,1.4544148380355275,0.82,3.49,0.004021484404802322,[0.04482126 0.07156194 0.07634469 0.03306415],0.25,64,4,0.0010891800000000001,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010891800000000001, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010891800000000001, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010891800000000001, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010891800000000001, ""num_workers"": 4}]",4.84998625,52205.584,5.656995625,5.543372265625
6,0,99.19689416885376,3.124183177947998,102.63330554962158,15.2,241.727488,2835.849216,0.0,53.0,1.4544148380355275,0.86,4.04,0.005171822849661112,[ 0.00889184  0.00816716 -0.00731188 -0.00500928],0.25,64,4,0.00108914,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108914, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108914, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108914, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108914, ""num_workers"": 5}]",4.5696746875,50747.4304,5.1442040625,5.557416796875
7,0,101.77727317810059,3.2495877742767334,105.26075458526611,14.3,213.142016,2871.23456,0.0,49.0,1.2824230841268902,1.17,4.65,0.008135762996971607,[-0.01781473 -0.00787611  0.00430235 -0.0338855 ],0.25,64,4,0.00108883,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108883, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108883, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108883, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108883, ""num_workers"": 5}]",4.4465675,54656.6464,5.0361134375,5.3099140625
8,0,100.5287618637085,3.204162836074829,104.1083812713623,15.3,8534.893568,2837.680128,0.0,50.0,51.35235528676484,0.97,4.25,0.007285508792847395,[-0.02806995 -0.03115735 -0.02235856  0.04383802],0.25,64,5,0.00108903,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108903, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108903, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108903, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108903, ""num_workers"": 5}]",4.3398246875,41191.2928,4.92535,5.482917578125
9,0,101.78911709785461,3.1389927864074707,105.2245352268219,14.4,8515.787264,2838.167552,0.0,50.0,51.23739735513889,1.41,5.63,0.012450829148292542,[-0.00408293  0.005533   -0.0079681   0.04328298],0.25,64,4,0.00108859,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108859, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108859, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108859, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108859, ""num_workers"": 5}]",4.245956875,49989.0528,4.8108090625,4.874736328125
10,0,102.92624926567078,3.296510696411133,106.44621634483337,14.7,241.727488,2838.171648,0.0,51.0,1.4544148380355275,2.03,7.16,0.021301500499248505,[ 0.02043371 -0.00780712  0.01752784 -0.03085915],0.25,64,4,0.0010879700000000002,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010879700000000002, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010879700000000002, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010879700000000002, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010879700000000002, ""num_workers"": 4}]",4.149428125,47278.5344,4.7328565625,4.7400109375
11,0,100.2881350517273,2.9678664207458496,103.99377417564392,15.6,3763.302912,2838.818816,0.0,50.0,22.642867968888623,1.67,6.48,0.01685476116836071,[-0.02328257  0.02548118  0.01243601 -0.00425568],0.25,64,5,0.00108833,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108833, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108833, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108833, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108833, ""num_workers"": 4}]",4.0798890625,19270.672,4.6513675,4.755428125
12,0,100.552814245224,3.047755479812622,104.01012778282166,13.4,6736.63488,2838.409216,0.0,51.0,40.53267507541254,2.09,7.37,0.023720812052488327,[ 0.04056092 -0.01719251  0.00279815  0.00764471],0.25,64,5,0.0010879099999999999,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010879099999999999, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010879099999999999, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010879099999999999, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010879099999999999, ""num_workers"": 5}]",3.9977071875,65027.328,4.5839590625,5.80379609375
13,0,100.72720456123352,2.9009621143341064,103.82747793197632,15.9,241.726976,2838.298624,0.0,50.0,1.4544117574574633,2.24,7.64,0.02539404295384884,[ 0.00598461 -0.00800871 -0.0332829  -0.03617235],0.25,64,5,0.0010877600000000001,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010877600000000001, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010877600000000001, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010877600000000001, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010877600000000001, ""num_workers"": 6}]",3.941320625,31892.3136,4.524064375,4.57891484375
14,0,99.37761688232422,2.984053373336792,102.94059181213379,14.9,7278.961664,2838.454272,0.0,50.0,43.795721939630525,2.96,8.94,0.03542183339595795,[-0.01230704 -0.00923516  0.00388312 -0.05056307],0.25,64,5,0.00108704,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108704, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108704, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108704, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108704, ""num_workers"": 4}]",3.878143125,30089.2224,4.4509575,4.551708984375
15,0,101.51034736633301,3.161637544631958,104.93520188331604,14.1,4741.904896,2838.614016,0.0,52.0,28.530875401707377,2.7,8.98,0.030926087871193886,[-0.05360734 -0.04726168 -0.02681296  0.01153532],0.25,64,5,0.0010873,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010873, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010873, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010873, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010873, ""num_workers"": 4}]",3.8135140625,27087.4848,4.3579034375,4.38894140625
16,0,102.33351421356201,2.906848669052124,105.85134673118591,14.7,3098.665984,2838.745088,0.0,49.0,18.643911052621203,3.42,9.93,0.04213052988052368,[-0.01473191 -0.02863983 -0.00107867  0.04334628],0.25,64,4,0.0010865800000000002,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010865800000000002, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010865800000000002, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010865800000000002, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010865800000000002, ""num_workers"": 5}]",3.7521884375,30042.3584,4.3035234375,4.1915859375
17,0,101.9649064540863,3.2682135105133057,105.57888221740723,15.2,5560.2048,2838.765568,0.0,50.0,33.45438464837049,3.57,10.28,0.04339442029595375,[-0.00176632  0.01562168 -0.00753258 -0.02547811],0.25,64,5,0.00108643,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108643, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108643, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108643, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108643, ""num_workers"": 4}]",3.6985171875,126059.2768,4.2465409375,5.1242671875
18,0,101.45910573005676,2.860527753829956,104.92436480522156,14.3,241.727488,2839.269376,0.0,50.0,1.4544148380355275,3.78,10.6,0.048729896545410156,[-0.0266572  -0.01061554 -0.00969125 -0.005915  ],0.25,64,4,0.00108622,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108622, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108622, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108622, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108622, ""num_workers"": 5}]",3.648910625,123799.296,4.196614375,4.2200625
19,0,102.80772662162781,3.362513780593872,106.39616370201111,15.1,241.727488,2839.076864,0.0,51.0,1.4544148380355275,4.0,10.8,0.05157109722495079,[ 0.01090673 -0.0650786  -0.01042933  0.0078366 ],0.25,64,5,0.0010860000000000002,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010860000000000002, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010860000000000002, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010860000000000002, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.0010860000000000002, ""num_workers"": 4}]",3.5936553125,219402.9056,4.1398084375,4.284480078125
20,0,104.16459584236145,2.999281883239746,107.83371424674988,13.2,188.537344,2838.380544,0.0,49.0,1.1343828246682832,4.19,11.31,0.054526831954717636,[-0.00635362  0.00131182  0.00265985  0.03748534],0.25,64,4,0.00108581,"[{""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108581, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108581, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108581, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 64, ""lr"": 0.00108581, ""num_workers"": 4}]",3.548265,132264.2688,4.095425,5.073340625
