epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,46.65627861022949,1.3438239097595215,48.7590754032135,8.8,496.264704,1944.02304,56.0,51.0,1.9518301794754154,41.88,89.33,0.3769383728504181,[-0.00441321],1.0,32,4,0.00104812,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00104812, ""num_workers"": 4}]",2.09260890625,2.905128125,2.09260890625,2.905128125
2,0,45.53856015205383,1.3580701351165771,47.023162603378296,8.8,440.558592,2062.626816,58.0,57.0,1.7327356726397296,43.1,90.58,0.42322784662246704,[0.01788153],1.0,32,4,0.0010469,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010469, ""num_workers"": 4}]",1.874776875,1.734803515625,1.874776875,1.734803515625
3,0,46.99941277503967,1.2951056957244873,48.389458894729614,8.6,522.220544,2072.522752,56.0,59.0,2.053915601705313,42.51,90.62,0.41621777415275574,[0.00112299],1.0,32,4,0.00104749,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00104749, ""num_workers"": 4}]",1.72963234375,1.625889453125,1.72963234375,1.625889453125
4,0,46.842222690582275,1.2605714797973633,48.20193076133728,8.6,530.741248,2083.057664,55.0,59.0,2.087427892794177,41.45,90.09,0.41369447112083435,[0.01183208],1.0,32,4,0.00104855,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00104855, ""num_workers"": 4}]",1.71292484375,1.6016916015625,1.71292484375,1.6016916015625
5,0,46.788074016571045,1.2719342708587646,48.159719705581665,8.7,460.009472,2083.631104,56.0,60.0,1.8092368106319145,51.17,93.97,0.5090180039405823,[0.01256042],1.0,32,4,0.00103883,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00103883, ""num_workers"": 4}]",1.6989328125,1.66483515625,1.6989328125,1.66483515625
6,0,46.57758951187134,1.5451273918151855,48.22380208969116,7.3,499.188224,2115.03104,56.0,57.0,1.9633285079285707,47.16,92.41,0.46329113841056824,[-0.00899261],1.0,32,4,0.00104284,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00104284, ""num_workers"": 4}]",1.53544921875,1.4455927734375,1.53544921875,1.4455927734375
7,0,46.24566030502319,1.310661792755127,47.6524920463562,8.7,496.466432,2069.79072,57.0,60.0,1.9526235842758608,57.36,95.52,0.5676131844520569,[0.01624909],1.0,32,4,0.00103264,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00103264, ""num_workers"": 4}]",1.4124571875,1.225397265625,1.4124571875,1.225397265625
8,0,46.7806921005249,1.3064188957214355,48.17602801322937,8.7,496.46592,2084.401152,58.0,60.0,1.952621570558093,59.6,96.61,0.5871669054031372,[0.01526809],1.0,32,4,0.0010304000000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010304000000000001, ""num_workers"": 4}]",1.21027203125,1.1559080078125,1.21027203125,1.1559080078125
9,0,46.80971121788025,1.3440415859222412,48.25803089141846,9.9,456.372224,2084.417536,57.0,60.0,1.7949313596106857,65.48,96.9,0.64898681640625,[0.03586137],1.0,32,4,0.0010245200000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010245200000000001, ""num_workers"": 4}]",1.10240765625,0.999447265625,1.10240765625,0.999447265625
10,0,49.43273329734802,1.440415859222412,50.981178760528564,12.0,409.165312,2065.502208,57.0,59.0,1.6092645677176234,67.31,97.44,0.6731412410736084,[0.01718807],1.0,32,4,0.0010226900000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010226900000000001, ""num_workers"": 4}]",1.011930390625,0.92828837890625,1.011930390625,0.92828837890625
11,0,56.67099976539612,1.41512131690979,58.186506271362305,12.0,532.18304,2065.32608,60.0,59.0,2.0930985220278173,69.49,97.75,0.6955066323280334,[-0.00518953],1.0,32,4,0.00102051,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102051, ""num_workers"": 4}]",0.967878984375,0.8601107421875,0.967878984375,0.8601107421875
12,0,57.869093894958496,1.5600666999816895,59.51853942871094,11.7,436.615168,2075.353088,57.0,58.0,1.7172260183934591,72.12,97.87,0.7203156352043152,[0.03930292],1.0,32,4,0.0010178799999999999,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010178799999999999, ""num_workers"": 4}]",0.895949375,0.787879345703125,0.895949375,0.787879345703125
13,0,57.28578495979309,1.3646736145019531,58.74440884590149,13.2,436.615168,2075.357184,62.0,59.0,1.7172260183934591,73.17,97.75,0.7297049164772034,[0.03370984],1.0,32,4,0.0010168299999999998,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010168299999999998, ""num_workers"": 4}]",0.85851109375,0.9301736328125,0.85851109375,0.9301736328125
14,0,58.53233337402344,1.4104177951812744,60.04408049583435,12.3,496.466432,2083.377152,62.0,58.0,1.9526235842758608,75.05,98.41,0.7486727237701416,[0.01691596],1.0,32,4,0.0010149500000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010149500000000001, ""num_workers"": 4}]",0.807418203125,0.725062890625,0.807418203125,0.725062890625
15,0,57.610103130340576,1.3741846084594727,59.08350658416748,10.4,499.188224,2083.319808,57.0,56.0,1.9633285079285707,70.96,98.12,0.706748902797699,[0.01867219],1.0,32,4,0.00101904,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00101904, ""num_workers"": 4}]",0.763606171875,0.829178515625,0.763606171875,0.829178515625
