epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,4.976198196411133,0.7267429828643799,6.306054353713989,0.0,259.185664,1049.051136,54.0,34.0,1.019388235764143,0.0,0.0,0.0,[0.01098322],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",3.1981368013305063,2.93292236328125,3.1981368013305063,2.93292236328125
2,0,3.782442331314087,0.6892085075378418,4.535403490066528,7.6,1956.736,1961.119744,56.0,44.0,7.695925878432021,0.0,0.0,0.0,[-0.00504609],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.93562177359882,2.9209418045847038,2.93562177359882,2.9209418045847038
3,0,3.831841230392456,0.6756017208099365,4.571572303771973,7.9,672.557056,1953.73056,54.0,43.0,2.64519549494283,0.0,0.0,0.0,[-0.0065991],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9329184623125615,2.9169766610128836,2.9329184623125615,2.9169766610128836
4,0,3.75000262260437,0.650475025177002,4.464782476425171,8.1,669.195776,1958.883328,61.0,43.0,2.631975437798353,0.0,0.0,0.0,[-0.03812276],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9290556631022615,2.9106057150322093,2.9290556631022615,2.9106057150322093
5,0,3.8362438678741455,0.6678123474121094,4.569090843200684,7.3,669.195776,1968.246784,57.0,44.0,2.631975437798353,0.0,0.0,0.0,[-0.00752446],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9225716529928714,2.910419129488761,2.9225716529928714,2.910419129488761
6,0,3.652667999267578,0.6542911529541016,4.370459079742432,7.6,672.17152,1968.648192,58.0,53.0,2.643679165463806,0.0,0.0,0.0,[0.01445812],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.916756448961406,2.903361805698328,2.916756448961406,2.903361805698328
7,0,3.4901649951934814,0.6781752109527588,4.231847047805786,6.2,672.202752,1969.487872,56.0,53.0,2.6438020022476314,0.0,0.0,0.0,[-0.0050873],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.913601345486111,2.9009353905393365,2.913601345486111,2.9009353905393365
8,0,3.769502639770508,0.6941330432891846,4.52824330329895,7.8,2250.65216,1961.357312,54.0,55.0,8.851910631527668,0.0,0.0,0.0,[-0.00471146],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.913647436931539,2.8940509996916117,2.913647436931539,2.8940509996916117
9,0,3.7713170051574707,0.6811525821685791,4.518735885620117,8.4,1463.37024,1970.040832,57.0,55.0,5.755497368956914,0.0,0.0,0.0,[-0.028237],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9072080779099068,2.89273178368284,2.9072080779099068,2.89273178368284
10,0,3.7880537509918213,0.6800577640533447,4.531516075134277,8.2,669.195776,1970.098176,53.0,52.0,2.631975437798353,0.0,0.0,0.0,[-0.00929985],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.905952086022001,2.889735974763569,2.905952086022001,2.889735974763569
11,0,3.761586904525757,0.6897649765014648,4.51474142074585,8.6,1956.75136,1970.262016,60.0,59.0,7.695986289965048,0.0,0.0,0.0,[-0.01027204],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.901239715846239,2.8836999190481087,2.901239715846239,2.8836999190481087
12,0,3.810818672180176,0.6669909954071045,4.540714979171753,8.5,2166.221824,1962.37312,61.0,59.0,8.519842530492522,1.0854152210971746,0.0,0.0,[-0.01108743],1.0,16,4,0.0010889145847789029,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010889145847789029, ""num_workers"": 4}]",2.8993132374631267,2.8851390637849508,2.8993132374631267,2.8851390637849508
13,0,3.75901460647583,0.7048530578613281,4.527528285980225,8.4,672.188928,1962.233856,55.0,60.0,2.643747631867906,0.0,0.0,0.0,[0.01032254],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.896511741795723,2.8790288557086074,2.896511741795723,2.8790288557086074
14,0,3.745251178741455,0.6895833015441895,4.499298572540283,8.4,1356.79744,2132.307968,55.0,60.0,5.336342015625162,2.7506778114720354,0.0,0.0,[-0.01163991],1.0,16,4,0.001087249322188528,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.001087249322188528, ""num_workers"": 4}]",2.8852210180832105,2.860844662314967,2.8852210180832105,2.860844662314967
15,0,3.5029687881469727,0.6738030910491943,4.2426838874816895,7.0,669.195776,2133.458944,57.0,55.0,2.631975437798353,0.7199203758909034,0.0,0.0,[-0.00964391],1.0,16,4,0.0010892800796241092,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010892800796241092, ""num_workers"": 4}]",2.8418962596792037,2.763497335868969,2.8418962596792037,2.763497335868969
16,0,3.421497106552124,0.6723079681396484,4.156023979187012,3.8,674.707968,2133.909504,58.0,59.0,2.653655123284635,4.803092019599786,0.0,0.0,[-0.00607188],1.0,16,4,0.0010851969079804004,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010851969079804004, ""num_workers"": 4}]",2.7193194213987217,2.669035526744106,2.7193194213987217,2.669035526744106
17,0,3.3913700580596924,0.6714768409729004,4.126392602920532,5.6,1828.748288,2134.102016,58.0,60.0,7.192544765751461,0.0,0.0,0.0,[-0.01557259],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.6815743685471976,2.63855194627193,2.6815743685471976,2.63855194627193
