epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,224.68455934524536,9.697490215301514,234.6149160861969,47.1,5158.234624,2022.137856,81.0,66.0,20.287556078012393,98.11,99.93,0.981063187122345,[0.02228156],1.0,64,4,0.00099189,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099189, ""num_workers"": 4}]",0.3568853841145833,0.061267132568359375,0.3568853841145833,0.061267132568359375
2,0,199.55845975875854,9.68335223197937,209.34100222587585,49.0,4933.459456,2728.718336,78.0,68.0,19.403505785974986,99.02,100.0,0.990203320980072,[0.00487629],1.0,64,4,0.00099098,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099098, ""num_workers"": 4}]",0.04672581787109375,0.03152001953125,0.04672581787109375,0.03152001953125
3,0,198.51535892486572,9.692267656326294,208.2958710193634,50.6,512.312832,2694.3488,79.0,67.0,2.0149481491839447,99.13,100.0,0.99127596616745,[0.01904352],1.0,64,4,0.00099087,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099087, ""num_workers"": 4}]",0.0465768798828125,0.02664006652832031,0.0465768798828125,0.02664006652832031
4,0,198.77464747428894,9.662127256393433,208.52510714530945,48.5,512.312832,2696.126464,79.0,68.0,2.0149481491839447,99.07,99.99,0.9906434416770935,[0.00490542],1.0,64,4,0.00099093,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099093, ""num_workers"": 4}]",0.04119938151041667,0.028799758911132813,0.04119938151041667,0.028799758911132813
5,0,198.53535318374634,9.616269826889038,208.24276781082153,41.4,4446.404096,2698.113024,79.0,68.0,17.4878963479859,99.25,100.0,0.9924851059913635,[-0.01508668],1.0,64,4,0.00099075,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099075, ""num_workers"": 4}]",0.042596818033854164,0.02470109405517578,0.042596818033854164,0.02470109405517578
6,0,200.19429063796997,9.763002634048462,210.04242610931396,40.2,512.312832,2698.489856,80.0,67.0,2.0149481491839447,98.76,99.99,0.9877321720123291,[-0.00742142],1.0,64,4,0.00099124,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099124, ""num_workers"": 4}]",0.039444877115885416,0.0388957763671875,0.039444877115885416,0.0388957763671875
7,0,200.03747177124023,9.755584001541138,209.87758493423462,39.4,512.312832,2698.817536,80.0,68.0,2.0149481491839447,98.88,99.99,0.9884848594665527,[-0.01084773],1.0,64,4,0.00099112,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099112, ""num_workers"": 4}]",0.03757588297526042,0.03703207092285156,0.03757588297526042,0.03703207092285156
8,0,200.4007544517517,9.74994707107544,210.24449706077576,39.5,512.312832,2695.368704,78.0,67.0,2.0149481491839447,99.36,100.0,0.9935545325279236,[0.00729511],1.0,64,4,0.0009906399999999999,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0009906399999999999, ""num_workers"": 4}]",0.032950301106770837,0.022448905944824217,0.032950301106770837,0.022448905944824217
9,0,200.63068866729736,9.745969772338867,210.46458268165588,39.7,512.312832,2696.798208,78.0,67.0,2.0149481491839447,99.33,99.99,0.993249773979187,[0.03819207],1.0,64,4,0.0009906700000000001,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0009906700000000001, ""num_workers"": 4}]",0.02865126953125,0.02070040740966797,0.02865126953125,0.02070040740966797
10,0,199.77339148521423,9.703667640686035,209.58720660209656,40.2,456.605184,2697.50272,79.0,65.0,1.7958476011949565,99.44,100.0,0.9944195747375488,[0.00656983],1.0,64,4,0.00099056,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099056, ""num_workers"": 4}]",0.028419197591145834,0.020776673889160158,0.028419197591145834,0.020776673889160158
11,0,200.15705561637878,9.764526605606079,210.01474380493164,40.1,512.312832,2697.519104,79.0,67.0,2.0149481491839447,99.56,100.0,0.9955460429191589,[-0.02557984],1.0,64,4,0.00099044,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099044, ""num_workers"": 4}]",0.02620792032877604,0.013599838256835937,0.02620792032877604,0.013599838256835937
12,0,200.21279859542847,9.695931673049927,210.00259685516357,40.5,3846.858752,2730.397696,79.0,68.0,15.129859020424577,99.46,100.0,0.9945817589759827,[0.0152167],1.0,64,4,0.00099054,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099054, ""num_workers"": 4}]",0.02417752685546875,0.019625624084472656,0.02417752685546875,0.019625624084472656
13,0,200.47043800354004,9.770881652832031,210.32902884483337,36.7,512.312832,2698.944512,78.0,67.0,2.0149481491839447,99.55,100.0,0.9955055713653564,[0.02184577],1.0,64,4,0.0009904500000000001,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.0009904500000000001, ""num_workers"": 4}]",0.021742425537109374,0.014210171508789062,0.021742425537109374,0.014210171508789062
14,0,199.40891480445862,9.745107650756836,209.23951601982117,38.5,512.312832,2698.944512,82.0,69.0,2.0149481491839447,99.35,100.0,0.9934418797492981,[0.00067428],1.0,64,4,0.00099065,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099065, ""num_workers"": 4}]",0.018856547037760418,0.021197567749023438,0.018856547037760418,0.021197567749023438
15,0,199.5778501033783,9.549692869186401,209.22515058517456,35.4,2061.594112,2699.997184,78.0,69.0,8.108337290959987,99.27,100.0,0.9926577806472778,[0.0189805],1.0,64,4,0.00099073,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099073, ""num_workers"": 4}]",0.017550789388020835,0.02393907928466797,0.017550789388020835,0.02393907928466797
16,0,197.14134812355042,9.532008171081543,206.7562220096588,32.1,512.312832,2699.997184,74.0,71.0,2.0149481491839447,99.28,100.0,0.992763876914978,[0.02821617],1.0,64,4,0.00099072,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099072, ""num_workers"": 4}]",0.016598292032877604,0.024174916076660155,0.016598292032877604,0.024174916076660155
17,0,196.83935618400574,9.538447618484497,206.46163272857666,32.6,4408.075264,2700.038144,76.0,71.0,17.337147422183502,99.49,100.0,0.9949050545692444,[0.02126629],1.0,64,4,0.00099051,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099051, ""num_workers"": 4}]",0.015803120930989584,0.01830461120605469,0.015803120930989584,0.01830461120605469
18,0,197.25627779960632,9.510065078735352,206.85958862304688,33.0,495.141376,2695.766016,75.0,68.0,1.9474120826932395,99.37,99.99,0.9937125444412231,[-0.00042181],1.0,64,4,0.00099063,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099063, ""num_workers"": 4}]",0.014095653279622396,0.0226043212890625,0.014095653279622396,0.0226043212890625
19,0,197.2985486984253,9.571455001831055,206.97391963005066,33.1,512.312832,2695.766016,75.0,70.0,2.0149481491839447,99.21,99.99,0.992039144039154,[-0.00196912],1.0,64,4,0.00099079,"[{""shard_pct"": 1.0, ""batch_size"": 64, ""lr"": 0.00099079, ""num_workers"": 4}]",0.013550293986002604,0.023809771728515627,0.013550293986002604,0.023809771728515627
