epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,178.80615711212158,0.8657798767089844,180.9916558265686,13.2,1369.558016,1987.383296,62.0,59.0,5.3865299035477525,50.91743119266055,0.0,0.33738601207733154,[-0.00852489],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6900889513021723,0.6978642174956995,0.6900889513021723,0.6978642174956995
2,0,184.1117696762085,0.5725343227386475,184.7764868736267,13.8,1370.048,2012.971008,62.0,61.0,5.388457031451372,50.91743119266055,0.0,0.33738601207733154,[-0.01099707],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865049499621375,0.6979162933629587,0.6865049499621375,0.6979162933629587
3,0,146.52446246147156,0.5104055404663086,147.1364495754242,10.7,1366.74048,2002.997248,57.0,65.0,5.375448414672496,50.91743119266055,0.0,0.33738601207733154,[0.00210318],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864971199461016,0.6985898499095112,0.6864971199461016,0.6985898499095112
4,0,130.88927483558655,0.5174069404602051,131.49586296081543,9.3,1426.720256,2025.701376,60.0,67.0,5.611351423714572,50.91743119266055,0.0,0.33738601207733154,[0.0103763],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865238000007424,0.6975330737752652,0.6865238000007424,0.6975330737752652
5,0,131.5946114063263,0.9841878414154053,132.6645884513855,10.8,1445.853696,2011.758592,61.0,66.0,5.686604056690827,50.91743119266055,0.0,0.33738601207733154,[0.00980254],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865127799781734,0.6968488080785908,0.6865127799781734,0.6968488080785908
6,0,130.8035750389099,0.5793476104736328,131.4779679775238,8.5,1372.753408,2005.676032,61.0,58.0,5.399097516135519,50.91743119266055,0.0,0.33738601207733154,[-0.02992735],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6868134525939509,0.6984499310134747,0.6868134525939509,0.6984499310134747
7,0,125.04454898834229,0.5414535999298096,125.67625212669373,5.7,1092.548096,2008.711168,60.0,67.0,4.2970381111391776,50.91743119266055,0.0,0.33738601207733154,[0.01478563],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6864893479301846,0.6978859857681694,0.6864893479301846,0.6978859857681694
8,0,123.74366974830627,0.5485918521881104,124.37622165679932,5.6,1297.57952,2008.850432,58.0,67.0,5.103435418621316,50.91743119266055,0.0,0.33738601207733154,[-0.01850864],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.686510459973422,0.6980504727144854,0.686510459973422,0.6980504727144854
9,0,124.4329936504364,0.5245306491851807,125.048264503479,5.6,1092.54912,2006.499328,56.0,67.0,4.297042138574713,50.91743119266055,0.0,0.33738601207733154,[-0.01442938],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6866527342647998,0.6977800141780748,0.6866527342647998,0.6977800141780748
10,0,124.39378046989441,0.5031225681304932,125.02836489677429,5.5,1364.033024,2006.46656,59.0,67.0,5.36479987511728,50.91743119266055,0.0,0.33738601207733154,[-0.00300205],1.0,32,4,0.0010390825688073395,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010390825688073395, ""num_workers"": 4}]",0.6865725201005212,0.6954000630509962,0.6865725201005212,0.6954000630509962
