epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,98.20437026023865,3.7816507816314697,102.0416157245636,12.5,200.540672,1821.888512,58.0,67.0,0.788734988942273,10.59,30.27,0.08109315484762192,,0.25,32,4,0.00107941,,4.68231375,4.507683984375,4.69627375,4.415614453125
2,1,98.08897018432617,2.945326566696167,101.09157872200012,12.7,174.58176,1937.932288,56.0,69.0,0.6866374844057697,17.82,42.01,0.14613229036331177,,0.25,32,6,0.0010721799999999998,,4.1177878125,4.157128125,4.1151925,4.059570703125
3,1,98.62148523330688,2.724565029144287,101.40772891044617,12.9,202.95424,2074.955776,58.0,69.0,0.798227654498871,25.54,52.56,0.23103365302085876,,0.25,32,5,0.00106446,,3.7365103125,3.2580884765625,3.7433896875,3.225349609375
4,1,97.97371220588684,2.7013144493103027,100.76505756378174,12.9,1369.632768,2073.718784,59.0,69.0,5.386823906341825,29.8,57.03,0.2809770405292511,,0.25,32,6,0.0010602,,3.4256596875,3.097225390625,3.4428184375,3.08551875
5,1,98.65853810310364,3.248013496398926,101.97195601463318,12.7,202.95424,2074.300416,58.0,67.0,0.798227654498871,33.95,62.25,0.3242662250995636,,0.25,32,6,0.00105605,,3.1988903125,2.8074580078125,3.2009578125,2.763848828125
6,1,98.94682955741882,3.0790538787841797,102.1847071647644,12.9,202.95424,2076.442624,56.0,69.0,0.798227654498871,39.49,66.8,0.3782290816307068,,0.25,32,5,0.0010505100000000002,,3.0252625,2.5549615234375,3.0032065625,2.4986578125
7,1,98.26341390609741,4.514958143234253,102.9125874042511,12.5,202.95424,2074.861568,55.0,69.0,0.798227654498871,42.68,69.97,0.4140840172767639,,0.25,32,6,0.00104732,,2.8827425,2.39187890625,2.89158375,2.3534720703125
8,1,98.5701117515564,3.0439438819885254,101.74910163879395,13.0,202.95424,2074.968064,58.0,67.0,0.798227654498871,42.62,70.13,0.4198358356952667,,0.25,32,5,0.00104738,,2.7608821875,2.3884888671875,2.74891875,2.333882421875
9,1,98.23209118843079,2.9708402156829834,101.26601028442383,13.2,2082.412544,2076.504064,59.0,69.0,8.190217069109504,46.08,72.44,0.45887094736099243,,0.25,32,7,0.00104392,,2.655929375,2.2481666015625,2.643100625,2.2318873046875
10,1,98.83507084846497,4.129415035247803,103.00569581985474,12.4,3342.53312,2142.63808,58.0,68.0,13.146324868415626,46.42,72.85,0.4547622501850128,,0.25,32,5,0.00104358,,2.56035859375,2.24955859375,2.5520759375,2.254559765625
11,1,98.36699366569519,3.0842580795288086,101.49338555335999,12.9,202.95424,2142.846976,61.0,69.0,0.798227654498871,48.1,74.7,0.475666344165802,,0.25,32,5,0.0010419000000000001,,2.48073296875,2.145177734375,2.488690625,2.1209015625
12,1,97.95801711082458,2.6523489952087402,100.66887044906616,13.1,1226.763264,2143.657984,59.0,69.0,4.824912073027394,50.15,75.52,0.49309152364730835,,0.25,32,5,0.00103985,,2.403070625,2.09166953125,2.4052984375,2.0623734375
13,1,98.87301111221313,3.166369915008545,102.11779236793518,12.8,2793.439744,2143.1296,57.0,68.0,10.986717275958593,51.44,77.21,0.5121838450431824,,0.25,32,6,0.00103856,,2.329853125,1.9965515625,2.32497015625,1.985076953125
14,1,98.8348617553711,3.2015857696533203,102.08395290374756,12.8,4360.28672,2143.162368,58.0,68.0,17.149193046906415,51.77,77.35,0.5148981809616089,,0.25,32,7,0.00103823,,2.2642921875,1.996533984375,2.2696975,1.969386328125
15,1,99.52807402610779,2.9841907024383545,102.54928922653198,12.8,231.612416,2143.727616,60.0,69.0,0.9109414791063088,52.36,77.83,0.520738959312439,,0.25,32,7,0.00103764,,2.1997775,1.953185546875,2.20824671875,1.9514494140625
16,1,98.51891493797302,3.032066583633423,101.63848924636841,13.0,4140.933632,2143.735808,60.0,68.0,16.28646802602819,54.46,78.86,0.5437535047531128,,0.25,32,7,0.00103554,,2.1445775,1.879790234375,2.1543746875,1.8602373046875
17,1,99.04136657714844,3.3340141773223877,102.43017673492432,12.9,202.95424,2143.965184,54.0,69.0,0.798227654498871,53.97,79.17,0.5357807874679565,,0.25,32,6,0.00103603,,2.0980553125,1.8881546875,2.112168125,1.9036423828125
18,1,98.9318916797638,3.200223922729492,102.17350268363953,12.7,202.95424,2143.956992,56.0,69.0,0.798227654498871,54.71,79.27,0.5453215837478638,,0.25,32,6,0.0010352900000000001,,2.04639078125,1.882197265625,2.0233040625,1.8866240234375
19,1,97.81088542938232,3.367825984954834,101.21440410614014,12.9,2928.951808,2143.961088,59.0,68.0,11.519691984952212,55.13,79.84,0.5498878359794617,,0.25,32,6,0.00103487,,2.00258203125,1.861819921875,1.9921959375,1.8725236328125
20,1,98.65605282783508,3.056586742401123,101.83056831359863,13.1,202.95424,2144.120832,57.0,69.0,0.798227654498871,55.99,80.31,0.559147298336029,,0.25,32,6,0.0010340100000000001,,1.9517759375,1.8284255859375,1.95731515625,1.805936328125
