epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,53.5401246547699,5.232464075088501,60.46330189704895,13.3,941.16608,1935.228928,59.0,61.0,3.7016462062201647,17.43,44.86,0.13812793791294098,[0.0109178],1.0,32,4,0.0010725700000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010725700000000001, ""num_workers"": 4}]",3.90370875,3.402848046875,3.90370875,3.402848046875
2,0,53.47245907783508,5.129100561141968,58.723753690719604,13.2,295.053312,2142.867456,61.0,68.0,1.1604572202575496,28.88,61.43,0.26797887682914734,[0.0277947],1.0,32,4,0.00106112,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00106112, ""num_workers"": 4}]",3.1229290625,2.7731029296875,3.1229290625,2.7731029296875
3,0,52.98385763168335,5.064188241958618,58.13114809989929,11.4,295.053312,2152.77568,65.0,70.0,1.1604572202575496,41.47,73.6,0.40455198287963867,[0.00916403],1.0,32,4,0.00104853,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00104853, ""num_workers"": 4}]",2.495214375,2.1824888671875,2.495214375,2.1824888671875
4,0,53.429365158081055,5.068240642547607,58.58078074455261,13.5,952.423936,2187.44832,61.0,70.0,3.7459238324947677,47.95,78.57,0.4715375006198883,[0.01544987],1.0,32,4,0.0010420499999999999,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010420499999999999, ""num_workers"": 4}]",2.03143171875,1.9327140625,2.03143171875,1.9327140625
5,0,53.59295320510864,5.136508464813232,58.830387592315674,13.3,247.634432,2187.513856,64.0,70.0,0.9739567492086895,53.11,83.23,0.5248361229896545,[0.01466989],1.0,32,4,0.0010368900000000002,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010368900000000002, ""num_workers"": 4}]",1.712685,1.68076796875,1.712685,1.68076796875
6,0,53.44372749328613,5.161464214324951,58.70091772079468,13.2,295.053312,2197.11488,63.0,70.0,1.1604572202575496,56.83,84.97,0.5621654987335205,[0.02194349],1.0,32,4,0.00103317,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00103317, ""num_workers"": 4}]",1.4628365625,1.544814453125,1.4628365625,1.544814453125
7,0,53.54870963096619,5.163686990737915,58.79433512687683,13.5,943.113728,2197.209088,65.0,70.0,3.709306388608222,57.55,86.19,0.5688512325286865,[0.00964512],1.0,32,4,0.00103245,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00103245, ""num_workers"": 4}]",1.25984109375,1.52191240234375,1.25984109375,1.52191240234375
8,0,53.07805371284485,5.140619993209839,58.300742387771606,13.6,295.053312,2197.266432,61.0,70.0,1.1604572202575496,59.28,86.69,0.5940837860107422,[0.02409784],1.0,32,4,0.0010307200000000002,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010307200000000002, ""num_workers"": 4}]",1.065968671875,1.5066279296875,1.065968671875,1.5066279296875
9,0,53.567591428756714,5.163683652877808,58.814175605773926,13.3,275.784704,2197.446656,63.0,70.0,1.0846729657906404,60.89,87.0,0.6076874136924744,[0.00810532],1.0,32,4,0.00102911,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102911, ""num_workers"": 4}]",0.897488359375,1.46196318359375,0.897488359375,1.46196318359375
10,0,53.68953323364258,5.1504435539245605,58.9233922958374,13.1,295.053312,2197.446656,62.0,69.0,1.1604572202575496,60.93,86.98,0.6118996739387512,[-0.01733881],1.0,32,4,0.00102907,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102907, ""num_workers"": 4}]",0.7450528125,1.50106689453125,0.7450528125,1.50106689453125
11,0,52.76746964454651,5.130765676498413,57.98047494888306,13.2,301.986304,2197.454848,60.0,70.0,1.1877249725489996,62.12,87.62,0.6216719150543213,[-0.01597777],1.0,32,4,0.00102788,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102788, ""num_workers"": 4}]",0.608180078125,1.49682158203125,0.608180078125,1.49682158203125
12,0,53.55235815048218,5.156930685043335,58.80257821083069,12.8,941.005824,2197.479424,61.0,70.0,3.701015912558897,62.53,87.19,0.6231503486633301,[-0.04215085],1.0,32,4,0.0010274700000000002,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010274700000000002, ""num_workers"": 4}]",0.504181796875,1.551118359375,0.504181796875,1.551118359375
13,0,52.68514823913574,5.1834776401519775,57.950180768966675,10.4,736.761344,2197.504,62.0,70.0,2.897713689285604,62.96,87.39,0.6291642785072327,[-0.02074593],1.0,32,4,0.00102704,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102704, ""num_workers"": 4}]",0.4099713671875,1.61943251953125,0.4099713671875,1.61943251953125
14,0,53.62262940406799,5.115180015563965,58.821173906326294,13.2,295.053312,2197.512192,65.0,70.0,1.1604572202575496,63.77,87.91,0.6378855109214783,[0.03471836],1.0,32,4,0.00102623,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102623, ""num_workers"": 4}]",0.34225578125,1.583529296875,0.34225578125,1.583529296875
15,0,53.41404390335083,5.11344575881958,58.60936617851257,13.3,834.966528,2197.536768,64.0,70.0,3.2839588531410135,63.14,87.69,0.6295515298843384,[0.02650711],1.0,32,4,0.00102686,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102686, ""num_workers"": 4}]",0.29643921875,1.7051029296875,0.29643921875,1.7051029296875
16,0,52.119123458862305,5.129428148269653,57.33080792427063,10.8,295.053312,2197.540864,61.0,69.0,1.1604572202575496,62.71,87.59,0.6275861263275146,[0.00641288],1.0,32,4,0.0010272900000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010272900000000001, ""num_workers"": 4}]",0.25242681640625,1.7906294921875,0.25242681640625,1.7906294921875
17,0,52.766172647476196,5.093743085861206,57.94794034957886,10.8,295.053312,2178.940928,61.0,69.0,1.1604572202575496,63.33,87.89,0.634027898311615,[0.01614332],1.0,32,4,0.00102667,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102667, ""num_workers"": 4}]",0.225856796875,1.7924205078125,0.225856796875,1.7924205078125
18,0,52.19098973274231,5.091456651687622,57.36527729034424,8.2,295.053312,2187.210752,60.0,70.0,1.1604572202575496,63.6,87.71,0.6355052590370178,[0.02407818],1.0,32,4,0.0010264,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010264, ""num_workers"": 4}]",0.20612541015625,1.833303515625,0.20612541015625,1.833303515625
19,0,50.39236664772034,5.046199798583984,55.53406548500061,7.9,951.178752,2187.91936,58.0,70.0,3.7410264708838965,63.29,87.6,0.6318182945251465,[0.03453484],1.0,32,4,0.0010267100000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0010267100000000001, ""num_workers"": 4}]",0.1905404296875,1.8946150390625,0.1905404296875,1.8946150390625
20,0,50.3524968624115,5.06910252571106,55.516690492630005,7.9,933.134848,2188.054528,59.0,70.0,3.6700590293171533,62.72,87.22,0.6258786916732788,[-0.00830055],1.0,32,4,0.00102728,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00102728, ""num_workers"": 4}]",0.1744134765625,1.989999609375,0.1744134765625,1.989999609375
