epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,5.074718475341797,0.8032293319702148,6.171947479248047,8.7,670.990336,1939.92704,56.0,46.0,2.6390335185738882,0.0,0.0,0.0,[0.0048086],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",3.1930304933321043,2.9215358265659264,3.1930304933321043,2.9215358265659264
2,0,3.988070487976074,0.7091758251190186,4.76228141784668,8.0,833.020416,1965.375488,57.0,54.0,3.27630471190626,0.0,0.0,0.0,[0.02087709],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9325598132528268,2.919941684655976,2.9325598132528268,2.919941684655976
3,0,4.180862665176392,0.7124025821685791,4.9599878787994385,7.6,1957.391872,1958.13376,53.0,51.0,7.698505450892351,0.0,0.0,0.0,[-0.01042708],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9317853809457963,2.926980001884594,2.9317853809457963,2.926980001884594
4,0,4.154947519302368,0.7260351181030273,4.947922945022583,10.5,670.849536,1967.489024,55.0,56.0,2.6384797461877905,0.0,0.0,0.0,[-0.02946814],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.929360538808997,2.912902564333196,2.929360538808997,2.912902564333196
5,0,3.656052589416504,0.6537487506866455,4.375583648681641,9.1,670.849536,1968.029696,53.0,50.0,2.6384797461877905,0.0,0.0,0.0,[-0.03325347],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9221112186578173,2.905837477299205,2.9221112186578173,2.905837477299205
6,0,4.164416313171387,0.7145750522613525,4.950382232666016,10.0,670.849536,1968.361472,57.0,50.0,2.6384797461877905,0.0,0.0,0.0,[-0.01240991],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.91961483875676,2.901769805372807,2.91961483875676,2.901769805372807
7,0,4.174891710281372,0.7309372425079346,4.972435712814331,9.7,672.727552,1968.996352,58.0,55.0,2.6458660629594495,0.0,0.0,0.0,[0.01442068],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9139859209838987,2.906156305681195,2.9139859209838987,2.906156305681195
8,0,4.240942478179932,0.7274534702301025,5.0358874797821045,9.5,670.849536,1969.549312,56.0,51.0,2.6384797461877905,0.0,0.0,0.0,[-0.00532369],1.0,16,4,0.00109,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.00109, ""num_workers"": 4}]",2.9137268966629795,2.8944332725123356,2.9137268966629795,2.8944332725123356
9,0,4.218322038650513,0.7408957481384277,5.027539968490601,10.8,672.622592,1969.975296,56.0,57.0,2.6454532508170865,1.0348537511992828,0.0,0.0,[0.00592047],1.0,16,4,0.0010889651462488007,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010889651462488007, ""num_workers"": 4}]",2.9063198573469764,2.905853539182429,2.9063198573469764,2.905853539182429
10,0,4.215957164764404,0.7034895420074463,4.986331462860107,9.0,670.849536,1970.036736,61.0,52.0,2.6384797461877905,2.8877659847861836,0.0,0.0,[-0.02161957],1.0,16,4,0.0010871122340152138,"[{""shard_pct"": 1.0, ""batch_size"": 16, ""lr"": 0.0010871122340152138, ""num_workers"": 4}]",2.895593513781342,2.8741532710560582,2.895593513781342,2.8741532710560582
