epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,231.3603081703186,10.999344825744629,244.03006649017334,10.5,446.67136,2059.395072,62.0,66.0,1.7567774490674395,98.7,99.98,0.9869468808174133,[-0.0048536],1.0,32,4,0.0009913,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009913, ""num_workers"": 4}]",0.3111734375,0.04556599731445313,0.3111734375,0.04556599731445313
2,0,233.46423435211182,10.108297109603882,243.69474601745605,10.6,976.408576,2211.581952,58.0,68.0,3.840256441319298,98.39,99.98,0.9838195443153381,[-0.00617764],1.0,32,4,0.00099161,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099161, ""num_workers"": 4}]",0.080001904296875,0.04797133178710938,0.080001904296875,0.04797133178710938
3,0,230.34980368614197,10.306021690368652,240.7681007385254,8.4,456.30976,2210.271232,61.0,61.0,1.794685686043035,98.99,100.0,0.9897541999816895,[0.00727175],1.0,32,4,0.00099101,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099101, ""num_workers"": 4}]",0.06573032633463542,0.0325282470703125,0.06573032633463542,0.0325282470703125
4,0,228.90919637680054,10.266772270202637,239.2781982421875,8.3,4543.510016,2211.79904,60.0,68.0,17.86981805979421,99.02,99.98,0.9901766180992126,[0.02315422],1.0,32,4,0.00099098,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099098, ""num_workers"": 4}]",0.05440946044921875,0.03435310974121094,0.05440946044921875,0.03435310974121094
5,0,229.89596724510193,10.41135573387146,240.452228307724,9.4,4466.92096,2197.89312,59.0,68.0,17.568590046370282,98.9,99.99,0.988779604434967,[0.02131694],1.0,32,4,0.0009911,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009911, ""num_workers"": 4}]",0.0484474365234375,0.03687640686035156,0.0484474365234375,0.03687640686035156
6,0,226.9423222541809,10.51990818977356,237.55840396881104,9.2,5102.431744,2197.962752,61.0,68.0,20.06808097851863,99.4,100.0,0.9939806461334229,[0.01962056],1.0,32,4,0.0009906000000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009906000000000001, ""num_workers"": 4}]",0.04083961181640625,0.02394064483642578,0.04083961181640625,0.02394064483642578
7,0,225.669677734375,9.990260124206543,235.76186275482178,9.7,475.578368,2198.102016,59.0,69.0,1.8704699405099445,99.35,100.0,0.9933806657791138,[-0.01457114],1.0,32,4,0.00099065,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099065, ""num_workers"": 4}]",0.03590172932942708,0.021511920166015625,0.03590172932942708,0.021511920166015625
8,0,223.79849410057068,10.033131122589111,233.936363697052,5.7,5143.6288,2195.103744,54.0,69.0,20.230110751255275,99.44,100.0,0.994273841381073,[-0.01890417],1.0,32,4,0.00099056,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099056, ""num_workers"": 4}]",0.03155861612955729,0.019646078491210937,0.03155861612955729,0.019646078491210937
9,0,227.694176197052,10.165169954299927,237.95381951332092,13.4,2144.263168,2196.549632,66.0,68.0,8.433478202874493,99.42,100.0,0.9942055344581604,[-0.01786169],1.0,32,4,0.00099058,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.00099058, ""num_workers"": 4}]",0.02724432373046875,0.017500865173339843,0.02724432373046875,0.017500865173339843
10,0,227.302490234375,10.351598501205444,237.76610684394836,12.8,456.30976,2196.492288,63.0,62.0,1.794685686043035,99.4,100.0,0.9939850568771362,[-0.00834894],1.0,32,4,0.0009906000000000001,"[{""shard_pct"": 1.0, ""batch_size"": 32, ""lr"": 0.0009906000000000001, ""num_workers"": 4}]",0.02573475341796875,0.01955072479248047,0.02573475341796875,0.01955072479248047
