epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,2,98.2130515575409,3.0307488441467285,101.32360982894897,12.9,200.540672,1814.806528,56.0,65.0,0.788734988942273,10.19,29.01,0.07721329480409622,,0.25,32,4,0.00107981,,4.667679375,4.345571484375,4.655746875,4.388815234375
2,2,97.24998140335083,3.9011199474334717,101.21183395385742,12.8,3453.653504,1938.792448,62.0,65.0,13.58336606295945,18.33,41.8,0.15591111779212952,,0.25,32,5,0.0010716699999999998,,4.1097528125,3.73346875,4.1092125,3.749896484375
3,2,99.0497727394104,3.26918363571167,102.3661437034607,11.9,202.95424,2008.702976,54.0,64.0,0.798227654498871,25.27,52.33,0.22408992052078247,,0.25,32,5,0.00106473,,3.7210003125,3.3229421875,3.7413984375,3.348093359375
4,2,97.94776916503906,2.9490537643432617,100.94331765174866,12.2,169.17504,2007.26528,58.0,64.0,0.6653726247796188,29.38,56.42,0.2781355082988739,,0.25,32,4,0.0010606200000000002,,3.4390734375,3.041366796875,3.439324375,3.054636328125
5,2,99.14931988716125,3.153327703475952,102.42063689231873,12.4,202.953728,2007.261184,56.0,66.0,0.7982256407811035,35.54,63.86,0.33533594012260437,,0.25,32,6,0.00105446,,3.2115021875,2.71924296875,3.2234325,2.7467244140625
6,2,99.0275628566742,3.1777665615081787,102.27849078178406,12.3,202.95424,2076.565504,56.0,66.0,0.798227654498871,39.24,67.03,0.3764175474643707,,0.25,32,5,0.00105076,,3.034523125,2.570505078125,3.0484909375,2.617930859375
7,2,98.8604109287262,3.1056952476501465,102.02934551239014,12.2,202.95424,2075.365376,56.0,66.0,0.798227654498871,41.07,68.21,0.39574486017227173,,0.25,32,5,0.00104893,,2.897770625,2.4674134765625,2.9021346875,2.4936078125
8,2,99.20481395721436,3.065044641494751,102.34569430351257,12.2,202.95424,2075.369472,55.0,65.0,0.798227654498871,43.57,71.08,0.42617735266685486,,0.25,32,5,0.0010464299999999999,,2.7846353125,2.34274296875,2.7852565625,2.3789630859375
9,2,98.55801033973694,3.183128833770752,101.91797137260437,12.7,4183.251968,2077.73696,60.0,66.0,16.452907840675937,45.19,72.84,0.4391164183616638,,0.25,32,7,0.00104481,,2.676556875,2.265413671875,2.6983340625,2.302880859375
10,2,98.94584798812866,2.687117338180542,101.70887756347656,12.9,202.95424,2143.870976,57.0,65.0,0.798227654498871,46.63,73.68,0.45757970213890076,,0.25,32,5,0.0010433699999999998,,2.58146890625,2.2042166015625,2.5717475,2.2244841796875
11,2,98.85569548606873,2.888258218765259,101.86644721031189,11.7,4282.561024,2143.850496,58.0,65.0,16.843494580038353,47.75,74.27,0.47097647190093994,,0.25,32,8,0.0010422500000000002,,2.49708859375,2.135727734375,2.5077584375,2.1790732421875
12,2,99.01818585395813,4.51818585395813,103.66504549980164,11.7,188.443648,2212.081664,56.0,64.0,0.7411568792465281,49.6,76.07,0.48887649178504944,,0.25,32,4,0.0010404,,2.407926875,2.081039453125,2.40936109375,2.1163623046875
13,2,98.7493064403534,3.3268487453460693,102.18004703521729,13.0,202.95424,2211.5328,57.0,65.0,0.798227654498871,51.31,76.76,0.5047850012779236,,0.25,32,5,0.0010386899999999999,,2.34236203125,2.0146552734375,2.32991328125,2.0736005859375
14,2,98.10256481170654,2.651118755340576,100.87160086631775,12.7,3030.958592,2211.59424,61.0,65.0,11.920889003232258,51.84,77.8,0.5162021517753601,,0.25,32,8,0.00103816,,2.28825328125,1.989511328125,2.3046565625,2.023524609375
15,2,99.18098092079163,2.9579620361328125,102.2356469631195,12.4,174.58176,2212.212736,58.0,66.0,0.6866374844057697,52.13,77.88,0.5144129395484924,,0.25,32,4,0.0010378700000000002,,2.2258003125,1.99178515625,2.2283646875,2.016839453125
16,2,98.81809425354004,3.1010921001434326,101.99140977859497,12.5,1564.93312,2211.885056,59.0,66.0,6.154948493932427,53.89,78.7,0.5351161956787109,,0.25,32,7,0.00103611,,2.164339375,1.917953515625,2.15191703125,1.95390234375
17,2,98.37996888160706,2.670177698135376,101.14224338531494,12.6,202.95424,2212.2496,55.0,65.0,0.798227654498871,54.68,79.5,0.5423913598060608,,0.25,32,5,0.00103532,,2.1079890625,1.88348984375,2.10001015625,1.944926953125
18,2,98.89852213859558,3.2537014484405518,102.2110846042633,12.0,202.95424,2212.20864,54.0,64.0,0.798227654498871,54.18,79.18,0.5398419499397278,,0.25,32,7,0.00103582,,2.056264375,1.9081951171875,2.04818390625,1.942055859375
19,2,98.45216178894043,2.945260763168335,101.49099612236023,12.5,202.95424,2212.265984,56.0,64.0,0.798227654498871,56.35,80.08,0.5599121451377869,,0.25,32,5,0.0010336499999999999,,2.0095140625,1.856399609375,2.0029040625,1.91063984375
20,2,98.48581004142761,2.9838151931762695,101.51843428611755,12.8,202.95424,2212.225024,56.0,66.0,0.798227654498871,55.71,79.92,0.5539770126342773,,0.25,32,5,0.00103429,,1.9644009375,1.825415234375,1.9569034375,1.860315625
