ts,event,job_id,cluster,world_size,note,metadata_json
2025-12-02 00:07:02,submitted,job-b5017d5d,-,0,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:07:02,started,job-b5017d5d,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_a""], ""started_ts"": ""2025-12-02T00:07:02.934555""}"
2025-12-02 00:08:03,stopped,job-b5017d5d,clusterA,1,Preempted,{}
2025-12-02 00:08:08,started,job-b5017d5d,clusterA,2,"started_on=clusterA, g=2","{""nodes"": [""node_a"", ""node_b""], ""started_ts"": ""2025-12-02T00:08:08.258393""}"
2025-12-02 00:10:19,submitted,job-df490e70,-,0,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:10:23,started,job-df490e70,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_c""], ""started_ts"": ""2025-12-02T00:10:23.717605""}"
2025-12-02 00:11:24,stopped,job-df490e70,clusterA,1,Preempted,{}
2025-12-02 00:11:29,started,job-df490e70,clusterA,2,"started_on=clusterA, g=2","{""nodes"": [""node_c"", ""node_d""], ""started_ts"": ""2025-12-02T00:11:29.224397""}"
2025-12-02 00:15:20,submitted,job-247a9ae8,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:15:25,started,job-247a9ae8,clusterB,1,"started_on=clusterB, g=1","{""nodes"": [""node_e""], ""started_ts"": ""2025-12-02T00:15:25.320644""}"
2025-12-02 00:16:26,stopped,job-247a9ae8,clusterB,1,Preempted,{}
2025-12-02 00:16:30,started,job-247a9ae8,clusterB,2,"started_on=clusterB, g=2","{""nodes"": [""node_e"", ""node_f""], ""started_ts"": ""2025-12-02T00:16:30.991841""}"
2025-12-02 00:19:09,submitted,job-69283505,-,0,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:19:10,submitted,job-7421c66f,-,0,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 2}"
2025-12-02 00:19:11,started,job-69283505,clusterB,1,"started_on=clusterB, g=1","{""nodes"": [""node_g""], ""started_ts"": ""2025-12-02T00:19:11.846244""}"
2025-12-02 00:20:12,stopped,job-69283505,clusterB,1,Preempted,{}
2025-12-02 00:20:17,started,job-69283505,clusterB,2,"started_on=clusterB, g=2","{""nodes"": [""node_g"", ""node_h""], ""started_ts"": ""2025-12-02T00:20:17.808455""}"
2025-12-02 00:24:53,submitted,job-cc0b5c3f,-,0,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:28:30,submitted,job-b6fb210a,-,0,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:29:56,submitted,job-68e80526,-,0,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:31:29,submitted,job-1109b434,-,0,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:37:43,finished,job-69283505,clusterB,2,Done,"{""exit_code"": 0, ""stderr_tail"": ""2025-12-02 00:35:07,624 DDP_Script [Rank 1] [INFO] local_steps=782, global_steps=782\n2025-12-02 00:35:55,513 DDP_Script [Rank 1] [INFO] epoch 18 train step time: 47.89 seconds\n2025-12-02 00:35:55,537 "", ""final_accuracy"": 65.14}"
2025-12-02 00:37:44,finished_duplicate,job-69283505,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""final_accuracy"": 65.14}"
2025-12-02 00:37:45,finished_duplicate,job-69283505,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""2025-12-02 00:36:49,916 DDP_Script [Rank 0] [INFO] val acc 64.50%\n2025-12-02 00:36:50,029 httpx [INFO] HTTP Request: POST http://163.180.117.216:8000/report_progress \""HTTP/1.1 200 OK\""\n2025-12-02 00:36"", ""final_accuracy"": 65.14}"
2025-12-02 00:37:47,started,job-7421c66f,clusterB,2,"started_on=clusterB, g=2","{""nodes"": [""node_g"", ""node_h""], ""started_ts"": ""2025-12-02T00:37:47.981203""}"
2025-12-02 00:40:58,submitted,job-20f5d452,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:42:31,submitted,job-4b7da9d1,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:43:26,submitted,job-8814a8ee,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 00:54:11,submitted,job-053dc80b,-,0,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 01:00:46,submitted,job-efaf5e98,-,0,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 01:03:43,submitted,job-469287b1,-,0,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 01:04:25,submitted,job-976e3bf6,-,0,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 01:16:42,submitted,job-a79484cb,-,0,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 8, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 01:18:21,submitted,job-37591a42,-,0,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2025-12-02 01:26:33,submitted,job-6f973772,-,0,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
