job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status,final_accuracy
job-69283505,clusterB,ResNet-18,CIFAR-100,2,2025-12-02 00:19:09,2025-12-02 00:20:17,2025-12-02 00:37:43,68.08,1114.06,FINISHED,65.14
job-7421c66f,clusterB,DenseNet-121,TinyImageNet,2,2025-12-02 00:19:10,2025-12-02 00:37:47,2025-12-02 01:33:30,1117.69,4460.61,FINISHED,54.83
job-247a9ae8,clusterB,DistilBERT,SST-2,2,2025-12-02 00:15:20,2025-12-02 00:16:30,2025-12-02 01:43:38,70.01,5297.90,FINISHED,50.91743119266055
job-b6fb210a,clusterB,EfficientNetV2-S,MNIST,2,2025-12-02 00:28:30,2025-12-02 01:43:48,2025-12-02 01:46:36,4518.14,4685.73,FINISHED,98.9
job-cc0b5c3f,clusterB,ResNet-50,CIFAR-10,2,2025-12-02 00:24:53,2025-12-02 01:46:40,2025-12-02 02:12:48,4907.15,6475.15,FINISHED,85.29
job-68e80526,clusterB,EfficientNetV2-S,MNIST,2,2025-12-02 00:29:56,2025-12-02 02:12:54,2025-12-02 02:15:42,6177.89,6345.77,FINISHED,98.28
job-20f5d452,clusterB,DistilBERT,SST-2,2,2025-12-02 00:40:58,2025-12-02 02:15:45,2025-12-02 02:20:28,5686.31,5969.88,FINISHED,50.91743119266055
job-4b7da9d1,clusterB,DistilBERT,SST-2,2,2025-12-02 00:42:31,2025-12-02 02:20:32,2025-12-02 02:25:11,5880.70,6159.47,FINISHED,50.91743119266055
job-8814a8ee,clusterB,DistilBERT,SST-2,2,2025-12-02 00:43:26,2025-12-02 02:25:15,2025-12-02 02:29:55,6108.94,6388.79,FINISHED,50.91743119266055
job-053dc80b,clusterB,EfficientNetV2-S,MNIST,2,2025-12-02 00:54:11,2025-12-02 02:29:58,2025-12-02 02:32:44,5746.20,5912.96,FINISHED,98.12
job-efaf5e98,clusterB,ResNet-18,CIFAR-100,2,2025-12-02 01:00:46,2025-12-02 02:32:49,2025-12-02 02:33:48,5523.40,5582.82,FINISHED,35.45
job-976e3bf6,clusterB,EfficientNetV2-S,MNIST,1,2025-12-02 01:04:25,2025-12-02 02:33:50,2025-12-02 03:46:29,5364.95,9723.61,FINISHED,99.53
job-1109b434,clusterB,DenseNet-121,TinyImageNet,1,2025-12-02 00:31:29,2025-12-02 01:43:43,2025-12-02 03:50:36,4333.90,11947.19,FINISHED,55.05
job-c58d9081,clusterB,ResNet-18,CIFAR-100,1,2025-12-02 01:32:46,2025-12-02 03:50:37,2025-12-02 04:08:34,8270.80,9347.88,FINISHED,65.46
job-469287b1,clusterB,DenseNet-121,TinyImageNet,1,2025-12-02 01:03:43,2025-12-02 02:30:03,2025-12-02 04:39:02,5180.18,12919.32,FINISHED,54.72
job-f2d29d2b,clusterB,DistilBERT,SST-2,1,2025-12-02 02:11:56,2025-12-02 04:39:11,2025-12-02 05:39:41,8835.62,12465.66,FINISHED,50.91743119266055
job-37591a42,clusterB,DenseNet-121,TinyImageNet,1,2025-12-02 01:18:21,2025-12-02 03:46:31,2025-12-02 05:54:53,8890.12,16592.78,FINISHED,55.05
job-1bf5e927,clusterB,ResNet-18,CIFAR-100,1,2025-12-02 02:57:35,2025-12-02 05:55:04,2025-12-02 06:12:05,10649.43,11670.33,FINISHED,65.39
job-1c4f5e6f,clusterB,DistilBERT,SST-2,1,2025-12-02 03:39:18,2025-12-02 06:12:18,2025-12-02 07:12:50,9179.56,12811.59,FINISHED,50.91743119266055
job-b5017d5d,clusterA,ResNet-18,CIFAR-100,2,2025-12-02 00:07:02,2025-12-02 00:08:08,2025-12-02 07:19:47,65.56,25964.47,FINISHED,65.46
job-699d358b,clusterB,EfficientNetV2-S,MNIST,1,2025-12-02 03:45:06,2025-12-02 07:12:54,2025-12-02 08:27:21,12468.13,16935.13,FINISHED,99.31
job-ed1c22c3,clusterB,DenseNet-121,TinyImageNet,1,2025-12-02 03:46:32,2025-12-02 07:13:04,2025-12-02 08:59:22,12392.46,18769.88,FINISHED,55.68
job-19b7f052,clusterB,DistilBERT,SST-2,1,2025-12-02 03:59:35,2025-12-02 08:59:23,2025-12-02 09:32:25,17988.41,19970.83,FINISHED,50.91743119266055
job-46ce865b,clusterB,ResNet-50,CIFAR-10,1,2025-12-02 04:23:07,2025-12-02 09:32:32,2025-12-02 09:32:42,18564.58,18574.76,FAILED,
job-25b8319a,clusterB,DenseNet-121,TinyImageNet,1,2025-12-02 03:32:27,2025-12-02 06:12:13,2025-12-02 09:33:30,9585.40,21662.32,FINISHED,50.22
job-142933c0,clusterB,DistilBERT,SST-2,1,2025-12-02 04:24:58,2025-12-02 09:32:47,2025-12-02 10:08:13,18468.69,20594.28,FINISHED,50.91743119266055
job-41c2284e,clusterB,DistilBERT,SST-2,2,2025-12-02 04:32:16,2025-12-02 10:08:22,2025-12-02 10:14:37,20166.72,20541.02,FINISHED,50.91743119266055
job-6eb6f3cf,clusterB,DistilBERT,SST-2,2,2025-12-02 04:07:06,2025-12-02 10:14:39,2025-12-02 10:20:46,22052.99,22419.55,FINISHED,50.91743119266055
job-90a685ce,clusterB,DeepSpeech2,ARCTIC,2,2025-12-02 03:59:42,2025-12-02 10:20:51,2025-12-02 10:21:54,22869.45,22932.94,FINISHED,0.0
job-180f899a,clusterB,DeepSpeech2,ARCTIC,2,2025-12-02 03:59:30,2025-12-02 10:21:57,2025-12-02 10:23:00,22947.09,23010.23,FINISHED,1.0304166559587435
job-c0241cdc,clusterB,DeepSpeech2,ARCTIC,2,2025-12-02 03:44:21,2025-12-02 10:23:02,2025-12-02 10:23:19,23921.33,23937.92,FINISHED,2.544523540296051
job-95c318c9,clusterB,DistilBERT,SST-2,2,2025-12-02 03:23:23,2025-12-02 10:23:23,2025-12-02 10:29:38,25199.20,25574.66,FINISHED,50.91743119266055
job-4eb54ccd,clusterB,DeepSpeech2,ARCTIC,2,2025-12-02 03:05:45,2025-12-02 10:29:39,2025-12-02 10:29:57,26634.74,26652.68,FINISHED,2.1829437791255457
job-1e9ca5e0,clusterB,DeepSpeech2,ARCTIC,2,2025-12-02 02:57:27,2025-12-02 10:30:00,2025-12-02 10:31:07,27153.07,27220.75,FINISHED,7.291746976082781
job-74e07cef,clusterB,DenseNet-121,TinyImageNet,1,2025-12-02 03:45:59,2025-12-02 07:12:59,2025-12-02 10:32:30,12419.63,24390.74,FINISHED,53.41
job-b9039269,clusterB,DistilBERT,SST-2,2,2025-12-02 02:34:17,2025-12-02 10:31:10,2025-12-02 10:37:30,28613.35,28993.17,FINISHED,50.91743119266055
job-cf78c8fb,clusterB,DeepSpeech2,ARCTIC,2,2025-12-02 02:18:20,2025-12-02 10:37:32,2025-12-02 10:37:50,29952.37,29970.34,FINISHED,4.17962994491845
job-c3203645,clusterB,DeepSpeech2,ARCTIC,2,2025-12-02 02:28:17,2025-12-02 10:37:53,2025-12-02 10:38:09,29375.76,29392.18,FINISHED,4.521058735094574
job-49c99f00,clusterB,DenseNet-121,TinyImageNet,1,2025-12-02 04:31:30,2025-12-02 09:33:33,2025-12-02 11:20:37,18122.88,24547.19,FINISHED,53.78
job-a67695b6,clusterB,DeepSpeech2,ARCTIC,2,2025-12-02 02:09:02,2025-12-02 11:20:40,2025-12-02 11:20:58,33098.16,33116.27,FINISHED,0.0
