ts,event,job_id,queue_len_after,note
2025-12-02 00:07:02,enqueue,job-b5017d5d,1,"g_target=1, batch=128"
2025-12-02 00:07:02,dequeue_start,job-b5017d5d,0,"g=1, cluster=clusterA"
2025-12-02 00:08:08,dequeue_start,job-b5017d5d,0,"g=2, cluster=clusterA"
2025-12-02 00:10:19,enqueue,job-df490e70,1,"g_target=1, batch=128"
2025-12-02 00:10:23,dequeue_start,job-df490e70,0,"g=1, cluster=clusterA"
2025-12-02 00:11:29,dequeue_start,job-df490e70,0,"g=2, cluster=clusterA"
2025-12-02 00:15:20,enqueue,job-247a9ae8,1,"g_target=1, batch=64"
2025-12-02 00:15:25,dequeue_start,job-247a9ae8,0,"g=1, cluster=clusterB"
2025-12-02 00:16:30,dequeue_start,job-247a9ae8,0,"g=2, cluster=clusterB"
2025-12-02 00:19:09,enqueue,job-69283505,1,"g_target=1, batch=32"
2025-12-02 00:19:10,enqueue,job-7421c66f,2,"g_target=2, batch=64"
2025-12-02 00:19:11,dequeue_start,job-69283505,1,"g=1, cluster=clusterB"
2025-12-02 00:20:17,dequeue_start,job-69283505,1,"g=2, cluster=clusterB"
2025-12-02 00:24:53,enqueue,job-cc0b5c3f,2,"g_target=1, batch=32"
2025-12-02 00:28:30,enqueue,job-b6fb210a,3,"g_target=1, batch=64"
2025-12-02 00:29:56,enqueue,job-68e80526,4,"g_target=1, batch=64"
2025-12-02 00:31:29,enqueue,job-1109b434,5,"g_target=1, batch=32"
2025-12-02 00:37:47,dequeue_start,job-7421c66f,4,"g=2, cluster=clusterB"
2025-12-02 00:40:58,enqueue,job-20f5d452,5,"g_target=1, batch=16"
2025-12-02 00:42:31,enqueue,job-4b7da9d1,6,"g_target=1, batch=16"
2025-12-02 00:43:26,enqueue,job-8814a8ee,7,"g_target=1, batch=16"
2025-12-02 00:54:11,enqueue,job-053dc80b,8,"g_target=1, batch=64"
2025-12-02 01:00:46,enqueue,job-efaf5e98,9,"g_target=1, batch=32"
2025-12-02 01:03:43,enqueue,job-469287b1,10,"g_target=1, batch=32"
2025-12-02 01:04:25,enqueue,job-976e3bf6,11,"g_target=1, batch=64"
2025-12-02 01:16:42,enqueue,job-a79484cb,12,"g_target=1, batch=8"
2025-12-02 01:18:21,enqueue,job-37591a42,13,"g_target=1, batch=32"
2025-12-02 01:26:33,enqueue,job-6f973772,14,"g_target=1, batch=64"
2025-12-02 01:32:46,enqueue,job-c58d9081,15,"g_target=1, batch=64"
2025-12-02 01:33:34,dequeue_start,job-cc0b5c3f,13,"g=1, cluster=clusterB"
2025-12-02 01:33:34,dequeue_start,job-b6fb210a,13,"g=1, cluster=clusterB"
2025-12-02 01:43:43,dequeue_start,job-1109b434,11,"g=1, cluster=clusterB"
2025-12-02 01:43:43,dequeue_start,job-68e80526,11,"g=1, cluster=clusterB"
2025-12-02 01:43:48,dequeue_start,job-b6fb210a,12,"g=2, cluster=clusterB"
2025-12-02 01:46:40,dequeue_start,job-cc0b5c3f,11,"g=2, cluster=clusterB"
2025-12-02 01:46:46,dequeue_start,job-20f5d452,11,"g=1, cluster=clusterB"
2025-12-02 01:54:24,enqueue,job-8d2d281f,12,"g_target=1, batch=64"
2025-12-02 01:55:13,enqueue,job-3210f238,13,"g_target=1, batch=8"
2025-12-02 02:07:50,enqueue,job-dcf19aa2,14,"g_target=1, batch=32"
2025-12-02 02:09:02,enqueue,job-a67695b6,15,"g_target=1, batch=8"
2025-12-02 02:11:56,enqueue,job-f2d29d2b,16,"g_target=1, batch=32"
2025-12-02 02:12:54,dequeue_start,job-68e80526,15,"g=2, cluster=clusterB"
2025-12-02 02:12:59,dequeue_start,job-4b7da9d1,15,"g=1, cluster=clusterB"
2025-12-02 02:15:45,dequeue_start,job-20f5d452,14,"g=2, cluster=clusterB"
2025-12-02 02:15:50,dequeue_start,job-8814a8ee,14,"g=1, cluster=clusterB"
2025-12-02 02:16:48,enqueue,job-42a65ac2,15,"g_target=1, batch=16"
2025-12-02 02:18:20,enqueue,job-cf78c8fb,16,"g_target=1, batch=16"
2025-12-02 02:20:32,dequeue_start,job-4b7da9d1,15,"g=2, cluster=clusterB"
2025-12-02 02:20:37,dequeue_start,job-053dc80b,15,"g=1, cluster=clusterB"
2025-12-02 02:25:15,dequeue_start,job-8814a8ee,14,"g=2, cluster=clusterB"
2025-12-02 02:25:20,dequeue_start,job-efaf5e98,14,"g=1, cluster=clusterB"
2025-12-02 02:28:17,enqueue,job-c3203645,15,"g_target=1, batch=32"
2025-12-02 02:29:19,enqueue,job-211e8e91,16,"g_target=1, batch=64"
2025-12-02 02:29:58,dequeue_start,job-053dc80b,15,"g=2, cluster=clusterB"
2025-12-02 02:30:03,dequeue_start,job-469287b1,15,"g=1, cluster=clusterB"
2025-12-02 02:32:49,dequeue_start,job-efaf5e98,14,"g=2, cluster=clusterB"
2025-12-02 02:33:50,dequeue_start,job-976e3bf6,12,"g=1, cluster=clusterB"
2025-12-02 02:33:50,dequeue_start,job-a79484cb,12,"g=1, cluster=clusterB"
2025-12-02 02:34:17,enqueue,job-b9039269,13,"g_target=1, batch=64"
