epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,43.6652307510376,5.236315965652466,49.06669521331787,32.2,401.930752,2785.427456,73.0,57.0,1.5808107356610406,12.79,37.34,0.09460702538490295,,1.0,128,4,0.001,,4.01470625,3.71493203125,4.01470625,3.71493203125
2,0,43.336750745773315,5.1683268547058105,48.58094573020935,32.1,411.570176,2944.741376,72.0,65.0,1.6187230000721717,18.97,45.26,0.1623675376176834,,1.0,128,4,0.001,,3.684826875,3.408709765625,3.684826875,3.408709765625
3,0,43.48858451843262,5.196795225143433,48.76235485076904,32.1,411.373568,2925.99808,71.0,67.0,1.6179497324494025,24.34,55.42,0.218639075756073,,1.0,128,4,0.001,,3.3683846875,3.0113712890625,3.3683846875,3.0113712890625
4,0,43.687190771102905,5.129378080368042,48.89108443260193,32.2,411.373568,2926.747648,71.0,68.0,1.6179497324494025,32.12,62.72,0.29844847321510315,,1.0,128,4,0.001,,3.053536875,2.6865591796875,3.053536875,2.6865591796875
5,0,43.77143669128418,5.176659822463989,49.023430585861206,31.9,411.373568,2926.911488,71.0,68.0,1.6179497324494025,36.33,68.53,0.343164324760437,,1.0,128,4,0.001,,2.793568125,2.429553515625,2.793568125,2.429553515625
6,0,43.78991484642029,5.18584418296814,49.05990767478943,32.4,364.151296,2927.136768,75.0,68.0,1.4322225290233117,42.29,73.85,0.40717172622680664,,1.0,128,4,0.001,,2.57706625,2.1859451171875,2.57706625,2.1859451171875
7,0,43.72159695625305,5.1407763957977295,48.9380087852478,32.0,411.373568,2927.140864,75.0,68.0,1.6179497324494025,46.49,77.7,0.4618241488933563,,1.0,128,4,0.001,,2.41073859375,1.991031640625,2.41073859375,1.991031640625
8,0,43.6530020236969,5.216916799545288,48.94610643386841,32.1,2831.449088,2928.0256,73.0,68.0,11.136209641873988,49.18,79.85,0.48191389441490173,,1.0,128,4,0.001,,2.2705934375,1.8760013671875,2.2705934375,1.8760013671875
9,0,43.78785753250122,5.172039985656738,49.042219161987305,32.4,411.373568,2908.811264,72.0,67.0,1.6179497324494025,49.81,80.62,0.4938713312149048,,1.0,128,4,0.001,,2.13974171875,1.836614453125,2.13974171875,1.836614453125
10,0,43.57336640357971,5.146165370941162,48.79580330848694,32.0,411.373568,2918.187008,72.0,68.0,1.6179497324494025,55.06,83.82,0.5517392754554749,,1.0,128,4,0.001,,2.02894828125,1.622510546875,2.02894828125,1.622510546875
11,0,43.67108631134033,5.151933193206787,48.898760080337524,32.0,411.373568,2918.813696,75.0,68.0,1.6179497324494025,56.12,84.25,0.5539398789405823,,1.0,128,4,0.001,,1.936526875,1.59026943359375,1.936526875,1.59026943359375
12,0,43.784372091293335,5.188146591186523,49.053812980651855,32.2,411.373568,2909.323264,76.0,68.0,1.6179497324494025,57.29,84.8,0.5720273852348328,,1.0,128,4,0.001,,1.8521709375,1.5579212890625,1.8521709375,1.5579212890625
13,0,43.75191593170166,5.1550962924957275,48.98233413696289,32.0,411.373568,2918.633472,72.0,68.0,1.6179497324494025,59.58,86.45,0.591949999332428,,1.0,128,4,0.001,,1.774508125,1.465546875,1.774508125,1.465546875
14,0,43.75011897087097,5.139172077178955,48.96456742286682,32.0,411.373568,2918.641664,71.0,68.0,1.6179497324494025,60.51,87.21,0.6010789275169373,,1.0,128,4,0.001,,1.7108403125,1.4204267578125,1.7108403125,1.4204267578125
15,0,43.89277482032776,5.157337427139282,49.12610125541687,32.2,411.373568,2918.649856,71.0,67.0,1.6179497324494025,60.87,87.13,0.6119588017463684,,1.0,128,4,0.001,,1.64840828125,1.401623828125,1.64840828125,1.401623828125
16,0,43.44975018501282,5.157394647598267,48.68824338912964,32.0,411.373568,2909.241344,72.0,68.0,1.6179497324494025,62.03,87.7,0.6147838830947876,,1.0,128,4,0.001,,1.59005921875,1.36031328125,1.59005921875,1.36031328125
17,0,43.912951946258545,5.233760833740234,49.223676919937134,32.0,411.373568,2918.600704,72.0,68.0,1.6179497324494025,63.43,88.68,0.6360576748847961,,1.0,128,4,0.001,,1.54265484375,1.3113982421875,1.54265484375,1.3113982421875
18,0,43.820032596588135,5.203458547592163,49.09964656829834,31.7,411.373568,2918.600704,71.0,68.0,1.6179497324494025,64.62,89.05,0.6456657648086548,,1.0,128,4,0.001,,1.48776421875,1.28388037109375,1.48776421875,1.28388037109375
19,0,43.684274435043335,5.153260707855225,48.91326856613159,32.0,411.373568,2944.487424,71.0,68.0,1.6179497324494025,64.61,89.0,0.6481795310974121,,1.0,128,4,0.001,,1.44362296875,1.28404462890625,1.44362296875,1.28404462890625
20,0,43.74013590812683,5.136793613433838,48.962939739227295,32.1,364.151296,2933.67808,70.0,68.0,1.4322225290233117,65.7,89.92,0.6542126536369324,,1.0,128,4,0.001,,1.4082359375,1.232362109375,1.4082359375,1.232362109375
