epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,108.0062313079834,5.632113933563232,113.7956953048706,34.2,502.703104,2362.298368,76.0,65.0,1.9771526804033366,98.17,99.98,0.9817118644714355,,0.5,64,4,0.001,,0.4492921223958333,0.05940103759765625,0.4505480143229167,0.059752252197265626
2,0,108.02829384803772,5.524795055389404,113.65873050689697,33.2,9443.78112,2481.840128,72.0,67.0,37.14279264635378,99.06,100.0,0.9904670119285583,,0.5,64,4,0.001,,0.06914075520833333,0.03354892578125,0.07081796875,0.02703836364746094
3,0,107.66665554046631,5.531275749206543,113.281010389328,34.6,507.524608,2481.926144,75.0,66.0,1.9961158606210887,99.2,100.0,0.9919049739837646,,0.5,64,4,0.001,,0.04702884114583333,0.028730453491210936,0.04569744873046875,0.03173180541992188
4,0,107.70511794090271,5.535269260406494,114.32490420341492,33.5,463.870976,2486.259712,73.0,62.0,1.8244242700353641,99.01,99.99,0.9900506138801575,,0.5,64,4,0.001,,0.0462175048828125,0.0326348876953125,0.050529256184895836,0.034091580200195315
5,0,107.66243720054626,5.493644952774048,113.24411273002625,34.7,507.52512,2485.813248,75.0,65.0,1.9961178743388561,98.99,100.0,0.98979651927948,,0.5,64,4,0.001,,0.03621767578125,0.030842364501953125,0.03523936767578125,0.031571340942382814
6,0,107.92136526107788,5.525430202484131,113.53534626960754,34.6,4570.83904,2483.748864,76.0,66.0,17.977304273076882,99.29,100.0,0.9928444027900696,,0.5,64,4,0.001,,0.03238406982421875,0.024675205993652343,0.0297933837890625,0.02348370361328125
7,0,107.83575916290283,5.485884428024292,113.40486741065979,34.5,507.52512,2486.247424,76.0,66.0,1.9961178743388561,99.15,99.98,0.9913250803947449,,0.5,64,4,0.001,,0.02974888916015625,0.029077520751953124,0.02948901774088542,0.03249420166015625
8,0,107.92777299880981,5.483407974243164,113.53474044799805,34.5,507.52512,2486.816768,75.0,67.0,1.9961178743388561,99.37,100.0,0.9936723113059998,,0.5,64,4,0.001,,0.029052437337239584,0.020965771484375,0.02727319539388021,0.021973167419433594
9,0,107.63554501533508,5.470134496688843,113.20366501808167,34.6,507.524608,2486.55872,76.0,66.0,1.9961158606210887,99.43,100.0,0.9942485690116882,,0.5,64,4,0.001,,0.026671506754557293,0.02052348937988281,0.027392022705078126,0.01871320343017578
10,0,107.74398565292358,5.504771709442139,113.33327007293701,34.2,9845.893632,2486.82496,77.0,67.0,38.72431825182233,99.38,99.99,0.9937573671340942,,0.5,64,4,0.001,,0.025319014485677083,0.02098921813964844,0.025195296223958333,0.02123485870361328
11,0,107.87070560455322,5.49436092376709,113.65760016441345,34.4,454.194176,2484.30592,75.0,66.0,1.7863650042271966,99.26,100.0,0.9926242232322693,,0.5,64,4,0.001,,0.023476953125,0.0230631591796875,0.024091359456380208,0.023755714416503905
12,0,107.6877830028534,5.539141654968262,113.32406616210938,34.5,507.52512,2484.436992,75.0,65.0,1.9961178743388561,99.2,100.0,0.9919373989105225,,0.5,64,4,0.001,,0.02259447224934896,0.02703912048339844,0.0226465087890625,0.030612448120117187
13,0,108.25085783004761,5.509789943695068,113.84947347640991,34.3,9906.3296,2483.884032,75.0,67.0,38.96201548339537,99.5,100.0,0.994924008846283,,0.5,64,4,0.001,,0.026127882893880208,0.01601184844970703,0.024919303385416668,0.014783193969726563
14,0,107.53643751144409,5.527056932449341,113.15125679969788,34.7,507.52512,2483.888128,74.0,65.0,1.9961178743388561,99.45,100.0,0.9944918155670166,,0.5,64,4,0.001,,0.02066341552734375,0.02022596435546875,0.020038346354166667,0.023573658752441405
15,0,107.92341351509094,5.526713848114014,113.54016637802124,34.3,507.52512,2483.597312,75.0,67.0,1.9961178743388561,99.46,100.0,0.9945679903030396,,0.5,64,4,0.001,,0.022938667805989583,0.018697328186035155,0.021831486002604168,0.019314610290527345
16,0,107.84646964073181,5.479342460632324,113.44206953048706,34.2,964.80512,2485.465088,76.0,65.0,3.794619555551546,99.45,100.0,0.9944913983345032,,0.5,64,4,0.001,,0.017369927978515626,0.018534442138671874,0.018036317952473957,0.018674478149414062
17,0,107.85232543945312,5.495858669281006,113.43196439743042,34.6,507.52512,2484.248576,76.0,66.0,1.9961178743388561,99.38,99.99,0.9937947988510132,,0.5,64,4,0.001,,0.01792559814453125,0.017725009155273436,0.017006636555989583,0.019921238708496092
18,0,107.1572732925415,5.506803512573242,113.78585624694824,31.6,9445.472256,2485.497856,74.0,67.0,37.14944395614026,99.44,100.0,0.9943820238113403,,0.5,64,4,0.001,,0.017817647298177083,0.01983330078125,0.019193827311197918,0.022603945922851563
19,0,106.42371726036072,5.478993892669678,112.05246686935425,31.5,507.52512,2484.08064,72.0,66.0,1.9961178743388561,99.13,99.99,0.9913375973701477,,0.5,64,4,0.001,,0.014033831787109374,0.030466207885742187,0.012866197713216145,0.03312325439453125
20,0,106.56447458267212,5.451730012893677,112.12395310401917,31.6,9130.717184,2486.095872,72.0,67.0,35.91149887618439,99.4,99.99,0.9938820600509644,,0.5,64,4,0.001,,0.014495360310872396,0.02062730255126953,0.013604932657877605,0.027350885009765624
