epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,111.21445655822754,3.0020370483398438,115.85893201828003,33.2,240.018944,2050.433024,74.0,61.0,0.9440047111329918,10.03,27.75,0.07472707331180573,,0.25,64,4,0.001,,4.6374640625,4.306077734375,4.6400075,4.26634609375
2,1,109.81034898757935,2.8054277896881104,113.65226721763611,33.1,961.71776,2416.31232,75.0,65.0,3.78247683741275,18.46,42.6,0.15730997920036316,,0.25,64,4,0.001,,4.06372375,3.6632046875,4.0739115625,3.62373828125
3,1,108.07140731811523,2.7320988178253174,111.79027223587036,32.6,242.432512,2416.508928,75.0,64.0,0.9534973766895898,23.71,49.29,0.2195095270872116,,0.25,64,4,0.001,,3.695645625,3.35015625,3.68827,3.333669140625
4,1,111.0109634399414,2.9039764404296875,114.80443572998047,33.1,242.432512,2418.241536,75.0,63.0,0.9534973766895898,30.18,57.59,0.2822287976741791,,0.25,64,4,0.001,,3.41474375,2.978873828125,3.41220125,2.9550119140625
5,1,109.64519047737122,4.488126516342163,115.01589488983154,32.7,242.432512,2417.831936,77.0,64.0,0.9534973766895898,32.65,60.29,0.3057886064052582,,0.25,64,4,0.001,,3.1996225,2.915628515625,3.1792071875,2.87905625
6,1,109.62103462219238,2.7938592433929443,113.33184361457825,33.3,242.432512,2419.286016,73.0,63.0,0.9534973766895898,37.12,64.8,0.3526696562767029,,0.25,64,4,0.001,,3.02732375,2.6747173828125,3.021665,2.6411095703125
7,1,112.31310057640076,2.9433374404907227,116.66747117042542,32.5,242.432512,2418.106368,77.0,63.0,0.9534973766895898,39.77,67.22,0.3887890875339508,,0.25,64,4,0.001,,2.8776553125,2.5186419921875,2.873465,2.4593578125
8,1,108.68951749801636,2.7766337394714355,112.48929858207703,33.4,242.432512,2419.572736,76.0,64.0,0.9534973766895898,40.55,69.02,0.39657482504844666,,0.25,64,4,0.001,,2.757478125,2.46539609375,2.7568703125,2.45113515625
9,1,108.86305689811707,2.881495952606201,112.8111891746521,33.2,8540.375552,2418.3808,75.0,65.0,33.58966013921395,43.34,70.51,0.42676055431365967,,0.25,64,4,0.001,,2.6574225,2.373773046875,2.6578590625,2.365061328125
10,1,108.72778248786926,2.7720224857330322,112.29874920845032,33.3,4227.682304,2419.605504,72.0,65.0,16.627654241115156,46.34,73.29,0.45492109656333923,,0.25,64,4,0.001,,2.56487625,2.24699921875,2.5670434375,2.2380251953125
11,1,109.79645013809204,2.7728166580200195,113.64334988594055,32.8,242.432512,2418.671616,73.0,64.0,0.9534973766895898,47.19,73.95,0.46679821610450745,,0.25,64,4,0.001,,2.4809284375,2.181358203125,2.47823484375,2.1814251953125
12,1,109.44769263267517,2.8809194564819336,113.3397946357727,32.9,242.432512,2419.720192,76.0,64.0,0.9534973766895898,47.38,73.26,0.4660552740097046,,0.25,64,4,0.001,,2.3993828125,2.1991529296875,2.3963165625,2.1650900390625
13,1,111.24270391464233,2.8554575443267822,115.24762344360352,33.2,8149.17376,2418.937856,76.0,65.0,32.05104685937355,48.07,74.57,0.47864434123039246,,0.25,64,4,0.001,,2.33042265625,2.15961328125,2.334194375,2.155937109375
14,1,109.32592725753784,2.86029314994812,113.15000629425049,33.7,7709.746688,2419.642368,72.0,66.0,30.32276150300028,49.7,75.75,0.49272891879081726,,0.25,64,4,0.001,,2.2602228125,2.0767681640625,2.27453,2.071853515625
15,1,109.16651034355164,2.7366843223571777,112.88949346542358,32.3,228.466688,2419.224576,75.0,63.0,0.898569197142003,49.79,75.07,0.49316248297691345,,0.25,64,4,0.001,,2.203744375,2.1186513671875,2.18748171875,2.08281796875
16,1,112.60970258712769,2.8982598781585693,116.60752749443054,32.8,214.043648,2419.748864,73.0,64.0,0.8418427676279242,52.57,78.07,0.5218680500984192,,0.25,64,4,0.001,,2.1511215625,1.957050390625,2.14640203125,1.9413015625
17,1,109.77193784713745,2.825505495071411,113.74421763420105,32.4,189.930496,2419.429376,73.0,65.0,0.7470047156437196,53.24,78.36,0.5278170704841614,,0.25,64,4,0.001,,2.0858534375,1.9235419921875,2.0791196875,1.9005642578125
18,1,109.47583794593811,2.8815383911132812,113.45989203453064,32.5,2198.595584,2419.654656,77.0,65.0,8.647169904939634,53.17,78.27,0.5267328023910522,,0.25,64,4,0.001,,2.0399475,1.964756640625,2.041858125,1.9546126953125
19,1,110.78197121620178,2.921269178390503,114.79423308372498,33.0,242.432512,2419.75296,72.0,64.0,0.9534973766895898,53.15,78.29,0.5300995111465454,,0.25,64,4,0.001,,1.9877978125,1.968215625,1.97160703125,1.936563671875
20,1,110.56516981124878,2.802258014678955,114.12561869621277,32.1,5332.035584,2419.75296,74.0,65.0,20.971122642822532,53.73,79.04,0.538002610206604,,0.25,64,4,0.001,,1.951876875,1.9353267578125,1.939823125,1.9479796875
1,1,109.0443274974823,3.125760078430176,113.26240062713623,33.6,650.434048,2080.108544,73.0,63.0,2.558184763921395,9.14,27.63,0.06886855512857437,,0.25,64,4,0.001,,4.6211665625,4.334841015625,4.6182228125,4.29882109375
2,1,108.71676850318909,2.755988836288452,112.63531565666199,33.1,241.842688,2411.2128,73.0,63.0,0.9511775738212824,18.77,42.34,0.16532038152217865,,0.25,64,4,0.001,,4.0342453125,3.6646640625,4.0551634375,3.623171484375
3,1,107.21661758422852,2.7778074741363525,110.94094157218933,32.9,241.842688,2413.064192,72.0,63.0,0.9511775738212824,24.85,51.89,0.22643500566482544,,0.25,64,4,0.001,,3.6656615625,3.2710716796875,3.658839375,3.2252830078125
4,1,110.45072889328003,2.7591822147369385,114.29018211364746,33.4,241.842688,2414.821376,74.0,64.0,0.9511775738212824,30.22,56.71,0.2846734821796417,,0.25,64,4,0.001,,3.385775,3.0196703125,3.382893125,3.00254453125
5,1,108.52094721794128,2.897522211074829,112.43004155158997,33.0,241.842688,2413.715456,71.0,63.0,0.9511775738212824,32.28,60.61,0.3055030107498169,,0.25,64,4,0.001,,3.1724125,2.8887875,3.153555,2.8577490234375
6,1,108.57835292816162,2.8991878032684326,112.31168103218079,33.3,241.842688,2415.169536,72.0,63.0,0.9511775738212824,36.3,63.66,0.3462620675563812,,0.25,64,4,0.001,,3.0151796875,2.700985546875,3.0128234375,2.717432421875
7,1,108.38755655288696,2.818469762802124,112.49315524101257,32.9,8200.390144,2414.747648,73.0,65.0,32.25248307510491,40.02,67.55,0.39002424478530884,,0.25,64,4,0.001,,2.881023125,2.51814453125,2.8707146875,2.484244140625
8,1,107.18182373046875,2.8020060062408447,111.22897863388062,33.2,241.842688,2416.218112,76.0,65.0,0.9511775738212824,41.73,69.06,0.41018933057785034,,0.25,64,4,0.001,,2.750105625,2.437000390625,2.7554990625,2.392934375
9,1,109.98255586624146,2.9580702781677246,113.98094964027405,33.2,241.842688,2415.04256,73.0,64.0,0.9511775738212824,41.94,69.55,0.4118647277355194,,0.25,64,4,0.001,,2.64896375,2.437106640625,2.65167125,2.436538671875
10,1,109.04157447814941,2.8988077640533447,112.91059923171997,32.7,241.842688,2416.254976,77.0,63.0,0.9511775738212824,44.59,71.78,0.43659573793411255,,0.25,64,4,0.001,,2.5598353125,2.3134466796875,2.563824375,2.303794921875
11,1,108.16547703742981,2.9134228229522705,111.92024064064026,33.2,1483.3024,2415.3088,74.0,64.0,5.833891401650669,46.66,72.98,0.457324743270874,,0.25,64,4,0.001,,2.47014796875,2.22511796875,2.468598125,2.190846484375
12,1,107.37052059173584,2.7891170978546143,111.1934723854065,32.9,8233.26464,2416.300032,73.0,65.0,32.381779865528756,46.71,73.64,0.4591163992881775,,0.25,64,4,0.001,,2.39617015625,2.24423203125,2.3830475,2.2543115234375
