epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,128.400399684906,12.170706510543823,141.028879404068,31.5,577.546752,2400.350208,76.0,64.0,2.2715159299574186,38.83,89.64,0.36483606696128845,,1.0,64,4,0.001,,1.93838625,1.6235154296875,1.93838625,1.6235154296875
2,0,126.11644792556763,11.670384645462036,137.9778814315796,31.6,518.173696,2587.676672,75.0,58.0,2.037999176469982,48.2,92.36,0.47140195965766907,,1.0,64,4,0.001,,1.69402625,1.4383783203125,1.69402625,1.4383783203125
3,0,126.89364862442017,11.618237257003784,138.7298505306244,31.6,587.055104,2554.220544,72.0,64.0,2.308912682620037,57.01,95.06,0.5689674019813538,,1.0,64,4,0.001,,1.48359390625,1.207202734375,1.48359390625,1.207202734375
4,0,126.83452033996582,11.39561915397644,138.4757399559021,31.7,587.44832,2558.79168,76.0,64.0,2.310459217865575,56.74,95.32,0.547249436378479,,1.0,64,4,0.001,,1.3241878125,1.209855859375,1.3241878125,1.209855859375
5,0,127.88846135139465,11.227463483810425,139.34224915504456,31.6,5965.138432,2536.845312,73.0,64.0,23.46114306030972,65.67,97.35,0.6538131237030029,,1.0,64,4,0.001,,1.215869453125,0.95087119140625,1.215869453125,0.95087119140625
6,0,126.99419164657593,11.568254232406616,138.79603934288025,30.8,5954.5216,2554.384384,75.0,65.0,23.41938660868019,71.27,97.82,0.7076357007026672,,1.0,64,4,0.001,,1.123698359375,0.82968798828125,1.123698359375,0.82968798828125
7,0,127.18388032913208,11.549263715744019,138.97009205818176,31.7,3734.252544,2554.597376,75.0,64.0,14.686974016919097,73.48,98.2,0.7267206311225891,,1.0,64,4,0.001,,1.04870234375,0.76408515625,1.04870234375,0.76408515625
8,0,127.53293371200562,11.637561559677124,139.37029433250427,31.6,587.44832,2554.806272,72.0,64.0,2.310459217865575,76.91,98.63,0.7693066596984863,,1.0,64,4,0.001,,0.99398953125,0.660063232421875,0.99398953125,0.660063232421875
9,0,127.64813876152039,11.421497344970703,139.3231794834137,30.9,587.44832,2554.830848,72.0,64.0,2.310459217865575,77.67,98.82,0.7756428122520447,,1.0,64,4,0.001,,0.93676875,0.651174072265625,0.93676875,0.651174072265625
10,0,127.10160517692566,11.746054887771606,139.0425751209259,31.7,1862.321152,2537.332736,74.0,62.0,7.324588267210361,80.77,98.78,0.8035552501678467,,1.0,64,4,0.001,,0.8940234375,0.567290869140625,0.8940234375,0.567290869140625
11,0,126.65916109085083,11.331200361251831,138.18686032295227,31.7,5039.213568,2556.444672,75.0,64.0,19.819441204596306,81.25,99.24,0.8106384873390198,,1.0,64,4,0.001,,0.853119921875,0.54632490234375,0.853119921875,0.54632490234375
12,0,127.07865691184998,11.847151279449463,139.15687203407288,31.5,488.823808,2556.68224,76.0,64.0,1.9225648191584788,82.34,99.07,0.8220004439353943,,1.0,64,4,0.001,,0.825621875,0.52137412109375,0.825621875,0.52137412109375
13,0,127.14167428016663,11.32002878189087,138.66000986099243,31.5,4219.61216,2556.686336,73.0,64.0,16.5959140216618,79.78,99.22,0.7946093678474426,,1.0,64,4,0.001,,0.80530421875,0.600542724609375,0.80530421875,0.600542724609375
14,0,126.89164137840271,11.399959325790405,138.54828882217407,31.7,587.44832,2556.686336,73.0,65.0,2.310459217865575,83.29,99.28,0.8318747878074646,,1.0,64,4,0.001,,0.769972578125,0.48154609375,0.769972578125,0.48154609375
15,0,126.91313695907593,11.357191801071167,138.5121555328369,31.6,587.44832,2537.672704,73.0,64.0,2.310459217865575,83.06,99.29,0.8298523426055908,,1.0,64,4,0.001,,0.74546421875,0.49098203125,0.74546421875,0.49098203125
16,0,126.91976881027222,11.430078744888306,138.5849015712738,31.6,587.44832,2538.00448,78.0,65.0,2.310459217865575,85.02,99.42,0.8495798707008362,,1.0,64,4,0.001,,0.7371390625,0.43619619140625,0.7371390625,0.43619619140625
17,0,126.86219716072083,11.783510446548462,138.89234685897827,31.6,518.604288,2547.552256,76.0,64.0,2.039692713112557,84.8,99.47,0.8460111618041992,,1.0,64,4,0.001,,0.70908,0.431513623046875,0.70908,0.431513623046875
18,0,127.7011468410492,11.751013040542603,139.69212245941162,31.5,5942.554112,2555.813888,74.0,64.0,23.372317969579655,86.19,99.54,0.8611711263656616,,1.0,64,4,0.001,,0.689880859375,0.394057763671875,0.689880859375,0.394057763671875
19,0,127.54876613616943,11.236270904541016,138.98196387290955,31.7,587.44832,2557.169664,74.0,64.0,2.310459217865575,86.33,99.44,0.8619702458381653,,1.0,64,4,0.001,,0.667834375,0.414575830078125,0.667834375,0.414575830078125
20,0,127.11704993247986,11.643378496170044,138.98425483703613,31.5,587.44832,2540.27776,74.0,64.0,2.310459217865575,86.45,99.51,0.8636244535446167,,1.0,64,4,0.001,,0.65593078125,0.399312939453125,0.65593078125,0.399312939453125
