epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,3,108.6690981388092,4.079642295837402,112.8158860206604,33.0,211.295232,2154.10688,76.0,57.0,0.8310331306512976,11.7,31.07,0.08349616080522537,,0.25,64,4,0.001,,4.62938375,4.1408859375,4.633540625,4.152805859375
2,3,107.63047075271606,3.782630681991577,111.54000782966614,33.4,3561.645568,2418.19648,74.0,58.0,14.008103441943067,18.71,43.78,0.16277861595153809,,0.25,64,4,0.001,,4.04839125,3.618775390625,4.0358046875,3.641003125
3,3,107.3917305469513,3.650564670562744,111.11070275306702,33.3,242.432512,2418.409472,72.0,58.0,0.9534973766895898,23.15,48.45,0.21624287962913513,,0.25,64,4,0.001,,3.67969,3.432033203125,3.692273125,3.461944921875
4,3,106.78661894798279,3.7737388610839844,110.62523531913757,34.0,2919.638528,2420.105216,72.0,59.0,11.483062458759061,29.2,55.87,0.2767318785190582,,0.25,64,4,0.001,,3.402975,3.091130078125,3.4089575,3.10703359375
5,3,109.42161178588867,3.663167953491211,113.17031168937683,33.2,242.432512,2418.97472,74.0,58.0,0.9534973766895898,34.19,61.8,0.31837788224220276,,0.25,64,4,0.001,,3.195679375,2.78998359375,3.1969203125,2.817641796875
6,3,110.30651688575745,3.7817492485046387,114.15051293373108,33.1,242.432512,2421.22752,73.0,58.0,0.9534973766895898,37.59,64.57,0.36174893379211426,,0.25,64,4,0.001,,3.01980875,2.6666416015625,3.0208375,2.6727642578125
7,3,105.70198965072632,3.887288808822632,109.65379214286804,33.8,242.432512,2420.072448,73.0,59.0,0.9534973766895898,39.68,68.15,0.38373225927352905,,0.25,64,4,0.001,,2.885530625,2.5000607421875,2.8958425,2.523905078125
8,3,109.1230685710907,3.5830843448638916,112.77211785316467,32.7,242.432512,2421.510144,73.0,58.0,0.9534973766895898,41.43,68.89,0.4067339301109314,,0.25,64,4,0.001,,2.76375375,2.436842578125,2.758645,2.4267626953125
9,3,108.08733487129211,3.8400495052337646,111.99322390556335,32.9,242.432512,2420.34688,77.0,60.0,0.9534973766895898,42.37,69.53,0.41893270611763,,0.25,64,4,0.001,,2.6582253125,2.401874609375,2.6612315625,2.414469140625
10,3,109.6209626197815,3.820476770401001,113.50382852554321,33.3,242.432512,2421.530624,75.0,58.0,0.9534973766895898,44.63,71.76,0.43946659564971924,,0.25,64,4,0.001,,2.57204015625,2.293151171875,2.5592603125,2.29917734375
11,3,106.37477946281433,4.3082520961761475,110.74543833732605,33.0,242.432512,2420.621312,72.0,58.0,0.9534973766895898,45.9,72.72,0.45181190967559814,,0.25,64,4,0.001,,2.4875946875,2.2638908203125,2.46989578125,2.27673046875
12,3,109.56546974182129,3.996809244155884,113.62990546226501,33.4,242.432512,2421.551104,74.0,59.0,0.9534973766895898,46.95,73.16,0.46406644582748413,,0.25,64,4,0.001,,2.4047846875,2.2181806640625,2.3958328125,2.184605859375
13,3,108.2162675857544,3.9294369220733643,112.20754408836365,33.5,213.7088,2420.887552,73.0,61.0,0.8405257962078956,48.64,75.22,0.48161423206329346,,0.25,64,4,0.001,,2.33692046875,2.1186466796875,2.35128484375,2.1008177734375
14,3,106.50475645065308,3.9160704612731934,110.49890375137329,33.3,242.432512,2421.542912,74.0,60.0,0.9534973766895898,49.99,76.09,0.49674007296562195,,0.25,64,4,0.001,,2.27146359375,2.061705859375,2.2704425,2.0655734375
15,3,109.31459426879883,3.7044060230255127,113.07984066009521,32.9,7412.164096,2421.149696,74.0,59.0,29.152356516970652,51.46,76.97,0.5081600546836853,,0.25,64,4,0.001,,2.21426875,2.0077333984375,2.19431921875,2.0258076171875
16,3,110.3389539718628,3.664496898651123,114.08453488349915,32.6,242.432512,2421.559296,76.0,58.0,0.9534973766895898,50.83,76.15,0.5059342980384827,,0.25,64,4,0.001,,2.15258765625,2.0435205078125,2.16068203125,2.0464427734375
17,3,108.68813395500183,3.6831212043762207,112.45242929458618,33.7,7178.108416,2421.415936,73.0,60.0,28.23180557667722,53.36,77.77,0.5331746935844421,,0.25,64,4,0.001,,2.0917634375,1.9539328125,2.07698203125,1.9415712890625
18,3,107.33638024330139,3.7206687927246094,111.11956787109375,32.4,6624.536064,2421.5552,78.0,59.0,26.054581981188978,53.17,78.09,0.5298193097114563,,0.25,64,4,0.001,,2.04609375,1.9349171875,2.04222421875,1.950473046875
19,3,110.51582479476929,3.611685037612915,114.19092154502869,32.7,5015.092224,2421.682176,75.0,59.0,19.724570933127815,54.3,78.41,0.5387178659439087,,0.25,64,4,0.001,,2.00194265625,1.9203734375,2.01557640625,1.932820703125
20,3,108.49656224250793,3.845841407775879,112.41412281990051,33.8,242.432512,2421.682176,73.0,59.0,0.9534973766895898,54.58,79.2,0.5469000935554504,,0.25,64,4,0.001,,1.95088296875,1.86564375,1.94931828125,1.8404080078125
