epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,2297.96235537529,43.50304436683655,2352.5436260700226,12.7,542.393344,2318.544896,0.0,31.0,3.263447339366337,40.43,90.08,0.36107197403907776,,0.5,32,4,0.001,,1.92522125,1.618353125,1.92442859375,1.61201591796875
2,1,1957.66299700737,52.97718906402588,2010.8182818889618,18.8,526.799872,2479.669248,0.0,31.0,3.1696252538396323,52.01,94.04,0.5025414228439331,,0.5,32,4,0.001,,1.6442503125,1.3588232421875,1.64320359375,1.34653935546875
3,1,1852.6585421562195,38.3517951965332,1900.856770992279,14.0,507.531264,2478.669824,0.0,31.0,3.0536907789672916,57.42,94.69,0.5429252982139587,,0.5,32,4,0.001,,1.449071875,1.2072517578125,1.4491275,1.210766015625
4,1,2059.8698976039886,53.73802065849304,2116.5283081531525,14.3,444.29056,2482.634752,0.0,31.0,2.673187018197591,60.84,96.5,0.5973093509674072,,0.5,32,4,0.001,,1.29892953125,1.1216978515625,1.304035078125,1.12820166015625
5,1,1716.0461218357086,54.29746675491333,1791.2565128803253,12.4,507.039744,2481.446912,0.0,31.0,3.0507334240255513,70.32,98.13,0.7028200626373291,,0.5,32,4,0.001,,1.21192859375,0.83596982421875,1.21484765625,0.84011337890625
6,1,1957.6679944992065,39.53930616378784,2007.8374109268188,12.5,544.888832,2480.910336,0.0,31.0,3.2784620768517967,69.13,97.64,0.6831761002540588,,0.5,32,4,0.001,,1.12880078125,0.8888740234375,1.119047421875,0.889430859375
7,1,2016.4161598682404,56.11521673202515,2079.979338169098,13.7,526.308352,2483.060736,0.0,31.0,3.1666678988978925,73.95,98.29,0.7337854504585266,,0.5,32,4,0.001,,1.0570375,0.742655078125,1.05506796875,0.741716552734375
8,1,2016.2859971523285,43.618651151657104,2061.9116802215576,12.6,544.888832,2485.444608,0.0,31.0,3.2784620768517967,76.03,98.5,0.759872555732727,,0.5,32,4,0.001,,1.00284578125,0.70288818359375,1.000363984375,0.7019359375
9,1,2058.6142978668213,46.90103793144226,2123.841897726059,14.0,507.039744,2484.527104,0.0,31.0,3.0507334240255513,77.44,98.88,0.7811837792396545,,0.5,32,4,0.001,,0.961841875,0.654009375,0.96949546875,0.655128759765625
10,1,2123.533761739731,45.90075349807739,2177.588348865509,20.6,545.282048,2484.191232,0.0,31.0,3.280827960805189,77.53,98.92,0.7820802927017212,,0.5,32,4,0.001,,0.924081796875,0.64104970703125,0.92389609375,0.65406171875
11,1,2106.353274822235,45.524537801742554,2159.642195224762,14.3,545.282048,2484.269056,0.0,31.0,3.280827960805189,80.19,99.07,0.803573727607727,,0.5,32,4,0.001,,0.879997265625,0.56649091796875,0.87643390625,0.56957314453125
12,1,2236.3720049858093,45.45003128051758,2297.3023042678833,13.4,544.888832,2484.129792,0.0,31.0,3.2784620768517967,80.89,99.22,0.8054336309432983,,0.5,32,4,0.001,,0.85302703125,0.54021396484375,0.8597753125,0.5377115234375
13,1,2439.9381623268127,55.6765992641449,2524.078780412674,20.1,544.888832,2483.806208,0.0,39.0,3.2784620768517967,82.33,99.32,0.8226402997970581,,0.5,32,4,0.001,,0.82089234375,0.5042326171875,0.81444734375,0.508276806640625
14,1,2887.47850894928,64.31330299377441,2952.1854677200317,17.7,507.039744,2482.745344,0.0,39.0,3.0507334240255513,83.06,99.4,0.8292754292488098,,0.5,32,4,0.001,,0.795479375,0.48980517578125,0.785841953125,0.48253271484375
15,1,3774.211010456085,44.20601224899292,3850.372395515442,20.8,444.29056,2483.552256,0.0,38.0,2.673187018197591,83.18,99.37,0.8300570249557495,,0.5,32,4,0.001,,0.7706215625,0.49556484375,0.769068125,0.480770263671875
16,1,3110.066111803055,82.10132336616516,3192.655770301819,18.5,507.039744,2482.003968,0.0,38.0,3.0507334240255513,84.87,99.36,0.848035991191864,,0.5,32,4,0.001,,0.74859078125,0.44063759765625,0.75020453125,0.4496267578125
17,1,3155.422003030777,65.72830986976624,3221.5746219158173,23.2,545.282048,2484.5312,0.0,38.0,3.280827960805189,85.43,99.56,0.8552718758583069,,0.5,32,4,0.001,,0.73230234375,0.418559228515625,0.73861390625,0.42086015625
18,1,2174.5049006938934,43.19358968734741,2231.164694786072,21.3,545.282048,2484.658176,0.0,37.0,3.280827960805189,85.7,99.43,0.8569004535675049,,0.5,32,4,0.001,,0.7101615625,0.419129833984375,0.7124546875,0.422626416015625
19,1,1965.395453453064,44.74684143066406,2027.0953013896942,12.5,507.039744,2482.438144,0.0,37.0,3.0507334240255513,85.47,99.44,0.8529543876647949,,0.5,32,4,0.001,,0.69308046875,0.424784228515625,0.69598265625,0.4279728515625
20,1,2234.146526813507,68.2134428024292,2304.1380231380463,12.6,544.888832,2484.527104,0.0,37.0,3.2784620768517967,86.48,99.5,0.8642308712005615,,0.5,32,4,0.001,,0.67817828125,0.3881962890625,0.681291953125,0.3969347412109375
