epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,26.73130488395691,2.982337713241577,29.936175107955933,42.5,1672.101888,2256.65024,76.0,61.0,6.5764478147456975,11.99,34.56,0.08815543353557587,,0.5,64,4,0.001,,4.0458503125,3.76103203125,4.0408525,3.75262578125
2,0,27.093373775482178,2.8705642223358154,30.04076647758484,41.3,329.63584,2465.865728,75.0,64.0,1.2964717731542101,18.67,46.08,0.15465502440929413,,0.5,64,4,0.001,,3.7097734375,3.3799,3.711966875,3.380005078125
3,0,27.228260278701782,2.94659423828125,30.252333641052246,42.4,329.63584,2441.183232,77.0,63.0,1.2964717731542101,25.14,55.17,0.22925427556037903,,0.5,64,4,0.001,,3.387878125,3.0186552734375,3.3941640625,3.020482421875
4,0,27.260194063186646,2.9602890014648438,30.297984838485718,42.4,329.63584,2442.428416,74.0,64.0,1.2964717731542101,30.0,62.23,0.28291940689086914,,0.5,64,4,0.001,,3.0765125,2.73112109375,3.074465,2.741693359375
5,0,27.198707580566406,2.8271641731262207,30.11795401573181,42.1,283.056128,2424.139776,78.0,64.0,1.1132717855264922,37.68,68.65,0.3603464365005493,,0.5,64,4,0.001,,2.818814375,2.427108984375,2.8070015625,2.4238201171875
6,0,27.216588973999023,2.947594165802002,30.242022037506104,41.8,329.63584,2432.98304,76.0,65.0,1.2964717731542101,40.29,71.86,0.38680869340896606,,0.5,64,4,0.001,,2.59769,2.26584140625,2.5940615625,2.289303125
7,0,26.98824143409729,2.9558637142181396,30.02254867553711,41.9,329.63584,2443.22304,77.0,63.0,1.2964717731542101,44.76,75.77,0.44235721230506897,,0.5,64,4,0.001,,2.417554375,2.09124609375,2.4093553125,2.099850390625
8,0,27.170318126678467,2.9207615852355957,30.263577938079834,41.4,275.984384,2425.106432,78.0,64.0,1.0854583157200153,49.54,79.23,0.48852184414863586,,0.5,64,4,0.001,,2.2731240625,1.8770587890625,2.27093796875,1.8834064453125
9,0,27.130284309387207,2.948310613632202,30.161239624023438,41.7,329.63584,2425.004032,75.0,64.0,1.2964717731542101,51.57,81.34,0.5039738416671753,,0.5,64,4,0.001,,2.15072953125,1.774863671875,2.15110984375,1.7831326171875
10,0,27.13565945625305,3.024256706237793,30.238824605941772,42.0,329.63584,2434.3552,76.0,63.0,1.2964717731542101,54.94,84.01,0.5372819900512695,,0.5,64,4,0.001,,2.0452490625,1.630466796875,2.03842359375,1.6411552734375
11,0,27.158685207366943,2.96559476852417,30.207684755325317,42.0,329.63584,2425.07776,76.0,65.0,1.2964717731542101,56.3,84.67,0.5564616918563843,,0.5,64,4,0.001,,1.945965625,1.5664724609375,1.95855078125,1.5837701171875
12,0,27.101808786392212,2.9039268493652344,30.08622980117798,42.0,329.63584,2434.424832,76.0,63.0,1.2964717731542101,57.56,85.43,0.5774829983711243,,0.5,64,4,0.001,,1.8671525,1.52203662109375,1.875626875,1.53277529296875
13,0,26.99574637413025,2.9602229595184326,30.038109302520752,42.3,1677.476864,2435.047424,76.0,64.0,6.597587823870256,59.28,86.36,0.591895580291748,,0.5,64,4,0.001,,1.7890765625,1.4610490234375,1.80087328125,1.475680078125
14,0,27.095643043518066,2.9690980911254883,30.147814750671387,41.6,329.63584,2425.48736,75.0,63.0,1.2964717731542101,60.79,87.28,0.6059412956237793,,0.5,64,4,0.001,,1.73102734375,1.39364873046875,1.72468546875,1.41201796875
15,0,27.057701110839844,2.883455991744995,30.018521785736084,42.4,329.63584,2434.797568,80.0,64.0,1.2964717731542101,61.98,87.9,0.6191670894622803,,0.5,64,4,0.001,,1.670769375,1.353561328125,1.66028875,1.37874912109375
16,0,27.188406705856323,2.9667019844055176,30.237040281295776,42.1,329.63584,2434.797568,76.0,64.0,1.2964717731542101,62.83,87.89,0.6254590749740601,,0.5,64,4,0.001,,1.616595625,1.3445849609375,1.62386546875,1.3580033203125
17,0,27.15204954147339,2.958632230758667,30.18790316581726,42.1,329.63584,2481.491968,78.0,64.0,1.2964717731542101,63.86,88.79,0.6378983855247498,,0.5,64,4,0.001,,1.5609134375,1.2949685546875,1.5537871875,1.30722080078125
18,0,27.05436658859253,2.9785475730895996,30.11191749572754,42.2,329.63584,2444.468224,73.0,63.0,1.2964717731542101,64.88,89.2,0.6454764604568481,,0.5,64,4,0.001,,1.5250596875,1.2496986328125,1.52833421875,1.2666962890625
19,0,26.74363398551941,2.8879213333129883,29.717517852783203,42.2,283.056128,2425.532416,79.0,63.0,1.1132717855264922,63.32,88.95,0.6308266520500183,,0.5,64,4,0.001,,1.4654653125,1.3114654296875,1.46735203125,1.34119736328125
20,0,27.106794357299805,2.9278743267059326,30.111632108688354,42.2,329.63584,2443.620352,79.0,65.0,1.2964717731542101,65.12,89.47,0.6463775038719177,,0.5,64,4,0.001,,1.423656875,1.2657640625,1.43410546875,1.29138759765625
