epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,108.00586700439453,5.709322929382324,113.79577708244324,34.2,502.703104,2360.631296,76.0,66.0,1.9771526804033366,98.17,99.98,0.9817118644714355,,0.5,64,4,0.001,,0.4492921223958333,0.05940103759765625,0.4480362630208333,0.05904981689453125
2,1,108.02623724937439,5.578285217285156,113.65883684158325,33.2,8298.855424,2470.920192,72.0,67.0,32.63975120758627,99.06,100.0,0.9904670119285583,,0.5,64,4,0.001,,0.06914075520833333,0.03354892578125,0.06746354573567709,0.040059490966796875
3,1,107.66697335243225,5.559069395065308,113.28101372718811,34.6,507.52512,2472.28416,75.0,67.0,1.9961178743388561,99.2,100.0,0.9919049739837646,,0.5,64,4,0.001,,0.04702884114583333,0.028730453491210936,0.04836023763020833,0.0257291015625
4,1,107.70288753509521,6.532002687454224,114.32504105567932,34.7,507.52512,2472.484864,74.0,65.0,1.9961178743388561,99.01,99.99,0.9900506138801575,,0.5,64,4,0.001,,0.0462175048828125,0.0326348876953125,0.04190574951171875,0.031178192138671876
5,1,107.66655087471008,5.526837587356567,113.24418783187866,34.6,507.52512,2473.304064,75.0,66.0,1.9961178743388561,98.99,100.0,0.98979651927948,,0.5,64,4,0.001,,0.03621767578125,0.030842364501953125,0.03719598388671875,0.030113385009765625
6,1,107.91894960403442,5.543564319610596,113.53538084030151,34.6,4666.793984,2473.058304,76.0,66.0,18.35469914734357,99.29,100.0,0.9928444027900696,,0.5,64,4,0.001,,0.03238406982421875,0.024675205993652343,0.034974755859375,0.025866708374023436
7,1,107.83589816093445,5.518177270889282,113.40499925613403,34.5,507.52512,2473.5744,76.0,66.0,1.9961178743388561,99.15,99.98,0.9913250803947449,,0.5,64,4,0.001,,0.02974888916015625,0.029077520751953124,0.030008762613932292,0.025660836791992186
8,1,107.92286443710327,5.555348634719849,113.53475880622864,34.5,427.339264,2473.627648,75.0,67.0,1.6807434935973444,99.37,100.0,0.9936723113059998,,0.5,64,4,0.001,,0.029052437337239584,0.020965771484375,0.030831681315104168,0.01995837707519531
9,1,107.63673305511475,5.507192373275757,113.20372366905212,34.8,507.52512,2473.644032,76.0,67.0,1.9961178743388561,99.43,100.0,0.9942485690116882,,0.5,64,4,0.001,,0.026671506754557293,0.02052348937988281,0.02595099080403646,0.022333775329589845
10,1,107.73943853378296,5.5351173877716064,113.33287477493286,34.2,507.52512,2473.906176,77.0,66.0,1.9961178743388561,99.38,99.99,0.9937573671340942,,0.5,64,4,0.001,,0.025319014485677083,0.02098921813964844,0.025442734781901042,0.020743577575683594
11,1,107.86798024177551,5.732895374298096,113.65773367881775,34.5,507.524608,2473.959424,75.0,67.0,1.9961158606210887,99.26,100.0,0.9926242232322693,,0.5,64,4,0.001,,0.023476953125,0.0230631591796875,0.022862546793619792,0.022370603942871093
12,1,107.68399977684021,5.563410520553589,113.32416820526123,34.6,507.52512,2473.96352,75.0,67.0,1.9961178743388561,99.2,100.0,0.9919373989105225,,0.5,64,4,0.001,,0.02259447224934896,0.02703912048339844,0.022542435709635416,0.023465792846679687
13,1,108.24631929397583,5.541621923446655,113.84943056106567,34.3,9802.494464,2474.029056,75.0,67.0,38.55362747896712,99.5,100.0,0.994924008846283,,0.5,64,4,0.001,,0.026127882893880208,0.01601184844970703,0.02733646240234375,0.0172405029296875
14,1,107.5358579158783,5.555406808853149,113.15130233764648,34.7,507.52512,2474.287104,74.0,65.0,1.9961178743388561,99.45,100.0,0.9944918155670166,,0.5,64,4,0.001,,0.02066341552734375,0.02022596435546875,0.021288484700520832,0.016878268432617187
15,1,107.92086744308472,5.558058261871338,113.540283203125,34.3,507.52512,2474.287104,75.0,67.0,1.9961178743388561,99.46,100.0,0.9945679903030396,,0.5,64,4,0.001,,0.022938667805989583,0.018697328186035155,0.024045847574869793,0.01808004608154297
16,1,107.84236669540405,5.534408330917358,113.44215631484985,34.3,507.52512,2474.2912,76.0,67.0,1.9961178743388561,99.45,100.0,0.9944913983345032,,0.5,64,4,0.001,,0.017369927978515626,0.018534442138671874,0.016703536987304687,0.01839440460205078
17,1,107.85199904441833,5.5076985359191895,113.43214726448059,34.7,507.52512,2474.299392,76.0,65.0,1.9961178743388561,99.38,99.99,0.9937947988510132,,0.5,64,4,0.001,,0.01792559814453125,0.017725009155273436,0.018844559733072915,0.015528779602050782
18,1,107.15478014945984,5.746677875518799,113.78600430488586,31.6,9445.472256,2474.303488,74.0,67.0,37.14944395614026,99.44,100.0,0.9943820238113403,,0.5,64,4,0.001,,0.017817647298177083,0.01983330078125,0.016441466267903646,0.017062655639648438
19,1,106.46271800994873,5.530683279037476,112.05250954627991,29.2,463.86944,2474.25024,74.0,66.0,1.8244182288820614,99.13,99.99,0.9913375973701477,,0.5,64,4,0.001,,0.014033831787109374,0.030466207885742187,0.015201466878255208,0.027809161376953124
20,1,106.56120610237122,5.504098415374756,112.12395429611206,31.2,2581.72416,2474.307584,72.0,66.0,10.154030883020075,99.4,99.99,0.9938820600509644,,0.5,64,4,0.001,,0.014495360310872396,0.02062730255126953,0.015385787963867187,0.013903720092773438
