epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,341.05173325538635,0.4537036418914795,341.57707500457764,29.4,1366.217216,1991.974912,69.0,52.0,5.373390395113979,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6894553000044544,0.6978598778400946,0.6889776470861173,0.6989361824245628
2,1,347.5949296951294,0.3692207336425781,348.03373551368713,29.5,1366.761984,2000.416768,74.0,52.0,5.375532990818736,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6865449700440986,0.6973931548792288,0.6864952788604306,0.6984247330131881
3,1,337.4194769859314,0.36652398109436035,337.85037875175476,29.1,1362.993664,2001.641472,74.0,53.0,5.3607120280489955,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6864962499443199,0.696941830696316,0.6866946803080921,0.6979280524297592
4,1,326.79367113113403,0.35983729362487793,327.20173025131226,29.2,1373.016576,2001.895424,72.0,52.0,5.400132567068079,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6866976263567388,0.6964174323125717,0.6865420262620638,0.697347588495377
5,1,326.6329650878906,0.3458671569824219,327.0553252696991,29.4,1092.844544,2002.264064,71.0,53.0,4.298204053726635,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6864906819329166,0.6970269439417288,0.6865917316258352,0.6980219149808271
6,1,327.3680684566498,0.3599209785461426,327.77298378944397,29.2,1367.091712,2002.3296,73.0,52.0,5.376829825061088,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6866324342232253,0.6975685609590023,0.6867483876206385,0.6986172177376003
7,1,325.8004357814789,0.35425448417663574,326.2008910179138,29.3,1092.849664,2002.612224,70.0,53.0,4.298224190904311,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6864970039458641,0.6972986623781536,0.6869205874164811,0.6983210712397864
8,1,326.0084869861603,0.3580174446105957,326.4136817455292,29.4,1368.024064,2002.624512,73.0,52.0,5.380496805115939,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6865026879575049,0.6977968128449327,0.6864837370081663,0.6988671679015553
9,1,326.4464976787567,0.3569655418395996,326.8541307449341,29.3,1290.061824,2002.685952,70.0,52.0,5.0738680006392345,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6865179419887452,0.6970275038972907,0.6865862216963623,0.6980225449308343
10,1,327.3795418739319,0.3456399440765381,328.7896752357483,29.3,1277.640704,2003.173376,71.0,52.0,5.025015207596581,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6865713600981455,0.6996864528830992,0.6866473529138827,0.7009194750304616
11,1,327.6690185070038,0.38059544563293457,328.0939288139343,29.3,1092.845568,2003.177472,75.0,53.0,4.29820808116217,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6865114459754413,0.6984605001747062,0.6866617367297698,0.6995911204486812
12,1,326.9612317085266,0.34875965118408203,327.3638641834259,29.3,1364.657664,2003.755008,72.0,52.0,5.367256610793786,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6865037899597618,0.6972609353721688,0.6873036145137342,0.6982795645337586
13,1,328.0925884246826,0.3508028984069824,328.49892926216125,29.2,1368.020992,2003.7632,74.0,52.0,5.380484722809333,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6865186379901707,0.6968130409170729,0.6869633328693393,0.6977858237170298
14,1,327.184937953949,0.35596132278442383,327.5871148109436,29.3,1363.966976,2003.767296,71.0,52.0,5.364540105525255,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6870327510430742,0.6973604674733013,0.6875359015404603,0.6983888958572247
15,1,327.33372020721436,0.37250351905822754,327.75686049461365,29.3,1366.737408,2003.779584,70.0,53.0,5.37543633236589,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6867117203856034,0.6976042581260751,0.685574192650334,0.6986563446324899
16,1,327.7118968963623,0.35733985900878906,328.1212170124054,29.3,1187.841024,2003.78368,71.0,53.0,4.67182924833232,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6866322602228689,0.6972205485772649,0.6862471000371195,0.6982351180610307
17,1,328.29346656799316,0.3611111640930176,328.7155680656433,29.2,1365.312,2003.787776,71.0,52.0,5.369830142100813,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.686578494112756,0.6970761500367331,0.6857211047698589,0.6980761606758887
18,1,326.73697113990784,0.35526561737060547,327.1382358074188,29.4,1243.952128,2003.795968,70.0,52.0,4.892516605922199,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6864926539369552,0.698211389944094,0.6860743202487009,0.6993198219789277
19,1,327.55206632614136,0.3445768356323242,327.9505522251129,29.4,1092.845568,2003.795968,71.0,53.0,4.29820808116217,50.91743119266055,0.0,0.33738601207733154,,0.5,16,4,0.001,,0.6865033259588116,0.6994516915137615,0.6862272062917595,0.7006659551497993
