epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,114.0109932422638,3.5209619998931885,118.80919456481934,41.9,240.018944,2114.056192,79.0,59.0,0.9440047111329918,11.48,31.02,0.09037552028894424,,0.25,64,4,0.001,,4.62265125,4.13121484375,4.6348478125,4.16849296875
2,0,109.67332363128662,2.7902402877807617,113.72638368606567,44.1,4267.288064,2421.51424,78.0,62.0,16.783425379030014,17.34,40.88,0.14115874469280243,,0.25,64,4,0.001,,4.051793125,3.777570703125,4.0326590625,3.804492578125
3,0,109.78174901008606,2.6836133003234863,113.65789222717285,44.8,189.930496,2422.505472,76.0,60.0,0.7470047156437196,24.23,50.01,0.2162076085805893,,0.25,64,4,0.001,,3.690649375,3.346284375,3.6958746875,3.36538359375
4,0,110.71168971061707,2.564401865005493,114.78314399719238,47.9,242.432512,2425.212928,77.0,61.0,0.9534973766895898,30.49,57.65,0.2824823558330536,,0.25,64,4,0.001,,3.41185125,3.00049609375,3.413129375,3.006138671875
5,0,111.37764430046082,2.697472095489502,115.55262017250061,39.3,189.930496,2423.267328,76.0,61.0,0.7470047156437196,33.2,61.12,0.3172287344932556,,0.25,64,4,0.001,,3.195393125,2.836547265625,3.196191875,2.8312630859375
6,0,110.8907196521759,2.6744015216827393,114.83754515647888,44.2,242.432512,2427.957248,77.0,62.0,0.9534973766895898,37.14,65.21,0.35560619831085205,,0.25,64,4,0.001,,3.0381071875,2.642996484375,3.0343425,2.618925390625
7,0,111.79977989196777,2.620004415512085,115.90207290649414,43.3,8455.161344,2427.891712,77.0,63.0,33.254509036276566,39.91,67.92,0.38750559091567993,,0.25,64,4,0.001,,2.89817,2.519698046875,2.8958828125,2.4862892578125
8,0,111.0749123096466,2.6729705333709717,115.0968108177185,45.3,242.432512,2422.710272,78.0,60.0,0.9534973766895898,41.61,69.16,0.4100532829761505,,0.25,64,4,0.001,,2.7763525,2.432614453125,2.777176875,2.3979078125
9,0,109.70285129547119,2.710789918899536,113.5321397781372,45.3,242.432512,2424.1152,76.0,61.0,0.9534973766895898,44.16,71.68,0.4364267587661743,,0.25,64,4,0.001,,2.676518125,2.32085859375,2.657641875,2.301108203125
10,0,110.92583107948303,2.6738083362579346,114.65399074554443,47.9,242.432512,2425.77408,76.0,60.0,0.9534973766895898,45.18,72.01,0.441886305809021,,0.25,64,4,0.001,,2.5806259375,2.3046849609375,2.5905234375,2.2861529296875
11,0,110.87240958213806,2.671626091003418,114.88352417945862,39.6,6377.841664,2426.994688,77.0,62.0,25.08432241780165,46.37,72.94,0.46074169874191284,,0.25,64,4,0.001,,2.4895984375,2.2255541015625,2.4929109375,2.1953505859375
12,0,110.92869138717651,2.6796369552612305,115.03310132026672,44.4,242.432512,2428.207104,78.0,62.0,0.9534973766895898,47.69,73.98,0.4699859023094177,,0.25,64,4,0.001,,2.41001984375,2.168880859375,2.41441453125,2.16553203125
13,0,111.73262000083923,2.590374231338501,115.55922961235046,44.2,242.432512,2427.256832,77.0,62.0,0.9534973766895898,49.81,75.82,0.4926200807094574,,0.25,64,4,0.001,,2.34275484375,2.068085546875,2.34125765625,2.0741892578125
14,0,112.04402780532837,2.608592987060547,116.01208877563477,43.1,242.432512,2427.817984,77.0,61.0,0.9534973766895898,49.48,75.44,0.49209216237068176,,0.25,64,4,0.001,,2.27739015625,2.09977265625,2.29294734375,2.08707265625
15,0,110.46797037124634,2.634378671646118,114.25469255447388,42.0,242.432512,2427.817984,80.0,60.0,0.9534973766895898,50.78,76.3,0.5033512711524963,,0.25,64,4,0.001,,2.22009,2.065273828125,2.20585015625,2.0625228515625
16,0,112.4967782497406,2.710162878036499,116.45088338851929,43.2,242.432512,2428.391424,76.0,60.0,0.9534973766895898,51.75,76.86,0.5159468650817871,,0.25,64,4,0.001,,2.1609040625,2.0255029296875,2.16484546875,2.01641875
17,0,110.25177907943726,2.6799492835998535,114.19048929214478,46.9,228.466688,2427.817984,78.0,60.0,0.898569197142003,51.7,76.63,0.5152751207351685,,0.25,64,4,0.001,,2.10343703125,2.0270373046875,2.11508953125,2.0041970703125
18,0,110.74288725852966,2.6003305912017822,114.66229963302612,47.9,214.043648,2425.913344,78.0,62.0,0.8418427676279242,52.77,78.36,0.5261960625648499,,0.25,64,4,0.001,,2.0442628125,1.9348091796875,2.0580421875,1.9133375
19,0,111.04372692108154,2.6798250675201416,115.23671555519104,41.6,189.930496,2427.543552,79.0,60.0,0.7470047156437196,53.66,78.66,0.5319909453392029,,0.25,64,4,0.001,,2.00429046875,1.9197212890625,2.00982578125,1.9392033203125
20,0,111.16857671737671,2.6387128829956055,115.0614402294159,43.6,6449.217536,2427.86304,79.0,63.0,25.365046756915593,54.65,79.44,0.5421974658966064,,0.25,64,4,0.001,,1.9522728125,1.865044921875,1.9647171875,1.860030859375
