epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,48.62720036506653,5.5989296436309814,54.4893012046814,16.3,324.38784,2253.586432,52.0,67.0,1.275831166036024,12.32,36.05,0.08937204629182816,,1.0,64,4,0.001,,4.0482815625,3.725673046875,4.0482815625,3.725673046875
2,0,47.422823667526245,5.509592056274414,53.067631244659424,16.7,334.354944,2459.389952,52.0,68.0,1.3150322098184368,19.23,46.1,0.15965679287910461,,1.0,64,4,0.001,,3.7098525,3.386950390625,3.7098525,3.386950390625
3,0,46.175228118896484,5.544705867767334,51.89931845664978,16.7,287.709696,2459.631616,51.0,68.0,1.1315744663164624,26.07,55.41,0.23903970420360565,,1.0,64,4,0.001,,3.398173125,2.9971640625,3.398173125,2.9971640625
4,0,45.86658549308777,5.5856640338897705,51.59633445739746,16.7,1623.412224,2476.908544,55.0,68.0,6.384949296197585,32.14,64.35,0.3012109100818634,,1.0,64,4,0.001,,3.0769365625,2.6345431640625,3.0769365625,2.6345431640625
5,0,46.82888174057007,5.573694944381714,52.56379985809326,17.0,1215.54688,2461.315072,52.0,68.0,4.78079755789197,38.5,70.45,0.37423834204673767,,1.0,64,4,0.001,,2.802515,2.3568630859375,2.802515,2.3568630859375
6,0,47.09201407432556,5.46367883682251,52.70606756210327,16.3,335.07584,2443.53024,55.0,68.0,1.3178675244352571,42.58,74.38,0.4205743074417114,,1.0,64,4,0.001,,2.60078140625,2.1764609375,2.60078140625,2.1764609375
7,0,47.122828245162964,5.566262722015381,52.826157331466675,16.3,335.07584,2443.169792,55.0,67.0,1.3178675244352571,45.97,77.65,0.44916948676109314,,1.0,64,4,0.001,,2.4147215625,1.9910697265625,2.4147215625,1.9910697265625
8,0,47.225428104400635,5.614165306091309,53.03816890716553,16.0,265.980928,2443.886592,53.0,65.0,1.046114297976101,50.39,80.46,0.4997420907020569,,1.0,64,4,0.001,,2.27221140625,1.8336640625,2.27221140625,1.8336640625
9,0,47.243772745132446,5.555715799331665,53.05086660385132,16.6,335.07584,2453.21728,50.0,68.0,1.3178675244352571,51.4,82.15,0.5091437101364136,,1.0,64,4,0.001,,2.1386425,1.7507779296875,2.1386425,1.7507779296875
10,0,46.88190841674805,5.679609537124634,52.74785304069519,19.3,335.07584,2453.221376,54.0,67.0,1.3178675244352571,54.46,83.35,0.5402042269706726,,1.0,64,4,0.001,,2.0429721875,1.6527119140625,2.0429721875,1.6527119140625
11,0,47.78257083892822,5.660099506378174,53.654165267944336,17.8,287.709696,2479.116288,53.0,67.0,1.1315744663164624,56.01,84.28,0.5528393983840942,,1.0,64,4,0.001,,1.94085015625,1.5998560546875,1.94085015625,1.5998560546875
12,0,47.64815330505371,5.5139312744140625,53.34920930862427,16.6,335.07584,2453.233664,51.0,68.0,1.3178675244352571,58.09,85.57,0.5761945843696594,,1.0,64,4,0.001,,1.8649940625,1.5194779296875,1.8649940625,1.5194779296875
13,0,47.65903973579407,5.518091678619385,53.32354545593262,15.7,1612.924416,2453.291008,53.0,68.0,6.343700301445495,59.22,86.39,0.5875928401947021,,1.0,64,4,0.001,,1.79253125,1.455587109375,1.79253125,1.455587109375
14,0,46.745256185531616,5.553454875946045,52.44676637649536,16.6,335.07584,2461.908992,50.0,68.0,1.3178675244352571,60.63,86.85,0.6093130707740784,,1.0,64,4,0.001,,1.7373909375,1.40516669921875,1.7373909375,1.40516669921875
15,0,47.295347452163696,5.552005052566528,52.96768069267273,16.3,1320.257024,2462.593024,55.0,68.0,5.192627005985092,61.5,86.96,0.6150375008583069,,1.0,64,4,0.001,,1.6733159375,1.39722666015625,1.6733159375,1.39722666015625
16,0,47.71303367614746,5.602625608444214,53.465437173843384,16.3,335.07584,2462.769152,53.0,68.0,1.3178675244352571,62.34,87.98,0.6225671768188477,,1.0,64,4,0.001,,1.61601015625,1.3624978515625,1.61601015625,1.3624978515625
17,0,47.79266858100891,5.7884438037872314,53.71726942062378,16.8,1682.916864,2462.769152,50.0,67.0,6.6189835751513035,63.59,88.68,0.6340913772583008,,1.0,64,4,0.001,,1.57576375,1.31430390625,1.57576375,1.31430390625
18,0,47.63480520248413,5.6422553062438965,53.46268081665039,16.6,1679.119872,2462.769152,52.0,67.0,6.604049844186574,64.26,89.12,0.6398419737815857,,1.0,64,4,0.001,,1.5167475,1.27787744140625,1.5167475,1.27787744140625
19,0,46.71134614944458,5.634042263031006,52.51208257675171,16.4,335.07584,2462.830592,55.0,68.0,1.3178675244352571,64.5,89.24,0.6456480026245117,,1.0,64,4,0.001,,1.4676475,1.26519052734375,1.4676475,1.26519052734375
20,0,47.45385265350342,5.6274707317352295,53.25523519515991,16.8,287.709184,2444.107776,52.0,67.0,1.1315724525986948,65.46,89.41,0.6540897488594055,,1.0,64,4,0.001,,1.43588890625,1.2465755859375,1.43588890625,1.2465755859375
