epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,11.022919654846191,0.7567541599273682,12.048949718475342,10.2,550.141952,1883.656192,46.0,62.0,2.163731686445134,0.0,0.0,0.0,,1.0,8,4,0.001,,2.995362048303835,2.9203849926329495,2.995362048303835,2.9203849926329495
2,0,10.618821144104004,0.8001203536987305,11.534311294555664,11.6,1033.3056,1923.448832,47.0,62.0,4.064034855682486,0.0,0.0,0.0,,1.0,8,4,0.001,,2.923563339248402,2.8991032650596216,2.923563339248402,2.8991032650596216
3,0,11.143803119659424,0.8122994899749756,12.085116624832153,11.8,668.598272,1938.018304,49.0,62.0,2.629625429163531,0.0,0.0,0.0,,1.0,8,4,0.001,,2.9131529141316372,2.8959358616879114,2.9131529141316372,2.8959358616879114
4,0,11.008671045303345,0.8142380714416504,11.943093299865723,11.7,1060.557824,1930.702848,46.0,63.0,4.171219011300018,0.0,0.0,0.0,,1.0,8,4,0.001,,2.851923309596239,2.756725913599918,2.851923309596239,2.756725913599918
5,0,10.900017738342285,0.8115835189819336,11.918123960494995,11.7,668.68224,1939.255296,49.0,62.0,2.6299556788774217,2.098946822317027,0.0,0.0,,1.0,8,4,0.001,,2.726828005930433,2.7137092456483005,2.726828005930433,2.7137092456483005
6,0,10.425969123840332,0.9039366245269775,11.507421493530273,11.7,668.087296,1939.488768,51.0,62.0,2.6276157388314383,0.0,0.0,0.0,,1.0,8,4,0.001,,2.6776309093073993,2.6457091214364037,2.6776309093073993,2.6457091214364037
7,0,10.560903549194336,0.8607773780822754,11.64293622970581,11.8,666.881536,1940.037632,47.0,61.0,2.6228734334886745,0.0,0.0,0.0,,1.0,8,4,0.001,,2.6648170073592676,2.639881870202851,2.6648170073592676,2.639881870202851
8,0,11.252295970916748,0.8788104057312012,12.271796941757202,11.5,702.559744,1940.197376,46.0,62.0,2.7631973424080587,0.0,0.0,0.0,,1.0,8,4,0.001,,2.651307412656711,2.628682722125137,2.651307412656711,2.628682722125137
9,0,10.544371843338013,0.8809590339660645,11.570410251617432,11.9,668.616704,1932.222464,50.0,62.0,2.6296979230031656,0.0,0.0,0.0,,1.0,8,4,0.001,,2.64324164976647,2.6310676440858005,2.64324164976647,2.6310676440858005
10,0,11.338733673095703,0.8476114273071289,12.297630071640015,11.6,1032.82944,1932.398592,52.0,63.0,4.062162098158592,0.7237819203159246,0.0,0.0,,1.0,8,4,0.001,,2.644009600463987,2.6235279284025492,2.644009600463987,2.6235279284025492
11,0,11.392508029937744,0.8237385749816895,12.317474842071533,11.4,667.05664,1940.881408,47.0,59.0,2.6235621249652032,0.5044836747018944,0.0,0.0,,1.0,8,4,0.001,,2.618615134510202,2.606827585320724,2.618615134510202,2.606827585320724
