epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,210.4143831729889,10.894892930984497,221.5870921611786,12.9,502.76864,2294.644736,48.0,71.0,1.9774104362775928,98.44,99.98,0.9843467473983765,,1.0,64,4,0.001,,0.36747486979166666,0.05169063110351563,0.36747486979166666,0.05169063110351563
2,0,211.4428653717041,10.728282690048218,222.32934832572937,12.5,433.012224,2446.757888,50.0,69.0,1.7030554864626617,98.68,100.0,0.9865931868553162,,1.0,64,4,0.001,,0.06721926676432291,0.04424544067382812,0.06721926676432291,0.04424544067382812
3,0,209.870609998703,10.733237028121948,220.88343811035156,12.8,513.19808,2448.003072,51.0,70.0,2.0184298672041736,98.63,100.0,0.986365556716919,,1.0,64,4,0.001,,0.05135039876302083,0.045659072875976564,0.05135039876302083,0.045659072875976564
4,0,212.4490327835083,10.789912223815918,223.46119666099548,12.6,433.0112,2445.606912,50.0,71.0,1.7030514590271262,99.08,99.98,0.9906880855560303,,1.0,64,4,0.001,,0.046830244954427086,0.030320846557617187,0.046830244954427086,0.030320846557617187
5,0,212.02796506881714,10.751328706741333,223.02916598320007,12.8,513.19808,2462.47424,55.0,68.0,2.0184298672041736,98.07,99.99,0.9802801609039307,,1.0,64,4,0.001,,0.04162774658203125,0.06768679809570312,0.04162774658203125,0.06768679809570312
6,0,211.5467722415924,10.758936166763306,222.50513219833374,12.7,513.19808,2475.556864,54.0,69.0,2.0184298672041736,99.37,100.0,0.9936676025390625,,1.0,64,4,0.001,,0.04155823974609375,0.019905751037597657,0.04155823974609375,0.019905751037597657
7,0,212.33128023147583,10.741328716278076,223.21186757087708,12.3,513.19808,2448.2816,50.0,69.0,2.0184298672041736,99.32,100.0,0.9931732416152954,,1.0,64,4,0.001,,0.034922896321614584,0.02211027374267578,0.034922896321614584,0.02211027374267578
8,0,210.08544278144836,10.732815504074097,220.98107719421387,12.7,1561.056768,2445.570048,53.0,70.0,6.139702636713715,99.43,100.0,0.9942852258682251,,1.0,64,4,0.001,,0.033162410481770835,0.018558267211914063,0.033162410481770835,0.018558267211914063
9,0,208.18162608146667,10.809431552886963,219.1387963294983,12.8,513.197568,2445.836288,52.0,70.0,2.0184278534864064,99.06,99.99,0.990537703037262,,1.0,64,4,0.001,,0.03106058553059896,0.026244647216796875,0.03106058553059896,0.026244647216796875
10,0,211.8703830242157,10.868834018707275,222.93558597564697,12.7,513.19808,2445.832192,48.0,70.0,2.0184298672041736,99.35,100.0,0.9935166239738464,,1.0,64,4,0.001,,0.027487095133463542,0.02126537628173828,0.027487095133463542,0.02126537628173828
11,0,211.68857789039612,10.796443700790405,222.7294647693634,12.4,513.19808,2446.032896,54.0,69.0,2.0184298672041736,99.28,100.0,0.9927568435668945,,1.0,64,4,0.001,,0.025010404459635417,0.020258799743652342,0.025010404459635417,0.020258799743652342
12,0,210.15258288383484,10.864092588424683,221.19280409812927,12.6,513.19808,2445.840384,51.0,70.0,2.0184298672041736,99.4,100.0,0.9939515590667725,,1.0,64,4,0.001,,0.024263053385416667,0.01874707336425781,0.024263053385416667,0.01874707336425781
13,0,211.48991703987122,10.891148805618286,222.51992177963257,12.9,4602.46016,2447.589376,52.0,69.0,18.101671482405585,99.54,100.0,0.9953653812408447,,1.0,64,4,0.001,,0.019082167561848957,0.01472684326171875,0.019082167561848957,0.01472684326171875
14,0,212.07795405387878,10.747873783111572,223.04251670837402,12.6,513.19808,2447.7696,47.0,70.0,2.0184298672041736,99.47,100.0,0.9946908950805664,,1.0,64,4,0.001,,0.017884684244791667,0.016618209838867186,0.017884684244791667,0.016618209838867186
15,0,210.08982825279236,10.884986639022827,221.17650699615479,12.8,513.19808,2486.308864,55.0,70.0,2.0184298672041736,99.33,100.0,0.9932209253311157,,1.0,64,4,0.001,,0.019051871744791667,0.020849205017089843,0.019051871744791667,0.020849205017089843
16,0,211.26493549346924,10.766664505004883,222.2732617855072,12.8,513.19808,2447.773696,46.0,70.0,2.0184298672041736,99.36,100.0,0.993492066860199,,1.0,64,4,0.001,,0.01690596211751302,0.01727949981689453,0.01690596211751302,0.01727949981689453
17,0,210.81646347045898,10.852244853973389,221.89015936851501,12.4,595.364352,2445.246464,54.0,70.0,2.3415933082708706,99.47,100.0,0.994676411151886,,1.0,64,4,0.001,,0.014780537923177083,0.016495060729980467,0.014780537923177083,0.016495060729980467
18,0,210.86264181137085,10.824123859405518,221.87632155418396,13.0,513.19808,2446.0288,51.0,70.0,2.0184298672041736,99.52,100.0,0.9951875805854797,,1.0,64,4,0.001,,0.015013938395182292,0.015484028625488281,0.015013938395182292,0.015484028625488281
19,0,210.17935013771057,11.009825706481934,221.3806858062744,12.9,513.19808,2447.806464,53.0,69.0,2.0184298672041736,99.51,100.0,0.9950793385505676,,1.0,64,4,0.001,,0.011036681111653646,0.020006477355957033,0.011036681111653646,0.020006477355957033
20,0,212.0765998363495,10.880514144897461,223.18734908103943,12.9,513.19808,2447.806464,52.0,70.0,2.0184298672041736,99.31,100.0,0.9931602478027344,,1.0,64,4,0.001,,0.012060978190104167,0.02534662170410156,0.012060978190104167,0.02534662170410156
