epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,360.1730544567108,10.325981378555298,370.77583265304565,0.0,58.438144,1023.22176,51.0,42.0,0.22983970484374844,10.79,30.25,0.08303406834602356,,1.0,32,4,0.001,,4.7345653125,4.19247265625,4.7345653125,4.19247265625
2,0,380.8193905353546,10.09520149230957,391.19949316978455,12.9,182.610432,1921.056768,46.0,66.0,0.7182145927199431,20.37,44.82,0.1732845902442932,,1.0,32,4,0.001,,4.120485,3.588412109375,4.120485,3.588412109375
3,0,372.9463622570038,10.18189549446106,383.32048630714417,13.0,210.982912,1920.147456,49.0,68.0,0.8298047628130446,25.39,52.22,0.23729482293128967,,1.0,32,4,0.001,,3.698049375,3.2717708984375,3.698049375,3.2717708984375
4,0,379.8290767669678,10.155880212783813,390.21603059768677,13.3,4278.180864,1922.564096,48.0,67.0,16.8262672245363,33.08,60.45,0.3142649829387665,,1.0,32,4,0.001,,3.4083240625,2.85972578125,3.4083240625,2.85972578125
5,0,377.4445970058441,9.49236536026001,387.12506318092346,6.9,4229.922304,1921.59744,46.0,68.0,16.636464256348525,36.96,63.86,0.35298672318458557,,1.0,32,4,0.001,,3.18814125,2.68121015625,3.18814125,2.68121015625
6,0,369.36809825897217,9.825878620147705,379.4201457500458,11.1,4211.979264,1926.529024,53.0,66.0,16.565893517182005,38.79,67.3,0.376053124666214,,1.0,32,4,0.001,,3.02278,2.544058203125,3.02278,2.544058203125
7,0,375.7811348438263,10.02976942062378,386.0106658935547,13.0,3624.797184,1921.425408,50.0,65.0,14.256481432555598,41.63,69.32,0.40266358852386475,,1.0,32,4,0.001,,2.887906875,2.4298990234375,2.887906875,2.4298990234375
8,0,368.25725865364075,9.645060777664185,378.11405086517334,11.8,4250.797056,1922.445312,47.0,65.0,16.71856554345249,43.91,71.07,0.4300253987312317,,1.0,32,4,0.001,,2.7725340625,2.3287486328125,2.7725340625,2.3287486328125
9,0,361.47375106811523,9.58041787147522,371.3326048851013,9.8,4248.646656,1923.538944,48.0,66.0,16.71010792882845,45.2,72.63,0.44397425651550293,,1.0,32,4,0.001,,2.6762990625,2.254026953125,2.6762990625,2.254026953125
10,0,366.79421615600586,9.541385889053345,376.56102180480957,9.9,1805.747712,1923.559424,48.0,66.0,7.102082522476313,46.99,73.83,0.46119415760040283,,1.0,32,4,0.001,,2.58147046875,2.190220703125,2.58147046875,2.190220703125
11,0,368.6519739627838,9.567142486572266,378.3865201473236,9.7,2414.609408,1923.858432,45.0,65.0,9.496761458537389,48.34,74.77,0.47277122735977173,,1.0,32,4,0.001,,2.50008328125,2.1256435546875,2.50008328125,2.1256435546875
12,0,379.7733130455017,9.576855659484863,389.6722240447998,9.5,4210.642432,1924.022272,49.0,65.0,16.560635700090728,50.06,76.1,0.4931797981262207,,1.0,32,4,0.001,,2.426398125,2.0531451171875,2.426398125,2.0531451171875
13,0,359.2013337612152,9.584477186203003,368.96542501449585,10.1,210.9824,1924.022272,46.0,65.0,0.829802749095277,51.23,76.4,0.5090519189834595,,1.0,32,4,0.001,,2.362243125,2.0339197265625,2.362243125,2.0339197265625
14,0,365.18237495422363,9.569051742553711,374.9404733181,9.5,3299.283456,1924.022272,49.0,66.0,12.97622210114856,52.21,76.8,0.5187753438949585,,1.0,32,4,0.001,,2.29518859375,2.0085998046875,2.29518859375,2.0085998046875
15,0,365.02210783958435,9.578299283981323,374.7818503379822,10.2,4158.964736,1924.255744,49.0,64.0,16.35738512465074,52.42,77.86,0.5166139006614685,,1.0,32,4,0.001,,2.24696109375,1.9622833984375,2.24696109375,1.9622833984375
16,0,366.9729256629944,9.545349836349487,376.6800832748413,9.5,182.275584,1924.255744,44.0,66.0,0.7168976212999145,52.46,77.55,0.5208404660224915,,1.0,32,4,0.001,,2.1871134375,1.960559375,2.1871134375,1.960559375
17,0,367.9835731983185,9.569831371307373,377.7273941040039,9.9,210.982912,1924.263936,48.0,64.0,0.8298047628130446,53.41,78.13,0.5302319526672363,,1.0,32,4,0.001,,2.1299121875,1.9400314453125,2.1299121875,1.9400314453125
18,0,372.95055294036865,9.569247961044312,382.7020933628082,9.5,210.982912,1922.072576,43.0,65.0,0.8298047628130446,53.94,78.57,0.5366086959838867,,1.0,32,4,0.001,,2.0919840625,1.911358203125,2.0919840625,1.911358203125
19,0,366.7552287578583,9.570537805557251,376.48409962654114,9.5,182.610432,1924.042752,46.0,65.0,0.7182145927199431,54.26,78.9,0.5417613983154297,,1.0,32,4,0.001,,2.03750953125,1.900289453125,2.03750953125,1.900289453125
20,0,371.40002942085266,9.609267711639404,381.2187831401825,13.1,3588.3264,1924.050944,49.0,66.0,14.113040288531925,55.05,79.16,0.5512537956237793,,1.0,32,4,0.001,,2.000919375,1.86992578125,2.000919375,1.86992578125
