epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,196.83580589294434,10.775020122528076,207.77529621124268,0.0,164.337152,1176.4736,72.0,48.0,0.6463450055933025,98.2,99.99,0.9817562699317932,,1.0,64,4,0.001,,0.5160296223958334,0.05640006713867188,0.5160296223958334,0.05640006713867188
2,0,196.32711386680603,10.666747808456421,207.07791113853455,31.6,513.19808,2447.491072,77.0,64.0,2.0184298672041736,99.06,100.0,0.9905641078948975,,1.0,64,4,0.001,,0.07206585286458334,0.034174142456054685,0.07206585286458334,0.034174142456054685
3,0,196.22119617462158,10.621076107025146,206.94118928909302,32.3,513.19808,2444.730368,75.0,65.0,2.0184298672041736,98.86,100.0,0.9884105920791626,,1.0,64,4,0.001,,0.057478145345052085,0.0398859130859375,0.057478145345052085,0.0398859130859375
4,0,196.7954089641571,10.608831405639648,207.48878145217896,31.8,9963.311616,2449.526784,75.0,64.0,39.186128174907985,98.46,99.99,0.9844726324081421,,1.0,64,4,0.001,,0.04833449300130208,0.0501589111328125,0.04833449300130208,0.0501589111328125
5,0,196.59543871879578,10.641570091247559,207.33046984672546,31.5,457.48992,2448.687104,71.0,59.0,1.7993273054974173,99.32,100.0,0.9931767582893372,,1.0,64,4,0.001,,0.042259773763020834,0.022572650146484376,0.042259773763020834,0.022572650146484376
6,0,197.04941868782043,10.671655893325806,207.81316828727722,31.6,2681.079296,2446.675968,74.0,63.0,10.544798856981576,99.34,100.0,0.9933513402938843,,1.0,64,4,0.001,,0.03875347086588542,0.01978617706298828,0.03875347086588542,0.01978617706298828
7,0,196.7943079471588,10.627784252166748,207.50586128234863,31.6,9391.04768,2449.117184,74.0,64.0,36.935389784876946,99.2,100.0,0.9918847680091858,,1.0,64,4,0.001,,0.03716317952473958,0.028493658447265625,0.03716317952473958,0.028493658447265625
8,0,196.48166942596436,10.654935121536255,207.2210566997528,32.2,1944.71168,2449.16224,75.0,64.0,7.648633716659278,98.83,100.0,0.9881991744041443,,1.0,64,4,0.001,,0.03330075276692708,0.03803629760742187,0.03330075276692708,0.03803629760742187
9,0,196.89346265792847,10.671088457107544,207.6511332988739,31.6,433.012224,2446.712832,73.0,64.0,1.7030554864626617,99.28,100.0,0.9927355051040649,,1.0,64,4,0.001,,0.032169999186197916,0.024464662170410156,0.032169999186197916,0.024464662170410156
10,0,197.03196382522583,10.650613069534302,207.76642370224,32.2,513.19808,2448.723968,73.0,64.0,2.0184298672041736,99.38,100.0,0.9937542676925659,,1.0,64,4,0.001,,0.027948203531901042,0.019460679626464843,0.027948203531901042,0.019460679626464843
11,0,196.81654500961304,10.636776447296143,207.53698873519897,31.6,511.547904,2448.77312,75.0,64.0,2.011939654839109,99.24,100.0,0.9922448396682739,,1.0,64,4,0.001,,0.027151192220052082,0.025590821838378908,0.027151192220052082,0.025590821838378908
12,0,196.46899008750916,10.690904140472412,207.2446746826172,31.7,513.19808,2450.157568,74.0,63.0,2.0184298672041736,98.93,99.99,0.9892470240592957,,1.0,64,4,0.001,,0.023451090494791667,0.03497618713378906,0.023451090494791667,0.03497618713378906
13,0,196.49599838256836,10.650561809539795,207.24093914031982,31.8,9310.74304,2450.378752,72.0,65.0,36.61954822161334,99.35,100.0,0.9934444427490234,,1.0,64,4,0.001,,0.02122765096028646,0.022357493591308595,0.02122765096028646,0.022357493591308595
14,0,196.69049525260925,10.60428524017334,207.37802600860596,31.9,513.19808,2450.399232,74.0,63.0,2.0184298672041736,99.46,100.0,0.9945241808891296,,1.0,64,4,0.001,,0.019504825846354167,0.017502088928222657,0.019504825846354167,0.017502088928222657
15,0,196.04160118103027,10.641727209091187,206.7683026790619,32.4,513.19808,2450.403328,75.0,63.0,2.0184298672041736,99.31,100.0,0.9930438995361328,,1.0,64,4,0.001,,0.01725560099283854,0.024008193969726564,0.01725560099283854,0.024008193969726564
16,0,195.82104086875916,10.567174196243286,206.48353624343872,31.4,513.19808,2450.403328,74.0,63.0,2.0184298672041736,99.55,100.0,0.9954984188079834,,1.0,64,4,0.001,,0.018055558268229167,0.01398023681640625,0.018055558268229167,0.01398023681640625
17,0,195.79009318351746,10.626333951950073,206.50733137130737,32.5,513.19808,2473.189376,73.0,64.0,2.0184298672041736,99.45,100.0,0.9944568276405334,,1.0,64,4,0.001,,0.01732674763997396,0.018137503051757813,0.01732674763997396,0.018137503051757813
18,0,195.79268264770508,10.552307367324829,206.44065070152283,31.2,513.197568,2449.268736,75.0,64.0,2.0184278534864064,99.37,100.0,0.9937543272972107,,1.0,64,4,0.001,,0.015059156290690105,0.021404322814941406,0.015059156290690105,0.021404322814941406
19,0,196.172367811203,10.570653200149536,206.831547498703,31.9,9576.254464,2446.864384,76.0,64.0,37.66381594039653,99.21,100.0,0.9919841885566711,,1.0,64,4,0.001,,0.013801200358072916,0.023882984924316408,0.013801200358072916,0.023882984924316408
20,0,196.07335472106934,10.57538366317749,206.73364424705505,29.7,4358.557696,2448.56832,75.0,63.0,17.142392722005134,99.62,100.0,0.9962030649185181,,1.0,64,4,0.001,,0.012958229573567709,0.014322749328613282,0.012958229573567709,0.014322749328613282
