epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,2,110.07834458351135,3.0463764667510986,114.64733171463013,33.6,240.018944,2086.11328,75.0,57.0,0.9440047111329918,11.49,30.6,0.09129101783037186,,0.25,64,4,0.001,,4.608080625,4.141113671875,4.59743,4.121023046875
2,2,108.91037893295288,2.7017221450805664,112.66469955444336,33.3,242.432512,2417.156096,73.0,59.0,0.9534973766895898,18.44,42.96,0.16082867980003357,,0.25,64,4,0.001,,4.04466125,3.6598765625,4.041913125,3.648080078125
3,2,108.03576493263245,2.6311540603637695,112.09756994247437,33.4,8385.71776,2417.348608,75.0,59.0,32.98138446801765,23.38,50.75,0.21409814059734344,,0.25,64,4,0.001,,3.6865809375,3.3297203125,3.682645,3.336866796875
4,2,108.97898364067078,2.6507277488708496,112.851154088974,32.8,214.043648,2419.023872,72.0,56.0,0.8418427676279242,29.77,56.9,0.2773788869380951,,0.25,64,4,0.001,,3.4165225,3.0418845703125,3.419625625,3.0619814453125
5,2,109.05383944511414,2.660578966140747,112.93510794639587,32.9,242.432512,2417.926144,71.0,57.0,0.9534973766895898,34.38,61.61,0.3226217031478882,,0.25,64,4,0.001,,3.1997678125,2.791990234375,3.2004434375,2.7984849609375
6,2,108.64166331291199,2.717742443084717,112.6724145412445,33.0,254.14144,2420.109312,72.0,58.0,0.9995490883174727,35.15,62.53,0.337708979845047,,0.25,64,4,0.001,,3.03003875,2.792417578125,3.01957,2.81700078125
7,2,108.05578351020813,2.6637814044952393,111.92465043067932,33.2,242.432512,2418.950144,73.0,57.0,0.9534973766895898,39.36,67.12,0.38465026021003723,,0.25,64,4,0.001,,2.8912271875,2.5578708984375,2.903911875,2.5940916015625
8,2,107.16325759887695,2.631080389022827,111.01170468330383,33.5,242.432512,2420.38784,74.0,58.0,0.9534973766895898,42.26,70.25,0.4145840108394623,,0.25,64,4,0.001,,2.764549375,2.403824609375,2.758964375,2.427136328125
9,2,108.69835805892944,2.6275978088378906,112.7140588760376,33.5,242.432512,2419.224576,73.0,57.0,0.9534973766895898,45.04,72.03,0.4450007379055023,,0.25,64,4,0.001,,2.6625840625,2.2880208984375,2.6847465625,2.30620625
10,2,107.6239640712738,2.6110050678253174,111.24172329902649,33.6,242.432512,2420.404224,76.0,58.0,0.9534973766895898,44.97,72.2,0.44387099146842957,,0.25,64,4,0.001,,2.56723109375,2.26740859375,2.5603759375,2.3036056640625
11,2,110.97336864471436,2.6521449089050293,114.93165111541748,33.1,242.432,2419.494912,73.0,58.0,0.9534953629718221,46.43,73.11,0.456134170293808,,0.25,64,4,0.001,,2.47865859375,2.2355283203125,2.47916578125,2.275019921875
12,2,108.78563570976257,2.6653738021850586,112.66640019416809,33.0,242.432512,2420.416512,76.0,57.0,0.9534973766895898,48.59,74.72,0.48599204421043396,,0.25,64,4,0.001,,2.4033321875,2.11970234375,2.397913125,2.15740234375
13,2,108.609703540802,2.648029088973999,112.47548794746399,33.3,242.432512,2419.765248,73.0,58.0,0.9534973766895898,48.45,74.82,0.483725905418396,,0.25,64,4,0.001,,2.3362390625,2.13963984375,2.33361734375,2.17424296875
14,2,108.91629719734192,2.6121420860290527,112.67279601097107,32.6,200.083456,2420.400128,72.0,59.0,0.7869367389757813,50.11,75.84,0.5021200776100159,,0.25,64,4,0.001,,2.26835453125,2.04198359375,2.244925,2.0934119140625
15,2,108.70236420631409,2.6120095252990723,112.69179844856262,32.5,255.632384,2420.027392,72.0,58.0,1.0054130344568053,50.66,76.48,0.504892110824585,,0.25,64,4,0.001,,2.20251171875,2.045440234375,2.1999178125,2.09712890625
16,2,108.57047271728516,2.610400676727295,112.37147116661072,32.6,242.432512,2420.432896,75.0,57.0,0.9534973766895898,52.13,76.62,0.517127275466919,,0.25,64,4,0.001,,2.14801171875,2.0097291015625,2.15463390625,2.0501509765625
17,2,108.49434494972229,2.6113455295562744,112.15588808059692,32.5,228.466688,2420.289536,73.0,57.0,0.898569197142003,53.19,77.97,0.5305282473564148,,0.25,64,4,0.001,,2.09234859375,1.9605921875,2.10230234375,2.0190591796875
18,2,108.88085532188416,2.6046559810638428,112.44005632400513,32.5,228.466688,2420.40832,77.0,57.0,0.898569197142003,53.31,78.05,0.5297541618347168,,0.25,64,4,0.001,,2.0332615625,1.9627328125,2.0328053125,2.0142154296875
19,2,108.6516444683075,2.592111587524414,112.57415556907654,32.7,228.466688,2420.55168,74.0,57.0,0.898569197142003,53.96,78.89,0.5385328531265259,,0.25,64,4,0.001,,1.987975625,1.8999208984375,1.987711875,1.9245001953125
20,2,106.99481868743896,2.6409502029418945,110.65417265892029,33.4,189.901824,2420.494336,75.0,55.0,0.7468919474487324,53.54,77.7,0.5324642658233643,,0.25,64,4,0.001,,1.947885,1.9731103515625,1.940690625,2.02435625
