epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
5,1,90.97771453857422,5.425423860549927,96.54531264305115,12.9,631.90528,2182.79936,48.0,61.0,2.4853103316287077,66.4,97.26,0.6553453803062439,,0.5,32,4,0.001,,1.202894296875,0.94937265625,1.197675234375,0.94308212890625
6,1,90.94169926643372,5.285912275314331,96.31160807609558,16.3,3285.305856,2306.256896,49.0,62.0,12.921247606092317,68.5,97.43,0.6778621077537537,,0.5,32,4,0.001,,1.163043125,0.8901806640625,1.1589809375,0.8891548828125
7,1,89.60383653640747,5.201138734817505,94.97018694877625,13.3,637.939712,2307.190784,45.0,63.0,2.5090440092379707,68.56,97.66,0.6769241690635681,,0.5,32,4,0.001,,1.109350546875,0.9006705078125,1.10511609375,0.893321484375
8,1,89.78221869468689,5.163335084915161,95.04983234405518,13.0,637.939712,2307.960832,46.0,63.0,2.5090440092379707,72.37,98.26,0.7201781868934631,,0.5,32,4,0.001,,1.06789,0.791478466796875,1.081694765625,0.7819572265625
9,1,91.04529905319214,5.252645015716553,96.47152066230774,13.1,637.939712,2325.209088,46.0,63.0,2.5090440092379707,75.02,98.64,0.7470754981040955,,0.5,32,4,0.001,,1.02374390625,0.718473828125,1.021114921875,0.712467431640625
10,1,90.51194071769714,5.213589906692505,95.87245535850525,13.5,637.939712,2308.34176,48.0,62.0,2.5090440092379707,75.41,98.55,0.7533286809921265,,0.5,32,4,0.001,,0.9808421875,0.70145869140625,0.982215390625,0.703051806640625
11,1,91.17068934440613,5.186197996139526,96.49132084846497,13.2,637.939712,2308.767744,48.0,62.0,2.5090440092379707,76.55,98.86,0.7669201493263245,,0.5,32,4,0.001,,0.9369578125,0.662996435546875,0.931017734375,0.65599365234375
12,1,90.46279239654541,5.167195558547974,95.83454298973083,12.9,3277.884928,2308.767744,46.0,62.0,12.892060780768318,77.33,98.76,0.7697174549102783,,0.5,32,4,0.001,,0.89934609375,0.65837060546875,0.89077875,0.65821806640625
13,1,91.56205821037292,5.179694414138794,96.87768292427063,12.9,637.939712,2308.780032,49.0,63.0,2.5090440092379707,77.88,98.68,0.7769104242324829,,0.5,32,4,0.001,,0.871456875,0.64241845703125,0.8694690625,0.645684619140625
14,1,91.53823614120483,5.242937803268433,96.92895746231079,15.2,637.939712,2308.784128,48.0,62.0,2.5090440092379707,81.02,99.15,0.8095165491104126,,0.5,32,4,0.001,,0.84038640625,0.544396484375,0.831494921875,0.548902587890625
15,1,91.87942838668823,5.21786642074585,97.22510266304016,13.0,1075.518464,2308.796416,45.0,62.0,4.230059844470105,80.73,98.95,0.8068647980690002,,0.5,32,4,0.001,,0.812004140625,0.58048232421875,0.8089175,0.59692001953125
16,1,91.30516171455383,5.157642602920532,96.6383535861969,12.9,3284.041216,2308.800512,45.0,62.0,12.91627372320628,82.94,99.26,0.8282371759414673,,0.5,32,4,0.001,,0.793359140625,0.503611279296875,0.798192109375,0.50083154296875
17,1,90.20125007629395,5.129739761352539,95.48497152328491,13.3,637.939712,2313.007104,46.0,63.0,2.5090440092379707,81.84,99.15,0.8155679106712341,,0.5,32,4,0.001,,0.75518015625,0.54761298828125,0.76105796875,0.535651611328125
18,1,90.30120992660522,5.1564507484436035,95.58670425415039,15.8,637.939712,2308.808704,49.0,62.0,2.5090440092379707,82.64,98.97,0.8230329155921936,,0.5,32,4,0.001,,0.73994046875,0.561945703125,0.736638671875,0.565460302734375
19,1,90.92665767669678,5.2062952518463135,96.28280305862427,13.2,637.939712,2308.8128,45.0,63.0,2.5090440092379707,84.04,99.3,0.8379895091056824,,0.5,32,4,0.001,,0.72002609375,0.460687548828125,0.720079765625,0.461660400390625
20,1,91.8207139968872,5.179799795150757,97.1212272644043,13.2,1871.289344,2308.83328,49.0,62.0,7.359860547628131,85.29,99.42,0.8514165282249451,,0.5,32,4,0.001,,0.702903359375,0.42992236328125,0.6942953125,0.43249814453125
